Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Operational risk,Component policy status,Overridden By,Created At,Origin name,Origin id,Review status,Reviewed by,Reviewed at,Project path,Source/Type,Snippet Review status
,eea33624-c4cb-4c71-8ef7-767642d1d611,f8bb78ee-059a-43ae-ab03-43ca0dce186d,Jackson-module-Afterburner,2.9.9,2.9.9,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Files Modified,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,10/28/19,maven,com.fasterxml.jackson.module:jackson-module-afterburner:2.9.9,NOT_REVIEWED,,,SDK-Java 2.0.0,KB_COMPONENT,
,81755a2f-ebc0-40e2-a0ea-203e5617f632,1cbbf17a-9186-4f25-8ad5-9869851e9597,gatlingwindows,1.0.0,1.0.0,00000000-0010-0000-0000-000000000000,Unknown License,UNKNOWN,Exact,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,10/28/19,npmjs,gatlingwindows/1.0.0,NOT_REVIEWED,,,SDK-Java 2.0.0,KB_COMPONENT,
,7a777763-ac31-4919-8f49-52e373f3af41,9b4700b5-bfae-4d8c-8dec-2e731340cb57,jQuery,Unknown,unknown,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,10/28/19,unknown,,NOT_REVIEWED,,,SDK-Java 2.0.0,KB_COMPONENT,
,e004bb19-5ee1-4c38-9f58-a97451387bfa,499b4384-0513-4bf7-9a66-6792fea947ab,Play,2.8.0-M5,2.8.0-M5,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,10/28/19,maven,com.typesafe.play:play_2.12:2.8.0-M5,NOT_REVIEWED,,,SDK-Java 2.0.0,KB_COMPONENT,
,c86dae05-2140-4ad7-b95a-f6e8747fe22d,6100e6f7-1016-4ef0-a021-b10773cd61d2,akka-http-circe,1.28.0,1.28.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,10/28/19,maven,de.heikoseeberger:akka-http-circe_2.12:1.28.0,NOT_REVIEWED,,,SDK-Java 2.0.0,KB_COMPONENT,
,d5b90213-52f8-4429-b3c7-ed582af929d2,c6f4a163-8e04-4f43-9564-e9864f58ff19,jackson-annotations,2.9.0,jackson-annotations-2.9.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Files Modified,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,10/28/19,github,FasterXML/jackson-annotations:jackson-annotations-2.9.0,NOT_REVIEWED,,,SDK-Java 2.0.0,KB_COMPONENT,
,cb1dd6e6-4d90-4aff-9a45-2b8f6979e7cc,edab441d-7071-4f30-a308-5b33aee8524d,HdrHistogram,2.1.9,2.1.9,"d26bcb7d-5bc8-4f05-8942-a3a42728a2e4,cc875133-df38-4806-9921-473e0ef01a87,a7c69599-62b6-4d06-9ec6-ea688c041c00","(BSD 2-clause ""Simplified"" License OR Creative Commons Zero v1.0 Universal OR Public Domain)",PERMISSIVE,Files Modified,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,10/28/19,maven,org.hdrhistogram:HdrHistogram:2.1.9,NOT_REVIEWED,,,SDK-Java 2.0.0,KB_COMPONENT,
,874c05c9-ed80-4f4b-a936-f00eb05b72e6,cb27222d-cb60-4012-b0b3-b995d2138874,LatencyUtils,2.0.3.redhat-00001,2.0.3.redhat-00001,bfbd4bfa-5f71-4a23-9a23-4ac267626b34,Creative Commons Public Domain Dedication License,PERMISSIVE,Files Modified,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,10/28/19,maven,org.latencyutils:LatencyUtils:2.0.3.redhat-00001,NOT_REVIEWED,,,SDK-Java 2.0.0,KB_COMPONENT,
,eb1c6940-3f50-4689-bbe8-ffaa17459a52,a0150cd2-4b2a-4108-864d-cdb8fcc7f8f2,snappy,0.4,0.4,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Files Modified,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,10/28/19,maven,org.iq80.snappy:snappy:0.4,NOT_REVIEWED,,,SDK-Java 2.0.0,KB_COMPONENT,
,ce7ad18a-6e02-4565-a51c-4fc2c5bc7c47,a09742c1-002b-42b9-828e-8542db81939b,jackson-databind,2.10.0-pr3,2.10.0.pr3,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Files Modified,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,10/28/19,maven,com.fasterxml.jackson.core:jackson-databind:2.10.0.pr3,NOT_REVIEWED,,,SDK-Java 2.0.0,KB_COMPONENT,
