,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,Click - Python Command Line Utility,8.1.7,Direct Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,2f38bee1-f48f-4c9a-a158-da96fcedbcc2,c2361503-90b0-4766-bcaf-efa7e5793e54,3d238144-44e6-450e-b523-3defbdaed9dc
1,EditorConfig,0.12.4,Transitive Dependency,Python Software Foundation License 2.0,PERMISSIVE,NOT_REVIEWED,c8d1e3f4-5f1b-439a-bb91-7f4a432eb52f,5c9a10e4-9289-41a5-88f2-af55eb24dd1d,ead40028-7962-4fc0-9be5-2b956cd4714a
2,GitPython,3.1.43,Direct Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,301066a6-8ef3-4c91-a18b-c6d7ee01bb20,56504a5e-a133-4a22-b81a-043e4815ca9a,3d238144-44e6-450e-b523-3defbdaed9dc
3,Jinja,3.1.4,Direct Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,ae1b8ed0-430e-4b18-b6db-eaf04d774633,98c71400-c8bd-4723-8982-3aef8badc9d2,3d238144-44e6-450e-b523-3defbdaed9dc
4,MarkupSafe,3.0.2,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,163828a2-cf12-4b17-85e1-af89c69e83de,b7a1bf71-e200-40fe-bd11-283cc5035c4d,3d238144-44e6-450e-b523-3defbdaed9dc
5,NetworkX,3.4.2,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,e9d27ea7-6b2f-4737-8e26-e9029399446e,f4b2b16a-733b-435e-9c5f-f662ae5363e4,3d238144-44e6-450e-b523-3defbdaed9dc
6,NumPy,1.26.4,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,4f899c74-a646-4687-a056-3bbcc16bdb04,3c53bb1a-f1ad-4f37-9f56-e59f0e9ef333,3d238144-44e6-450e-b523-3defbdaed9dc
7,Packaging,24.2,Transitive Dependency,"(BSD 2-clause ""Simplified"" License OR Apache License 2.0)",PERMISSIVE,NOT_REVIEWED,935f693d-59c4-447b-ac88-fd2efc476368,4a0d01eb-7051-42a7-940b-bc91443dbd90,"cc875133-df38-4806-9921-473e0ef01a87,7cae335f-1193-421e-92f1-8802b4243e93"
8,PyYAML,6.0.2,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,562519b8-c368-4e82-b328-8001f66d8b00,a0b9a124-5e3d-4482-80f4-455f8c61c486,ad705c59-6893-4980-bdbf-0837f1823cc4
9,Python six,1.16.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,69184346-b974-4064-88a3-134a17f6bbb5,3592d706-e448-4e4b-b772-303927081f32,ad705c59-6893-4980-bdbf-0837f1823cc4
10,RonnyPfannschmidt/iniconfig,2.0.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,6ead4e8a-ac79-4403-bf49-b7ee459369b2,6edbc869-0b0e-49b9-ab08-651f763c3fde,ad705c59-6893-4980-bdbf-0837f1823cc4
11,SQLAlchemy,2.0.36,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,f9dc2132-1f7c-4023-a16a-efadce634871,e985fbcc-ac81-4034-8c84-0248a72670b6,ad705c59-6893-4980-bdbf-0837f1823cc4
12,SciPy,1.14.1,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,4d279efb-955f-4770-a413-49169f493a75,abc9f7db-8875-4f96-9b9e-8865270e6d22,3d238144-44e6-450e-b523-3defbdaed9dc
13,SymPy,1.13.1,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,8702b4ea-e0ca-4129-b085-49a0a528142e,ce16bb7f-2d28-4a3f-bd28-38bc9867c841,3d238144-44e6-450e-b523-3defbdaed9dc
14,aiohappyeyeballs,2.4.3,Transitive Dependency,Python Software Foundation License 2.0,PERMISSIVE,NOT_REVIEWED,a34e1323-4176-458a-8600-75689b8d8ba9,d9c97acb-9ef3-468e-961f-20ca053355f6,ead40028-7962-4fc0-9be5-2b956cd4714a
15,aiohttp,3.11.2,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,11632863-4a1a-42f9-922c-e2f2e87455fc,e05ffc0c-1f81-4266-ae60-3239dd63a7a7,7cae335f-1193-421e-92f1-8802b4243e93
16,aiosignal,1.3.1,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,6a6d1727-7335-478c-b47b-3e62a9efc35c,3a27be4c-032c-45e2-b1a9-8613cc90991f,7cae335f-1193-421e-92f1-8802b4243e93
