,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,BeautifulSoup4,4.14.2,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,00753dee-acf9-4b1c-b421-f02af03bd165,af8e911e-5d46-45d8-97be-43de0b55ff68,ad705c59-6893-4980-bdbf-0837f1823cc4
1,Click - Python Command Line Utility,8.1.8,Direct Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,2f38bee1-f48f-4c9a-a158-da96fcedbcc2,90534279-6299-4665-ac9f-a4dfb68d0421,3d238144-44e6-450e-b523-3defbdaed9dc
2,Deprecated,1.2.18,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,a0c317a8-2e29-484d-b919-3e490c730edb,64e47918-e602-4f63-a3ad-6937222e18de,ad705c59-6893-4980-bdbf-0837f1823cc4
3,EditorConfig,0.17.1,Direct Dependency,Python Software Foundation License 2.0,PERMISSIVE,NOT_REVIEWED,c8d1e3f4-5f1b-439a-bb91-7f4a432eb52f,b55e05c1-52a5-41dc-a0af-a7cfadf9566a,ead40028-7962-4fc0-9be5-2b956cd4714a
4,GitPython,3.1.45,Direct Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,301066a6-8ef3-4c91-a18b-c6d7ee01bb20,8be7ef30-e646-454f-a1d3-61eb22cf2c28,3d238144-44e6-450e-b523-3defbdaed9dc
5,LlamaIndex,0.13.6,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,a7f0bc36-fbba-4e4c-9c6f-0202259d9f82,a7a678f9-3eb4-453d-9d1a-f9cf5f8d9c51,ad705c59-6893-4980-bdbf-0837f1823cc4
6,MarkupSafe,3.0.3,Direct Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,163828a2-cf12-4b17-85e1-af89c69e83de,19892e9b-af4a-48f1-9667-142d95c2a0d7,3d238144-44e6-450e-b523-3defbdaed9dc
7,NetworkX,3.5,Direct Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,e9d27ea7-6b2f-4737-8e26-e9029399446e,f573d6c3-2993-4f35-a907-928d9cbbba8a,3d238144-44e6-450e-b523-3defbdaed9dc
8,NumPy,2.3.4,Direct Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,4f899c74-a646-4687-a056-3bbcc16bdb04,0b2f3ddd-8c4d-46ea-ab6b-83bcca797ebd,3d238144-44e6-450e-b523-3defbdaed9dc
9,Packaging,25.0,Direct Dependency,"(Apache License 2.0 AND BSD 3-clause ""New"" or ""Revised"" License)",PERMISSIVE,NOT_REVIEWED,935f693d-59c4-447b-ac88-fd2efc476368,d58a27a6-bae7-4758-a981-c7daabde9e3b,"3d238144-44e6-450e-b523-3defbdaed9dc,7cae335f-1193-421e-92f1-8802b4243e93"
10,PillowPython,12.0.0,Direct Dependency,Python Imaging Library Software License,PERMISSIVE,NOT_REVIEWED,ce465a43-2ccb-42c0-820e-7c514872a948,7554aee5-4a8f-4f01-820f-c83857af1f54,6f1ab4e9-b0ed-4b83-b7bd-aff972ed4db3
11,PyTZ - Python Time Zone Library,2025.2,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,4dffc87b-cf3f-4c12-b770-42054d651aa0,0b297b2d-d70a-4775-a04e-740065f0b658,ad705c59-6893-4980-bdbf-0837f1823cc4
12,PyYAML,6.0.3,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,df6e6bf5-8732-4810-83d8-f40a1939a59f,22fdd37c-0f4a-4b4a-b83d-cf9579ef7f9f,ad705c59-6893-4980-bdbf-0837f1823cc4
13,Python six,1.17.0,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,69184346-b974-4064-88a3-134a17f6bbb5,17070f8f-549f-48e3-bdc0-6fd4341ec36f,ad705c59-6893-4980-bdbf-0837f1823cc4
14,Python tzdata,2025.2,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,1b0fab32-a8d3-4bdb-8696-e512435d855f,aad1bd53-7223-4a00-bb60-33f4c29124ab,7cae335f-1193-421e-92f1-8802b4243e93
15,SQLAlchemy,2.0.44,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,f9dc2132-1f7c-4023-a16a-efadce634871,b3cc5a65-4352-4ff1-8fa2-3e9428ad1ec4,ad705c59-6893-4980-bdbf-0837f1823cc4
