,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,Click - Python Command Line Utility,8.4.2,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,2f38bee1-f48f-4c9a-a158-da96fcedbcc2,b4c1c2ed-9641-438f-981f-da7fb264eef6,3d238144-44e6-450e-b523-3defbdaed9dc
1,PyYAML,6.0.2,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,df6e6bf5-8732-4810-83d8-f40a1939a59f,aac3a432-d326-48ed-a4ea-760b0ae2472a,ad705c59-6893-4980-bdbf-0837f1823cc4
2,Python six,1.17.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,69184346-b974-4064-88a3-134a17f6bbb5,17070f8f-549f-48e3-bdc0-6fd4341ec36f,ad705c59-6893-4980-bdbf-0837f1823cc4
3,Starlette,1.3.1,Direct Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,3dd40458-46c4-453b-9350-e5640a29af0f,7d345491-038a-4ed1-b248-87431b9746ce,3d238144-44e6-450e-b523-3defbdaed9dc
4,annotated-doc,0.0.4,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,0edfd265-3c72-41f9-b667-82bfa51d727d,c2e27633-7583-4cfb-9d6a-34caec91a974,ad705c59-6893-4980-bdbf-0837f1823cc4
5,annotated-types,0.7.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,8043d6f4-e2de-44f6-9bf3-4c0ee7de334f,97d68e0b-16cb-46a0-ac87-a4753f39809d,ad705c59-6893-4980-bdbf-0837f1823cc4
6,anyio,4.14.2,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,38ea1732-3693-43c0-90ad-393a8c86f57b,2539da05-93df-41db-b7c8-49e033aa0188,ad705c59-6893-4980-bdbf-0837f1823cc4
7,boto3,1.43.24,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,ee520a72-31ca-49cf-81ed-8a565af50a2d,3cf0531a-3e9d-4f53-9f18-64b42394fb90,7cae335f-1193-421e-92f1-8802b4243e93
8,botocore,1.43.24,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,1d033c2e-1492-4002-afd0-a68c123934a7,a1a86458-737a-4c19-b8fe-ba31827d65eb,7cae335f-1193-421e-92f1-8802b4243e93
9,client_python,0.26.0,Direct Dependency,"(BSD 2-clause ""Simplified"" License AND Apache License 2.0)",PERMISSIVE,NOT_REVIEWED,447813b7-dbf2-4290-89ae-1aac0b14ece4,e08e0196-3910-46f3-bf84-b50b78b20401,"cc875133-df38-4806-9921-473e0ef01a87,7cae335f-1193-421e-92f1-8802b4243e93"
10,couchbase-python-client,4.6.2,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,38a09da5-4b7a-4e96-be95-b2368cc14ffb,5cb315fc-cab5-4d89-86bc-f373673f9c20,7cae335f-1193-421e-92f1-8802b4243e93
11,distro,1.9.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,a037f0e7-fb8b-45f6-8b6a-2199355da74d,398ce798-29ce-42a3-9f17-4f575199222d,7cae335f-1193-421e-92f1-8802b4243e93
12,encode/uvicorn,0.51.0,Direct Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,ce10b944-d3ca-4fe5-b9cf-2ba0938711c8,3441d03c-b804-4364-892b-05a958eade70,3d238144-44e6-450e-b523-3defbdaed9dc
13,fastapi,0.139.0,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,222aa00c-5e7b-4ae7-8b43-e0127eb5450d,3fb08837-866c-447e-9eb4-91777f6dce4d,ad705c59-6893-4980-bdbf-0837f1823cc4
14,h11,0.16.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,766677f1-994a-408d-9bcc-d38833e832ee,e066bd77-1404-4145-bbc2-209faac2daa6,ad705c59-6893-4980-bdbf-0837f1823cc4
15,httpcore,1.0.9,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,c9abf028-6c50-4592-8161-ff34a2aa2968,35ac4e18-5486-4ef0-bcf8-ef34d9ca8700,3d238144-44e6-450e-b523-3defbdaed9dc
16,httpx,0.28.1,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,f3eb45a6-82ec-4dad-8c23-1910b4403aff,60cef313-5509-4b4a-801b-da681bbd737f,3d238144-44e6-450e-b523-3defbdaed9dc
17,httpx-retries,0.5.0,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,493fe0c0-cd44-4612-82bd-19c9730d8060,d2dcf31f-f1d1-4a4a-8dd8-1c4590085fe4,ad705c59-6893-4980-bdbf-0837f1823cc4
18,idna,3.18,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,a072b9e7-c0a3-447b-abe6-fa74c8869fb1,b317e5a9-a77b-4b8a-bb32-224f23f7c935,3d238144-44e6-450e-b523-3defbdaed9dc
19,immutabledict,4.3.1,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,966abf06-93d5-4e8f-a152-c73b510670a6,95f153dc-327b-4c88-abd5-f78e3a55a3b8,ad705c59-6893-4980-bdbf-0837f1823cc4
20,jiter,0.13.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,2472b61b-3cab-405f-97fe-be49ba0926cc,e2ffb6aa-8bb8-4d64-bab1-a18287fdf4ad,ad705c59-6893-4980-bdbf-0837f1823cc4
