,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,Click - Python Command Line Utility,8.3.3,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,2f38bee1-f48f-4c9a-a158-da96fcedbcc2,c20ef912-413b-4cca-a399-94a1022c7170,3d238144-44e6-450e-b523-3defbdaed9dc
1,NumPy,2.3.1,Direct Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,4f899c74-a646-4687-a056-3bbcc16bdb04,d11b5b19-26ae-4ef6-abf8-ae5bcf4dd034,3d238144-44e6-450e-b523-3defbdaed9dc
2,PyJWT,2.13.0,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,12339e1c-27e0-4e41-ad22-39ab5192dc63,a464b71d-49b8-4bb3-acde-76e5604be99b,ad705c59-6893-4980-bdbf-0837f1823cc4
3,Python six,1.17.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,69184346-b974-4064-88a3-134a17f6bbb5,17070f8f-549f-48e3-bdc0-6fd4341ec36f,ad705c59-6893-4980-bdbf-0837f1823cc4
4,Starlette,1.3.1,Direct Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,3dd40458-46c4-453b-9350-e5640a29af0f,7d345491-038a-4ed1-b248-87431b9746ce,3d238144-44e6-450e-b523-3defbdaed9dc
5,Supervisor,4.2.5,Direct Dependency,Repoze Public License,PERMISSIVE,NOT_REVIEWED,c55c7be8-0d9e-49e2-b7ae-68416a9fee44,1962271c-ba85-4521-9634-df2aeafe2f00,654f2d03-1ffe-471b-af91-f34550d000c4
6,annotated-doc,0.0.4,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,0edfd265-3c72-41f9-b667-82bfa51d727d,c2e27633-7583-4cfb-9d6a-34caec91a974,ad705c59-6893-4980-bdbf-0837f1823cc4
7,annotated-types,0.7.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,8043d6f4-e2de-44f6-9bf3-4c0ee7de334f,97d68e0b-16cb-46a0-ac87-a4753f39809d,ad705c59-6893-4980-bdbf-0837f1823cc4
8,anyio,4.13.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,38ea1732-3693-43c0-90ad-393a8c86f57b,c25e6961-9654-488d-b4e7-181c3c0949a5,ad705c59-6893-4980-bdbf-0837f1823cc4
9,client_python,0.22.1,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,447813b7-dbf2-4290-89ae-1aac0b14ece4,cd53c298-eb17-4882-a38f-dccd023d0227,7cae335f-1193-421e-92f1-8802b4243e93
10,couchbase-python-client,4.6.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,38a09da5-4b7a-4e96-be95-b2368cc14ffb,1aabd872-784a-4bee-879a-60013d44757c,7cae335f-1193-421e-92f1-8802b4243e93
11,distro,1.9.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,a037f0e7-fb8b-45f6-8b6a-2199355da74d,398ce798-29ce-42a3-9f17-4f575199222d,7cae335f-1193-421e-92f1-8802b4243e93
12,encode/uvicorn,0.38.0,Direct Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,ce10b944-d3ca-4fe5-b9cf-2ba0938711c8,f9a4e9fe-4b1d-45f2-81b9-ed4dade446f6,3d238144-44e6-450e-b523-3defbdaed9dc
13,fastapi,0.137.1,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,222aa00c-5e7b-4ae7-8b43-e0127eb5450d,33f9f087-6202-453b-ae95-3a9b0b1bc409,ad705c59-6893-4980-bdbf-0837f1823cc4
14,h11,0.16.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,766677f1-994a-408d-9bcc-d38833e832ee,e066bd77-1404-4145-bbc2-209faac2daa6,ad705c59-6893-4980-bdbf-0837f1823cc4
15,httpcore,1.0.9,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,c9abf028-6c50-4592-8161-ff34a2aa2968,35ac4e18-5486-4ef0-bcf8-ef34d9ca8700,3d238144-44e6-450e-b523-3defbdaed9dc
16,httpx,0.28.1,Direct Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,f3eb45a6-82ec-4dad-8c23-1910b4403aff,60cef313-5509-4b4a-801b-da681bbd737f,3d238144-44e6-450e-b523-3defbdaed9dc
17,idna,3.13,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,a072b9e7-c0a3-447b-abe6-fa74c8869fb1,b3574165-c3e6-4440-bebc-629f892e39de,3d238144-44e6-450e-b523-3defbdaed9dc
18,jiter,0.14.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,2472b61b-3cab-405f-97fe-be49ba0926cc,1230939b-5f82-4dbb-8801-6c933c898939,ad705c59-6893-4980-bdbf-0837f1823cc4
19,openai,1.93.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,e848b348-013a-499d-8a06-ac1b79fa494e,ae8f63da-194e-4928-9dce-f04f46176b75,7cae335f-1193-421e-92f1-8802b4243e93
