,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,@aws-crypto/crc32,3.0.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,bdfb39e0-66a1-41a3-80e0-ecbf4705f483,404cf708-5f53-4816-b1ff-17b9d34fa50f,7cae335f-1193-421e-92f1-8802b4243e93
1,@aws-crypto/crc32,5.2.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,bdfb39e0-66a1-41a3-80e0-ecbf4705f483,5aa018cc-3630-4518-9375-7190af903337,7cae335f-1193-421e-92f1-8802b4243e93
2,@aws-crypto/crc32c,5.2.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,b6839fb7-e0ac-4a5f-8588-75de7df22532,071c6c7e-6cd3-469c-ab68-8d9c8a898a76,7cae335f-1193-421e-92f1-8802b4243e93
3,@aws-crypto/ie11-detection,3.0.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,52f4135e-8d0a-46dd-bad2-021c250e3097,39c1eabb-9e04-42e5-a993-f73b46abfa51,7cae335f-1193-421e-92f1-8802b4243e93
4,@aws-crypto/sha1-browser,5.2.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,7df8b73c-1f78-47a6-b0cd-8469d4bcf32c,dba1df8d-530c-4ac1-b5cd-0c221bb98a64,7cae335f-1193-421e-92f1-8802b4243e93
5,@aws-crypto/sha256-browser,3.0.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,c5ec573c-b98c-4a9c-b9f0-e6c470e88372,408f0f1f-fbda-4f60-aeb9-ddf110917a30,7cae335f-1193-421e-92f1-8802b4243e93
6,@aws-crypto/sha256-browser,5.2.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,c5ec573c-b98c-4a9c-b9f0-e6c470e88372,736c867a-3be4-4d10-878a-b909b9686e4d,7cae335f-1193-421e-92f1-8802b4243e93
7,@aws-crypto/sha256-js,3.0.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,219c9ed2-c23a-4ff1-af33-d407b3cf5d34,b098953b-8fcc-4ef8-98dd-065a337b84b5,7cae335f-1193-421e-92f1-8802b4243e93
8,@aws-crypto/sha256-js,5.2.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,219c9ed2-c23a-4ff1-af33-d407b3cf5d34,a06c36bb-9ff4-4b56-8160-d71d767b89b3,7cae335f-1193-421e-92f1-8802b4243e93
9,@aws-crypto/supports-web-crypto,3.0.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,3e4ea3b2-640a-4290-85ef-e777e9bcbcf8,ec1d41c9-0b44-4d89-8615-b8456b4744cc,7cae335f-1193-421e-92f1-8802b4243e93
10,@aws-crypto/supports-web-crypto,5.2.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,3e4ea3b2-640a-4290-85ef-e777e9bcbcf8,6b0f7d9e-526a-4e51-8a4c-9235e85f5c09,7cae335f-1193-421e-92f1-8802b4243e93
11,@aws-crypto/util,3.0.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,d5f1e7b4-c07b-4cb0-84fb-727ebf4a6231,41ea9d7c-c0ba-46f1-9f10-084aebe1aab7,7cae335f-1193-421e-92f1-8802b4243e93
12,@aws-crypto/util,5.2.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,d5f1e7b4-c07b-4cb0-84fb-727ebf4a6231,6f3e4fb6-feae-413c-9b47-b76dbde6b754,7cae335f-1193-421e-92f1-8802b4243e93
13,@aws-sdk/client-cognito-identity,3.502.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,9e8a1d0f-6c97-4ab9-9e3c-1335a3c03238,d2b5e71c-d196-45a7-a46c-b8a4dfb7bd29,7cae335f-1193-421e-92f1-8802b4243e93
14,@aws-sdk/client-sso,3.502.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,42104a2e-e460-4e06-89d4-7d56462108be,67c9dac6-d09f-465a-972e-a0a7b3df7c20,7cae335f-1193-421e-92f1-8802b4243e93
15,@aws-sdk/client-sso-oidc,3.502.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,59e09141-2088-479d-a430-3e7294002783,ee80ec5b-fa39-4bb3-b06a-2b2dc41090bd,7cae335f-1193-421e-92f1-8802b4243e93
16,@aws-sdk/client-sts,3.502.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,79ed8a58-50d2-4c40-a709-abb59feec243,0fac3746-5ea6-4166-b92e-af821e1b9be2,7cae335f-1193-421e-92f1-8802b4243e93
17,@aws-sdk/core,3.496.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,61354ea9-38db-4d35-8188-ae4dd56f2e2f,1866ee31-fbc4-4eed-a95c-94f42316e833,7cae335f-1193-421e-92f1-8802b4243e93
18,@aws-sdk/credential-provider-cognito-identity,3.502.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,ddf247dc-6208-410b-9af4-d8f4e46b8709,5f5ff69f-3843-4831-b9b9-fec0ef2fdd92,7cae335f-1193-421e-92f1-8802b4243e93
19,@aws-sdk/credential-provider-env,3.502.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,fbcba4a1-9356-4462-aa26-af8feadae0e1,57a0de76-6b62-4a5d-bb3a-108d21fadd2d,7cae335f-1193-421e-92f1-8802b4243e93
20,@aws-sdk/credential-provider-ini,3.502.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,8482e4e8-aa79-4a92-af9b-8129e9d81416,5cbe51aa-3798-4dc3-b3e5-dcbfc86a8ded,7cae335f-1193-421e-92f1-8802b4243e93
21,@aws-sdk/credential-provider-node,3.502.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,dd31be6a-7623-4f8f-a508-a75804ce66e0,df88ce5c-4c80-4b55-a62d-b39f5d15d174,7cae335f-1193-421e-92f1-8802b4243e93
22,@aws-sdk/credential-provider-process,3.502.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,89449ae0-289a-42aa-93c2-41b1ad6af91d,567b6e53-c77a-43cb-a656-d7683806c6dc,7cae335f-1193-421e-92f1-8802b4243e93
23,@aws-sdk/credential-provider-sso,3.502.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,723d7b0c-62d2-4850-a40f-0798376c5582,414182ca-f942-4d19-abfc-27d780c32f74,7cae335f-1193-421e-92f1-8802b4243e93
24,@aws-sdk/credential-provider-web-identity,3.502.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,c72899c3-b1a4-42ca-83c5-c1d6c7c4a32f,a5cd3fa6-5280-4ce2-974a-62bb8ba53744,7cae335f-1193-421e-92f1-8802b4243e93
25,@aws-sdk/middleware-host-header,3.502.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,d48f4203-52de-4495-8fcf-39802d77ceae,1463b936-f3f0-42b7-bd1b-b2a8866898bb,7cae335f-1193-421e-92f1-8802b4243e93
26,@aws-sdk/middleware-logger,3.502.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,0e67fc7a-c2eb-47f7-80c6-5a5b49347723,6d36de82-f8a6-4251-a70d-2543c15a194d,7cae335f-1193-421e-92f1-8802b4243e93
27,@aws-sdk/middleware-recursion-detection,3.502.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,88e82e95-a126-413c-8b55-38b7917dea56,227636c9-cebd-4f0d-975d-d39c2be6f4df,7cae335f-1193-421e-92f1-8802b4243e93
28,@aws-sdk/middleware-sdk-s3,3.502.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,e5e57437-5e72-4455-8f09-935c9d91df9d,0b06b225-cced-479a-977f-c7a966775528,7cae335f-1193-421e-92f1-8802b4243e93
29,@aws-sdk/middleware-signing,3.502.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,b51f047f-8646-4e77-8516-e412713b9abf,5ce33fc8-3927-4a0c-9a7f-1b3f33f4a8a1,7cae335f-1193-421e-92f1-8802b4243e93
30,@aws-sdk/middleware-user-agent,3.502.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,b62db785-e4aa-4afa-9f49-e7c17b4f89bc,29dadd4f-6b59-4db9-97d3-6e1f0bb5700b,7cae335f-1193-421e-92f1-8802b4243e93
31,@aws-sdk/region-config-resolver,3.502.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,97342bcd-123c-42b5-99fd-aa74504d1ec1,ba27573a-127f-4576-bf4a-b0a8e43a5673,7cae335f-1193-421e-92f1-8802b4243e93
32,@aws-sdk/s3-request-presigner,3.502.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,79d1a3f3-6abf-4d28-8604-7cd098f00db7,9fdc8087-130b-419c-8855-8cd478abde14,7cae335f-1193-421e-92f1-8802b4243e93
