,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,@ampproject/remapping,2.2.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,762035a5-e9f6-46b5-ab0d-fdfa367bd9d8,47fba395-24cb-44bb-b521-0065f946f532,7cae335f-1193-421e-92f1-8802b4243e93
1,@babel/code-frame,7.27.1,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,e0589241-4783-48f7-843a-ba6d4fd3a225,ef5fc6fa-62b6-4866-abbd-cc617a06b0e4,ad705c59-6893-4980-bdbf-0837f1823cc4
2,@babel/compat-data,7.19.3,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,7a29265f-280b-498c-9b77-99c10eefef61,16161625-abcc-4e89-aaff-2d53c30773a7,ad705c59-6893-4980-bdbf-0837f1823cc4
3,@babel/core,7.19.3,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,c0271d13-4a3d-4bcc-ab48-0cdad3ef412b,917b96ca-db25-44a7-8d5b-68a1585ba519,ad705c59-6893-4980-bdbf-0837f1823cc4
4,@babel/eslint-parser,7.19.1,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,22679f02-04ee-46d5-863b-248453942269,2ae07e2f-2ee2-4ab2-b2cf-8bdbc7301e30,ad705c59-6893-4980-bdbf-0837f1823cc4
5,@babel/generator,7.23.3,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,7a4eda02-c81b-4f8e-91b3-179f3ea8f7cb,e3997119-38df-44b6-bd64-a04660d8b057,ad705c59-6893-4980-bdbf-0837f1823cc4
6,@babel/helper-annotate-as-pure,7.18.6,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,5a48e054-eb34-4c4e-9909-1ab148d6c26f,531523b7-ff85-42c0-902f-20f73a07aa20,ad705c59-6893-4980-bdbf-0837f1823cc4
7,@babel/helper-builder-binary-assignment-operator-visitor,7.18.9,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,ff1f7b9b-003c-436a-86ce-9a516458c551,32d74e1a-86e6-4248-9e1a-cc065edf506f,ad705c59-6893-4980-bdbf-0837f1823cc4
8,@babel/helper-compilation-targets,7.19.3,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,fdc3a6df-768a-435a-9ef9-5e1553a6af2e,4e00df28-c7b0-4c3b-9a55-7f56cbacb57a,ad705c59-6893-4980-bdbf-0837f1823cc4
9,@babel/helper-create-class-features-plugin,7.19.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,ff492b47-2bda-4fca-b491-2c31365af5ae,ee785aa5-b53b-4bce-87ea-1bb955c73495,ad705c59-6893-4980-bdbf-0837f1823cc4
10,@babel/helper-create-regexp-features-plugin,7.19.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,051d4031-aad6-4eb3-a085-b45d2dc94ddd,1167613d-da58-4373-9902-17977ccba470,ad705c59-6893-4980-bdbf-0837f1823cc4
11,@babel/helper-environment-visitor,7.22.20,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,711931f2-6390-4760-947b-e39c638482cb,14ac70b9-d03c-45ce-9995-9a03ef7ccc92,ad705c59-6893-4980-bdbf-0837f1823cc4
12,@babel/helper-explode-assignable-expression,7.18.6,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,f6c55228-545c-4635-96e2-7272c4039dad,bd46278e-d18d-4030-960a-3ba231753f29,ad705c59-6893-4980-bdbf-0837f1823cc4
13,@babel/helper-function-name,7.23.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,fee3a0db-cc28-4550-8878-748a03f40e82,99e09745-ac76-4b51-8c3a-343984bf8125,ad705c59-6893-4980-bdbf-0837f1823cc4
14,@babel/helper-hoist-variables,7.22.5,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,24916be7-3c9a-4983-bfe0-e44bee538942,1791b5f2-0848-45ea-8d5b-0385055c0374,ad705c59-6893-4980-bdbf-0837f1823cc4
15,@babel/helper-member-expression-to-functions,7.18.9,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,40909644-f461-4e7d-ae1b-027517b0b5db,c7a949f2-ee9f-4902-ba49-28aea0328036,ad705c59-6893-4980-bdbf-0837f1823cc4
16,@babel/helper-module-transforms,7.19.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,387780b7-8c2a-43e7-9efd-e4240997fa2a,1549c90f-cbe4-4f9a-9b4e-7f857aec5f54,ad705c59-6893-4980-bdbf-0837f1823cc4
17,@babel/helper-optimise-call-expression,7.18.6,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,3f13705f-d723-4b19-a9e5-3ebd2c7536b7,29381856-be8e-423c-a8b6-998348b79c83,ad705c59-6893-4980-bdbf-0837f1823cc4
18,@babel/helper-plugin-utils,7.19.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,3d9fc2bb-f452-4844-b4ef-f5bc6a0c33bc,3d78d54c-2ccd-45af-8241-2e548b2d2334,ad705c59-6893-4980-bdbf-0837f1823cc4
19,@babel/helper-split-export-declaration,7.22.6,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,099394d3-272d-4f26-8089-8f9c17219bd1,1c5b8e2c-4b9d-4054-9da2-3bc25307270b,ad705c59-6893-4980-bdbf-0837f1823cc4
20,@babel/helper-string-parser,7.27.1,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,a086946a-7f59-4da1-bfa2-237e40f181ca,21c15f36-ebe8-4c65-b08e-977294eaa226,ad705c59-6893-4980-bdbf-0837f1823cc4
21,@babel/helper-validator-option,7.18.6,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,f5960837-512e-46f3-b25c-b95ca70e1a13,707c0624-9f2b-43d6-adbf-a75a11c195d1,ad705c59-6893-4980-bdbf-0837f1823cc4
22,@babel/helper-wrap-function,7.19.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,3efd5399-a6fc-4840-a902-f38325d86027,5d522131-eeb4-4da6-8f39-5ed504e999fc,ad705c59-6893-4980-bdbf-0837f1823cc4
23,@babel/parser,7.27.7,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,e189edba-7a09-4c36-971a-e00c0eec242f,362a9eaa-419d-489a-81b2-8184549ddfe8,ad705c59-6893-4980-bdbf-0837f1823cc4
24,@babel/plugin-proposal-class-properties,7.18.6,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,83596280-c1d4-4c61-b4bd-e08cb82513d3,462b6a33-23b3-4cb4-9e4f-4848ec5b4307,ad705c59-6893-4980-bdbf-0837f1823cc4
25,@babel/plugin-proposal-class-static-block,7.18.6,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,a48deae9-230a-42f0-bf16-77cd39152d37,e649393f-0ac6-4a55-af80-d9caf25b8dd5,ad705c59-6893-4980-bdbf-0837f1823cc4
26,@babel/plugin-proposal-decorators,7.19.3,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,94373756-d362-4c12-93a4-748a11717b9a,5ec5a446-3173-45d3-9984-b89f62507379,ad705c59-6893-4980-bdbf-0837f1823cc4
27,@babel/plugin-proposal-export-namespace-from,7.18.9,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,e26b35aa-9a71-4ac1-b9ad-85bcea47ec9b,1b78f767-eac9-40b4-948a-09531cac02cd,ad705c59-6893-4980-bdbf-0837f1823cc4
28,@babel/plugin-proposal-logical-assignment-operators,7.18.9,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,2e08336b-5b18-4499-9420-6943b56158ee,0137ae69-1619-40d5-bf3d-3510bddc3083,ad705c59-6893-4980-bdbf-0837f1823cc4
29,@babel/plugin-proposal-nullish-coalescing-operator,7.18.6,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,d4f63f09-16e1-4bb1-bfae-2a5891445e29,e4bebfe3-f42b-4241-9634-97e5cc89af58,ad705c59-6893-4980-bdbf-0837f1823cc4
30,@babel/plugin-proposal-private-property-in-object,7.18.6,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,31fc4b23-42ee-415a-89fa-ef5820c734a4,640a58de-d480-405c-85d0-e3c0974f9353,ad705c59-6893-4980-bdbf-0837f1823cc4
