Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Operational risk,Component policy status,Overridden By,Created At,Origin name,Origin id,Review status,Reviewed by,Reviewed at,Project path,Source/Type,Snippet Review status
,7fc4e9e4-a755-42d4-b0e3-ae2f2cc90728,765d8cde-1a60-452b-a741-7a243d4b98e5,libgcc-ng,9.2.0,9.2.0-h24d8f2e_2-linux-64,f80fb9a9-5329-47c2-864d-00ed5cf744bf,GNU General Public License v3.0 or later,RECIPROCAL,Direct Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,2/20/20,anaconda,libgcc-ng/9.2.0-h24d8f2e_2-linux-64,NOT_REVIEWED,,,conda 1.2.3,KB_COMPONENT,
,c2c6416a-0d4a-4696-a53a-9e8fddf436b8,b6a4f814-514e-48a5-9181-05a776b9fb15,_libgcc_mutex,0.1,0.1-conda_forge-linux-64,00000000-0010-0000-0000-000000000000,Unknown License,UNKNOWN,Direct Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,2/20/20,anaconda,_libgcc_mutex/0.1-conda_forge-linux-64,NOT_REVIEWED,,,conda 1.2.3,KB_COMPONENT,
,743ba877-151b-43dc-996e-7b5a8525cda7,3a778f55-12c4-495a-9503-61e3f5bd2c5d,libffi,3.2.1,3.2.1-he1b5a44_1006-linux-64,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,2/20/20,anaconda,libffi/3.2.1-he1b5a44_1006-linux-64,NOT_REVIEWED,,,conda 1.2.3,KB_COMPONENT,
,e96f3f9a-dc1b-488a-95d5-853f0b074d1c,5f855ec0-f58d-4754-839e-52d6e3b3447c,_openmp_mutex,4.5,4.5-0_gnu-linux-64,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,2/20/20,anaconda,_openmp_mutex/4.5-0_gnu-linux-64,NOT_REVIEWED,,,conda 1.2.3,KB_COMPONENT,
,0556c51e-f9e8-4e74-9392-5583cac29e86,29751785-94db-46ec-8260-f69bc9618812,PCRE,8.44,8.44-he1b5a44_0-linux-64,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,2/20/20,anaconda,pcre/8.44-he1b5a44_0-linux-64,NOT_REVIEWED,,,conda 1.2.3,KB_COMPONENT,
,4ae9e20b-4e5b-48f2-913a-02e82ce5f7da,5167db1c-ff1b-4907-97fd-a06a241cef11,zlib,1.2.11,1.2.11-h516909a_1006-linux-64,7bf4506f-7531-4655-a4bf-e9deb4d2cc8e,zlib License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,2/20/20,anaconda,zlib/1.2.11-h516909a_1006-linux-64,NOT_REVIEWED,,,conda 1.2.3,KB_COMPONENT,
,5598af5f-f8e6-4345-a6a2-8ef042e33351,f0829fec-2540-4648-b19a-9f6ed70e9947,ICU for Java (ICU4J),64.2,64.2-he1b5a44_1-linux-64,fc451d0b-1164-4c74-9b9c-60e5de0fb97f,Unicode License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,2/20/20,anaconda,icu/64.2-he1b5a44_1-linux-64,NOT_REVIEWED,,,conda 1.2.3,KB_COMPONENT,
,b0d6f0aa-272a-4579-8e89-1d262e01f1f7,796387f8-2499-4070-a9ed-5c8caac57175,GNU Compiler Collection,9.2.0,9.2.0-hdf63c60_2-linux-64,"cb3238d3-5a3e-4506-a6e2-5054a6f07cdf,347711ec-ba5f-48f3-9402-bd978c118eb2,9c5d96e4-5639-4ea9-b17c-dcce18ca7930,7bf4506f-7531-4655-a4bf-e9deb4d2cc8e,cc875133-df38-4806-9921-473e0ef01a87,9f63ea0e-1486-40ff-844a-1536676b5400,f80fb9a9-5329-47c2-864d-00ed5cf744bf,39692bc6-4d1c-4466-a02c-fa6f21170587,3a5d4424-557d-49fa-9416-71c06026fe07,0d22d54d-3f73-4133-9f15-e84e50b22d0c,0289ba34-8fe7-41db-82e0-49c28b9c2414,cff110eb-f85c-445c-9d3b-00a04b7f4cf0,b909f3d7-3d13-4b8d-8a3d-e44cca1f0d20,3d238144-44e6-450e-b523-3defbdaed9dc,be58252e-e70f-4f23-86c7-65a80a25cfa2,ad705c59-6893-4980-bdbf-0837f1823cc4,46964a26-d59e-4258-99b5-4696d2289049,cec72e78-255c-4057-8293-eba033c5ea97,31fb3d0f-1c93-4264-91e9-83e71ac3ef97,57f553be-1865-4577-a5d4-6461aad8472a,9aa0050b-acd5-43c3-ae8d-0b10e7070e18","(zlib License OR GNU General Public License v3.0 w/GCC Runtime Library exception OR GNU Lesser General Public License v2.1 or later OR University of Illinois/NCSA Open Source License OR GNU Lesser General Public License v3.0 only OR BSD 2-clause ""Simplified"" License OR Spencer License 97 OR GNU General Public License v2.0 or later OR GNU General Public License v3.0 or later OR Phorum License 2.0 OR GNU Library General Public License v2 or later OR X.Net License OR MIT License OR GNU General Public License v1.0 or later OR Historic Permission Notice and Disclaimer OR Sun Freely Redistributable License OR BSD 3-clause ""New"" or ""Revised"" License OR Artistic License 1.0 (Perl) OR GNU Free Documentation License v1.2 OR GNU General Public License v2.0 only OR BSD 4-clause ""Original"" or ""Old"" License)","PERMISSIVE,WEAK_RECIPROCAL,RECIPROCAL",Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,2/20/20,anaconda,libstdcxx-ng/9.2.0-hdf63c60_2-linux-64,NOT_REVIEWED,,,conda 1.2.3,KB_COMPONENT,
,a17d22e7-d0b2-4e51-b63c-e9eadb733049,069dbdea-b67d-48f9-b790-69635933fe5a,GLib,2.58.3,2.58.3-h6f030ca_1002-linux-64,cff110eb-f85c-445c-9d3b-00a04b7f4cf0,GNU Lesser General Public License v2.1 or later,WEAK_RECIPROCAL,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,2/20/20,anaconda,glib/2.58.3-h6f030ca_1002-linux-64,NOT_REVIEWED,,,conda 1.2.3,KB_COMPONENT,
,897e01f0-cebc-44e7-b687-d4d52260daaf,2e0d4541-edca-4505-b840-046e5485df7e,GNU Gettext,0.19.8.1,0.19.8.1-hc5be6a0_1002-linux-64,f80fb9a9-5329-47c2-864d-00ed5cf744bf,GNU General Public License v3.0 or later,RECIPROCAL,Direct Dependency,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,2/20/20,anaconda,gettext/0.19.8.1-hc5be6a0_1002-linux-64,NOT_REVIEWED,,,conda 1.2.3,KB_COMPONENT,
,2408eebe-f514-4665-8fd4-834e6920eb2c,f19c5195-df86-48fb-9705-91f36b49a192,libiconv,1.15,1.15-h516909a_1005-linux-64,9aa0050b-acd5-43c3-ae8d-0b10e7070e18,GNU Lesser General Public License v3.0 only,WEAK_RECIPROCAL,Direct Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,2/20/20,anaconda,libiconv/1.15-h516909a_1005-linux-64,NOT_REVIEWED,,,conda 1.2.3,KB_COMPONENT,
,6e2c44eb-e153-4b09-9500-f61fda6353ac,e4a4ae0d-8e86-4b02-aa38-d4196442caac,libgomp,9.2.0,9.2.0-h24d8f2e_2-linux-64,f80fb9a9-5329-47c2-864d-00ed5cf744bf,GNU General Public License v3.0 or later,RECIPROCAL,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,2/20/20,anaconda,libgomp/9.2.0-h24d8f2e_2-linux-64,NOT_REVIEWED,,,conda 1.2.3,KB_COMPONENT,
,dd3ce452-9564-4e0a-9d9b-5fe21997c994,29a8b26e-8f42-4efb-b981-b462c899eff5,libv8,7.5.288.30,7.5.288.30-h08bb679_1-linux-64,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,2/20/20,anaconda,libv8/7.5.288.30-h08bb679_1-linux-64,NOT_REVIEWED,,,conda 1.2.3,KB_COMPONENT,
