,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,@aashutoshrathi/word-wrap,1.2.6,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,296ae557-4d6b-41da-aa83-54a8f3113bfc,427cce12-19eb-4121-9288-50df130c9964,ad705c59-6893-4980-bdbf-0837f1823cc4
1,@adobe/css-tools,4.2.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,01dc3a92-0b14-4b25-91a6-b11570f251f1,48225747-12fe-4a89-a96d-500be3faab3a,ad705c59-6893-4980-bdbf-0837f1823cc4
2,@alloc/quick-lru,5.2.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,c2679f27-a75c-40a2-9e15-ac50ad03b7b6,a13c0d5e-aa09-4273-afda-5f8a2b9a22a8,ad705c59-6893-4980-bdbf-0837f1823cc4
3,@ampproject/remapping,2.2.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,762035a5-e9f6-46b5-ab0d-fdfa367bd9d8,47fba395-24cb-44bb-b521-0065f946f532,7cae335f-1193-421e-92f1-8802b4243e93
4,@ampproject/remapping,2.2.1,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,762035a5-e9f6-46b5-ab0d-fdfa367bd9d8,b1da7145-4001-4738-8e23-5f692c18e7ff,7cae335f-1193-421e-92f1-8802b4243e93
5,@asciidoctor/cli,3.5.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,381512bf-ff3c-47ef-aa39-2f859796214e,c90dcc03-4b6c-41e6-a882-563e459fe161,ad705c59-6893-4980-bdbf-0837f1823cc4
6,@asciidoctor/core,2.2.6,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,a50003db-441e-4995-8feb-3117bbf7f533,9dcc4352-b703-4739-af1d-0f3e9babdbd5,ad705c59-6893-4980-bdbf-0837f1823cc4
7,@aw-web-design/x-default-browser,1.4.126,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,cb1f0c05-c376-4c5c-8d76-26cd33a4f97e,d874e860-43a6-4431-a2a5-fa13b1e744b7,ad705c59-6893-4980-bdbf-0837f1823cc4
8,@babel/code-frame,7.22.13,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,e0589241-4783-48f7-843a-ba6d4fd3a225,2b03e572-bedc-469d-9975-671b080e546b,ad705c59-6893-4980-bdbf-0837f1823cc4
9,@babel/compat-data,7.19.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,7a29265f-280b-498c-9b77-99c10eefef61,27b22877-0e4a-4d05-8e6f-122232031e01,ad705c59-6893-4980-bdbf-0837f1823cc4
10,@babel/compat-data,7.22.9,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,7a29265f-280b-498c-9b77-99c10eefef61,8cf2ee38-1e31-48e9-b34a-de2901271eb0,ad705c59-6893-4980-bdbf-0837f1823cc4
11,@babel/core,7.19.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,c0271d13-4a3d-4bcc-ab48-0cdad3ef412b,c0cbf446-02a4-405e-90a4-7159cb10a422,ad705c59-6893-4980-bdbf-0837f1823cc4
12,@babel/core,7.22.9,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,c0271d13-4a3d-4bcc-ab48-0cdad3ef412b,4b03590d-f959-412e-8058-e27f05a1f820,ad705c59-6893-4980-bdbf-0837f1823cc4
13,@babel/generator,7.23.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,7a4eda02-c81b-4f8e-91b3-179f3ea8f7cb,674759f4-624b-4ff1-8716-8480663b7b45,ad705c59-6893-4980-bdbf-0837f1823cc4
14,@babel/helper-annotate-as-pure,7.18.6,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,5a48e054-eb34-4c4e-9909-1ab148d6c26f,531523b7-ff85-42c0-902f-20f73a07aa20,ad705c59-6893-4980-bdbf-0837f1823cc4
15,@babel/helper-annotate-as-pure,7.22.5,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,5a48e054-eb34-4c4e-9909-1ab148d6c26f,8e7edcbf-a141-40af-9308-005f93345cfa,ad705c59-6893-4980-bdbf-0837f1823cc4
16,@babel/helper-builder-binary-assignment-operator-visitor,7.18.9,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,ff1f7b9b-003c-436a-86ce-9a516458c551,32d74e1a-86e6-4248-9e1a-cc065edf506f,ad705c59-6893-4980-bdbf-0837f1823cc4
17,@babel/helper-builder-binary-assignment-operator-visitor,7.22.10,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,ff1f7b9b-003c-436a-86ce-9a516458c551,cd8eba7c-6815-4f75-a126-f0242e5ed2ec,ad705c59-6893-4980-bdbf-0837f1823cc4
18,@babel/helper-compilation-targets,7.19.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,fdc3a6df-768a-435a-9ef9-5e1553a6af2e,494c7bef-c1c2-4301-b810-ef386d6993ce,ad705c59-6893-4980-bdbf-0837f1823cc4
19,@babel/helper-compilation-targets,7.22.10,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,fdc3a6df-768a-435a-9ef9-5e1553a6af2e,0c33b963-117f-44d3-8f09-5129ec71d6bc,ad705c59-6893-4980-bdbf-0837f1823cc4
