Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Operational Risk,Component policy status,Overridden By,Created At,Origin name,Origin id,Review Status,Reviewed by,Reviewed at,Project path,Source/Type,Snippet Review status,File Match Count,License Risk,Component Status,Component Notes,Fulfillment Required,Version Notes,Critical Vulnerability Count,High Vulnerability Count,Medium Vulnerability Count,Low Vulnerability Count,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families,Comments,Component origin id,Has License Conflicts
,762035a5-e9f6-46b5-ab0d-fdfa367bd9d8,f741e3a4-450e-4bea-afdd-5f473bcaf109,@ampproject/remapping,1.0.1,1.0.1,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,1/28/22,npmjs,@ampproject/remapping/1.0.1,NOT_REVIEWED,,,couchbase-cluster-monitor 0.2.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,1/15/21,4,,,,,,,,2a74429b-e659-4140-8999-8ae5053f5e20,false
,4528e144-e45f-4399-abed-78e582ef7699,d8653cda-eb00-4092-a937-ad3f2cd7226a,@angular-devkit/architect,0.1202.11,0.1202.11,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,1/28/22,npmjs,@angular-devkit/architect/0.1202.11,NOT_REVIEWED,,,couchbase-cluster-monitor 0.2.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,10/20/21,33,,,,,,,,14f4e8ea-e7db-4d56-abbc-c2e87d356f97,false
,f7e6e6fa-2916-492b-8071-0dd71448e32a,2c7421a8-7496-4549-81c6-4637dec5a415,@angular-devkit/build-angular,12.2.11,12.2.11,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,1/28/22,npmjs,@angular-devkit/build-angular/12.2.11,NOT_REVIEWED,,,couchbase-cluster-monitor 0.2.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,10/20/21,33,,,,,,,,b60826be-3190-462c-acc0-e1e3bb4c8f3e,false
,a1b04d28-7589-4e4e-a3df-819dac9bf9df,d44f92cd-b22c-47d0-b3e7-3dba2e76b054,@angular-devkit/build-webpack,0.1202.11,0.1202.11,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,1/28/22,npmjs,@angular-devkit/build-webpack/0.1202.11,NOT_REVIEWED,,,couchbase-cluster-monitor 0.2.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,10/20/21,33,,,,,,,,601f176d-f7e5-43a7-b935-a578761417d5,false
,e0cb72b1-7eed-407e-9427-9b657290612b,6f5f7e45-e0f7-4bb1-959e-c06ea72ca355,@angular/animations,12.2.11,12.2.11,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,1/28/22,npmjs,@angular/animations/12.2.11,NOT_REVIEWED,,,couchbase-cluster-monitor 0.2.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,10/20/21,27,,,,,,,,18418dec-ff20-4933-a1bd-2fdc0706577b,false
,21b243ea-f0d5-4a5c-88e5-7f03b5211f7c,10dd2b47-146b-40fb-8408-ac32d8c7af24,@angular/cli,12.2.11,12.2.11,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,1/28/22,npmjs,@angular/cli/12.2.11,NOT_REVIEWED,,,couchbase-cluster-monitor 0.2.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,10/20/21,33,,,,,,,,16bc3097-b7a4-4dd0-b358-c81b0304429e,false
,8613399f-4ee7-4dc1-b732-28deccbcb011,113a9c67-6041-4547-b645-4856a8982379,@angular/common,12.2.11,12.2.11,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,1/28/22,npmjs,@angular/common/12.2.11,NOT_REVIEWED,,,couchbase-cluster-monitor 0.2.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,10/20/21,27,,,,,,,,c8845237-a5d9-48f1-8e3a-a08bab7e670d,false
,c80aed26-8373-4160-8356-ac0b10c7514c,c78d002b-dc33-45ac-8d17-cc67b8e873dd,@angular/compiler,12.2.11,12.2.11,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,1/28/22,npmjs,@angular/compiler/12.2.11,NOT_REVIEWED,,,couchbase-cluster-monitor 0.2.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,10/20/21,27,,,,,,,,63055045-d897-4e55-bf7c-56f429360613,false
,c80aed26-8373-4160-8356-ac0b10c7514c,94bc617e-bd15-416e-b37f-b2e928d0d057,@angular/compiler,9.0.0,9.0.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,1/28/22,npmjs,@angular/compiler/9.0.0,NOT_REVIEWED,,,couchbase-cluster-monitor 0.2.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,2/6/20,227,,,,,,,,02823869-2fba-4512-acf9-15ab0d3930c1,false
,bcda54cf-0fd0-4716-be89-75b7620f0f8c,a8e3d053-6adb-4c21-b085-0a0280a77f8a,@angular/compiler-cli,12.2.11,12.2.11,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,1/28/22,npmjs,@angular/compiler-cli/12.2.11,NOT_REVIEWED,,,couchbase-cluster-monitor 0.2.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,10/20/21,27,,,,,,,,2eb6e4da-78ae-4c0a-bd39-8fb4d06bb4a3,false
