,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,Abseil,20230802.0,Manually Added,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,48190a0a-604d-41eb-aadc-9c942ecdb6fd,d073af07-a0ea-4e5c-988f-5c5fb7809e29,7cae335f-1193-421e-92f1-8802b4243e93
1,Boost C++ Libraries - boost,1.82.0,Manually Added,Boost Software License 1.0,PERMISSIVE,NOT_REVIEWED,4eac8f37-d9e5-4344-83d0-be0e9fd42a6a,b7af8b1f-256a-4d8a-a7eb-915bc3ffdfd0,26b23233-77bd-4cc2-8977-f312abd57327
2,Bootstrap (Twitter),3.2.0,Exact,MIT License,PERMISSIVE,NOT_REVIEWED,677efaf5-5bad-4f93-904b-dc4b69af9199,57380db8-397c-4888-9618-3d6836cc0f5c,ad705c59-6893-4980-bdbf-0837f1823cc4
3,Breakpad,r835,Manually Added,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,db80c33d-d4c4-47e7-a3a4-a749eb3b5d74,dbdbc0b0-cf09-4a11-92dd-c2207abaabcf,3d238144-44e6-450e-b523-3defbdaed9dc
4,Bzip2,1.0.8,Manually Added,Bzip2 License,PERMISSIVE,NOT_REVIEWED,102488a4-212e-4ab3-8fc6-338f3f5b120e,505c500f-d225-4626-8167-46c7a2506905,90ddb01b-a276-4181-adaf-bcef2964b490
5,Couchbase,cb7.0.2,"Files Added/Deleted,Exact,Files Modified",Apache License 2.0,PERMISSIVE,NOT_REVIEWED,2f1a87a6-12e2-4211-a369-4a37de3f8636,6cc1623b-03d2-429e-9274-ffc5cc72b0d9,7cae335f-1193-421e-92f1-8802b4243e93
6,Couchbase,v7.1.0,"Files Added/Deleted,Exact,Files Modified",Apache License 2.0,PERMISSIVE,NOT_REVIEWED,2f1a87a6-12e2-4211-a369-4a37de3f8636,18c517ac-a05a-4db0-a5b9-d067597f3671,7cae335f-1193-421e-92f1-8802b4243e93
7,Couchbase,v7.1.3,"Files Added/Deleted,Exact,Files Modified",Apache License 2.0,PERMISSIVE,NOT_REVIEWED,2f1a87a6-12e2-4211-a369-4a37de3f8636,bc73907c-5223-47cf-9887-1faaf6362ac7,7cae335f-1193-421e-92f1-8802b4243e93
8,Ejecta,v1.1,Exact,Unknown License,UNKNOWN,NOT_REVIEWED,ef8cefe9-5995-4139-ab94-4d27ad02a7bc,1bcea150-8fcf-47cc-8f0e-1fcb4184c543,00000000-0010-0000-0000-000000000000
9,FlatBuffers,1.5.0,"Exact,Files Modified",Apache License 2.0,PERMISSIVE,NOT_REVIEWED,ae906881-37fd-4af4-8fe7-e435fd2056af,e9cd2b52-0ca8-4e31-9faa-6f0922d191a6,7cae335f-1193-421e-92f1-8802b4243e93
10,FlatBuffers,v1.10.0,Manually Added,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,ae906881-37fd-4af4-8fe7-e435fd2056af,41b27a37-1b9b-4437-ad2e-952d186b5999,7cae335f-1193-421e-92f1-8802b4243e93
11,Go programming language,0.0~git20190125.d66bd3c+ds,"Files Added/Deleted,Exact,Files Modified","BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,6d055c2b-f7d7-45ab-a6b3-021617efd61b,e7fbe1f4-0ae1-4cac-887e-d6238639724c,3d238144-44e6-450e-b523-3defbdaed9dc
12,Go programming language,20160621-snapshot,Exact,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,6d055c2b-f7d7-45ab-a6b3-021617efd61b,ddaa6119-7a1a-4cd3-81a8-2b8160715272,7cae335f-1193-421e-92f1-8802b4243e93
13,Go programming language,20160905-snapshot,Exact,Go BSD License with Patent Provision,PERMISSIVE,NOT_REVIEWED,6d055c2b-f7d7-45ab-a6b3-021617efd61b,60b9c37e-756c-401f-8326-014ef5374a53,aea0a5dc-0989-46dc-b1e3-71c7796d85fa
14,Golang Protobuf,v1.28.0,Exact,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,faa9ce60-ee56-4f4a-b55c-b33fae6c61f4,346024fb-955f-44c8-af50-3b7bad265beb,3d238144-44e6-450e-b523-3defbdaed9dc
15,Golang Protobuf,v1.4.3,Files Modified,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,faa9ce60-ee56-4f4a-b55c-b33fae6c61f4,d064b901-1e96-44c9-be19-ca416836efd5,3d238144-44e6-450e-b523-3defbdaed9dc
16,Google V8 JavaScript Engine,12.1.285.26,Manually Added,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,3eec43ae-12a3-4035-bceb-9b5bd8eefe79,0ba9985b-3822-461a-98ba-f610e40799cb,3d238144-44e6-450e-b523-3defbdaed9dc
17,HdrHistogram_c,0.9.11,"Exact,Files Modified","(BSD 3-clause ""New"" or ""Revised"" License AND Public Domain)",PERMISSIVE,NOT_REVIEWED,d6249fec-895a-485f-9d41-6311f689a7fd,da08b3b9-083d-48e9-91a6-98941bdd5d02,"3d238144-44e6-450e-b523-3defbdaed9dc,d26bcb7d-5bc8-4f05-8942-a3a42728a2e4"
18,JSON for Modern C++,3.11.2,Manually Added,MIT License,PERMISSIVE,NOT_REVIEWED,7355d1e8-3e81-447c-a726-fa23a3541ac2,82589e73-67ca-4a69-8664-86b741bb433d,ad705c59-6893-4980-bdbf-0837f1823cc4
19,OpenBLAS,v0.3.25,Manually Added,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,4d295b0d-132b-4b5f-aaaa-0ea2b007e5a8,befea2cb-ab8e-4224-be78-c8bfb805696d,3d238144-44e6-450e-b523-3defbdaed9dc
20,OpenJDK,jdk-17.0.10-ga,Manually Added,GNU General Public License v2.0 w/Classpath exception,RECIPROCAL,NOT_REVIEWED,324fb534-b708-4c94-95d0-25335b546471,adfd89f0-713d-40aa-8325-b9b9ff0e680a,9b7eb3ce-d64b-4e3e-a6b7-55d4dc798e68
21,OpenSSL,3.1.4,Manually Added,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,cc8d0e2b-f88f-49c8-b42f-42626640f589,48c85c9a-fae1-4153-9392-c810adb2c45e,7cae335f-1193-421e-92f1-8802b4243e93
22,OpenSSL,3.2.1,Manually Added,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,cc8d0e2b-f88f-49c8-b42f-42626640f589,4fe26385-4bc9-429e-a1e7-c84608056222,7cae335f-1193-421e-92f1-8802b4243e93
23,PCRE,8.44,Manually Added,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,8c9723be-a23f-4974-9645-54c471aed433,5ecfafee-154d-4573-9335-0b29a6bb290f,3d238144-44e6-450e-b523-3defbdaed9dc
24,Protobuf,1.4.2,Exact,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,1ac59252-efa9-4847-adda-55c704035f0c,ed27d0d4-b7fe-41a5-a4f2-da47e08efdc5,3d238144-44e6-450e-b523-3defbdaed9dc
25,Protobuf,3.24.3,Manually Added,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,1ac59252-efa9-4847-adda-55c704035f0c,3144e216-6ad1-4f9b-b27f-07ef21fe7e26,3d238144-44e6-450e-b523-3defbdaed9dc
26,PySocks,1.7.1,Manually Added,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,5c2e7e08-0eb3-4d78-a6a7-45a36bad400c,084eac51-c38a-4247-8890-8a8c0b2a49f7,3d238144-44e6-450e-b523-3defbdaed9dc
27,Python programming language,3.11.8,Manually Added,Python Software Foundation License 2.0,PERMISSIVE,NOT_REVIEWED,87993177-f099-4a8c-b962-3958dc3e3a3a,f02c39d6-408b-4442-be21-f9db9a4fa52c,ead40028-7962-4fc0-9be5-2b956cd4714a
28,SQLite,3.45.2,Manually Added,The Unlicense,PERMISSIVE,NOT_REVIEWED,302ca56c-2cf6-4cfd-9173-94c1ee2a44f7,d7415cbb-67c8-499f-a667-67080a1265f9,57b1f355-a0a0-4f5e-b4dd-019296e4eda6
29,Sparkle,1.27.1,Manually Added,MIT License,PERMISSIVE,NOT_REVIEWED,ffc560e5-b992-43d1-9a2c-91f767a84d53,3a20921f-399d-4042-b11c-ddcef556a6b5,ad705c59-6893-4980-bdbf-0837f1823cc4
30,Tcl/Tk,8.6.13,Manually Added,TCL/TK License,PERMISSIVE,NOT_REVIEWED,b64ca5f6-9e86-4f1f-932f-c5725affbfa5,81727b96-34ba-4244-bbd0-f167c22bd920,2189a8c7-cbf8-4bdd-93ba-db40e3b764e2
31,XZ Utils,5.2.6,Manually Added,(GNU Lesser General Public License v2.1 or later AND Public Domain AND GNU General Public License v2.0 or later AND GNU General Public License v3.0 or later),"PERMISSIVE,WEAK_RECIPROCAL,RECIPROCAL",NOT_REVIEWED,59191267-61f3-42aa-9247-6b83d8085db5,0d3eea26-e2d2-42af-843e-c149690cf1f2,"d26bcb7d-5bc8-4f05-8942-a3a42728a2e4,f80fb9a9-5329-47c2-864d-00ed5cf744bf,39692bc6-4d1c-4466-a02c-fa6f21170587,cff110eb-f85c-445c-9d3b-00a04b7f4cf0"
32,_libgcc_mutex,0.1,Manually Added,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,c2c6416a-0d4a-4696-a53a-9e8fddf436b8,b6a4f814-514e-48a5-9181-05a776b9fb15,3d238144-44e6-450e-b523-3defbdaed9dc
33,_openmp_mutex,4.5,Manually Added,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,e96f3f9a-dc1b-488a-95d5-853f0b074d1c,5f855ec0-f58d-4754-839e-52d6e3b3447c,3d238144-44e6-450e-b523-3defbdaed9dc
34,alecthomas/participle,v0.4.0,Exact,MIT License,PERMISSIVE,NOT_REVIEWED,89f543f8-918e-48fc-b6a2-8551fbb3bbbc,d7d41c54-ba7e-4d22-bf53-b56a235f6943,ad705c59-6893-4980-bdbf-0837f1823cc4
35,apache/asterixdb,apache-hyracks-0.3.9,"Files Added/Deleted,Exact,Files Modified",Unknown License,UNKNOWN,NOT_REVIEWED,fd60ee47-e224-44b3-bb8a-88405319d01a,ac8afc53-ebb0-4fd8-8a82-daa4dafa1e98,00000000-0010-0000-0000-000000000000
36,arekinath/esaml,v1.1,Files Modified,"BSD 2-clause ""Simplified"" License",PERMISSIVE,NOT_REVIEWED,4733e0ba-47f9-4c87-9639-b2ac21c89b9a,8230a930-3315-4cb8-9b5b-ff9ec3de1fa6,cc875133-df38-4806-9921-473e0ef01a87
37,asterix-app,0.9.9,"Files Added/Deleted,Exact,Files Modified",Apache License 2.0,PERMISSIVE,NOT_REVIEWED,de409bde-0eef-4df6-aeb2-245a25e9ac7d,bfe81caa-2cad-4ddf-8b44-78e5d9a139fe,7cae335f-1193-421e-92f1-8802b4243e93
38,asterix-benchmark,0.9.8,Exact,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,0839f1bd-5362-48e6-b734-5c2b0808d8cb,9c05bf6e-cea6-4bf3-85de-55959478b4c8,7cae335f-1193-421e-92f1-8802b4243e93
39,asterix-dashboard,0.9.6,Exact,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,4d16c78b-0d86-4994-88ad-9b41b6e78b4b,d6b7f78a-d842-44a3-ae14-f5b722bd8b09,7cae335f-1193-421e-92f1-8802b4243e93
40,asterix-server,0.9.9,Exact,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,15630169-994e-42df-8fb4-87c875572646,e14171e3-c9ab-467e-b8ec-4f848ba7c601,7cae335f-1193-421e-92f1-8802b4243e93
41,beorn7-perks,20200320-snapshot,Exact,MIT License,PERMISSIVE,NOT_REVIEWED,a160fd2a-ab2a-4d35-8243-5bed42557272,62097daf-1571-4e4a-9997-1ad64465fce6,ad705c59-6893-4980-bdbf-0837f1823cc4
