,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,Apache Commons Lang,3.14.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,9c0920e4-104a-448e-8192-866544b75890,cc03e07b-97da-42cc-86b4-e5a9f999fd18,7cae335f-1193-421e-92f1-8802b4243e93
1,Couchbase Java SDK,3.6.1,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,24d30cc9-59fe-47e8-9672-b5b99f76eaec,364b5a74-7331-4698-83e8-59fda06a41fc,7cae335f-1193-421e-92f1-8802b4243e93
2,HdrHistogram,2.1.12,Transitive Dependency,"(BSD 2-clause ""Simplified"" License OR Creative Commons Zero v1.0 Universal OR Public Domain)",PERMISSIVE,NOT_REVIEWED,cb1dd6e6-4d90-4aff-9a45-2b8f6979e7cc,3bc817e9-60e6-449a-b0e4-fc2155157579,"d26bcb7d-5bc8-4f05-8942-a3a42728a2e4,cc875133-df38-4806-9921-473e0ef01a87,a7c69599-62b6-4d06-9ec6-ea688c041c00"
3,LatencyUtils,2.0.3,Transitive Dependency,"(BSD 2-clause ""Simplified"" License OR Creative Commons Zero v1.0 Universal)",PERMISSIVE,NOT_REVIEWED,874c05c9-ed80-4f4b-a936-f00eb05b72e6,e93456bb-8d51-4be1-a5c0-57af8aaa218c,"cc875133-df38-4806-9921-473e0ef01a87,a7c69599-62b6-4d06-9ec6-ea688c041c00"
4,Metrics Core,4.2.16,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,c55ce524-78b7-48ed-b071-7c6c7c085bae,302d184e-f428-40cc-a94d-858748cf435b,7cae335f-1193-421e-92f1-8802b4243e93
5,Metrics Integration with JMX,4.2.16,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,03db2795-e107-43fc-b37b-ea3a7013556d,0b67b633-6aeb-4597-8108-243f911a4cbf,7cae335f-1193-421e-92f1-8802b4243e93
6,SLF4J API Module,1.7.30,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,ca782761-ef54-4eb6-b7f0-b9fbb15a0698,895a72f6-8663-4eab-9c61-842f0c01d6d7,ad705c59-6893-4980-bdbf-0837f1823cc4
7,com.github.therapi:therapi-runtime-javadoc,0.13.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,6c6b2b55-2f4c-482e-be71-89c245bfb3fa,79b0dc68-df93-46dd-99fc-a1455fde6033,7cae335f-1193-421e-92f1-8802b4243e93
8,jsoup,1.17.2,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,8dff5ca6-c887-4865-b1f0-8f0115ba8d05,2df0ab20-5f4c-447b-962f-b799c82ab1b0,ad705c59-6893-4980-bdbf-0837f1823cc4
9,micrometer-commons,1.10.4,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,dd510f30-26b9-4beb-9765-2a155d887110,038decc8-4a2d-485d-9be5-45921206d49d,7cae335f-1193-421e-92f1-8802b4243e93
10,micrometer-metrics/micrometer,1.10.4,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,692feaee-8a6e-454b-bee7-670413a9287c,55d8d131-8721-4302-969e-eb69a517443e,7cae335f-1193-421e-92f1-8802b4243e93
11,micrometer-observation,1.10.4,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,374ba4be-9c02-47e4-84f7-46301506ef7a,fa2705cb-fe14-4332-94dd-e1a031c6436f,7cae335f-1193-421e-92f1-8802b4243e93
12,micrometer-registry-jmx,1.10.4,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,8ff216f1-0a59-44aa-9444-35e70f467d21,f49185dc-34c3-432a-a1ca-b2789e89f838,7cae335f-1193-421e-92f1-8802b4243e93
13,reactive-streams,1.0.4,Transitive Dependency,MIT No Attribution,PERMISSIVE,NOT_REVIEWED,f00e23b5-eb1d-4939-93bb-4cbf7dedffb0,07e06202-b19b-4688-aa7c-275395b70a19,3f2f93af-991e-4604-b57c-a2fef0f8781e
14,reactor-core,3.6.3,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,57acb49f-c5f5-4081-adbb-90099c4307d7,b75053f1-ffaa-400e-9413-61b36b95b8ce,7cae335f-1193-421e-92f1-8802b4243e93
