,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,Couchbase JVM Core IO,2.2.1,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,72ed568b-e849-4f92-a4d1-df220cb2a423,733a5083-ec22-4c2f-867e-ee76e867c0f0,7cae335f-1193-421e-92f1-8802b4243e93
1,Couchbase Scala SDK,1.2.1,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,f5da2fbe-8840-4529-8256-a2e9829e89c1,4edab425-4f5e-4632-b41a-aa8af469624c,7cae335f-1193-421e-92f1-8802b4243e93
2,Scala,v2.12.14,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,5defcec1-ef02-4263-828f-7bb1e139a2af,e300764e-36d3-4774-aace-9ee2b3d66abd,7cae335f-1193-421e-92f1-8802b4243e93
3,Scala wrapper for reactor-core,0.7.1,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,97afe998-1e34-4a7b-9567-3c87a516914b,73f32e22-264d-4ce9-b852-42cfd9d614af,7cae335f-1193-421e-92f1-8802b4243e93
4,jsoniter-scala-core,2.1.6,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,d8fdfa6f-b3f6-4946-8bfd-266af9a290fa,b0206620-3c8c-4098-976b-643ef0452c64,ad705c59-6893-4980-bdbf-0837f1823cc4
5,jsoniter-scala-macros,2.1.6,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,5c83281e-e1db-4f4a-8052-45f6681990b7,5432bee0-23bf-4784-9562-9f27ac4ff2d4,ad705c59-6893-4980-bdbf-0837f1823cc4
6,reactive-streams,1.0.3,Transitive Dependency,Creative Commons Zero v1.0 Universal,PERMISSIVE,NOT_REVIEWED,f00e23b5-eb1d-4939-93bb-4cbf7dedffb0,92a59212-ffed-48cf-9520-2d01a72ce6a7,a7c69599-62b6-4d06-9ec6-ea688c041c00
7,reactor-core,3.4.9,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,57acb49f-c5f5-4081-adbb-90099c4307d7,f1ae5a4e-2956-46e1-bfb8-b71606ffa2c9,7cae335f-1193-421e-92f1-8802b4243e93
8,scala-collection-compat,2.5.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,3abdb783-e862-48be-b919-98c5daf8151a,cc150572-bc73-4442-91e1-02d3ee222549,7cae335f-1193-421e-92f1-8802b4243e93
9,scala-compiler,2.12.14,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,74806efc-cd55-483a-a709-831e1f68f334,714b9fb4-e33a-47e9-a6d2-605e4c5add10,7cae335f-1193-421e-92f1-8802b4243e93
10,scala-xml,1.0.6,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,30fd1009-2490-42c2-97b9-ef04a381a9c8,0026e6ed-9e5c-471e-b45c-deacbc8dab79,3d238144-44e6-450e-b523-3defbdaed9dc
