,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,BinaryEncoding,1.5.0,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,0ac6853e-0a7e-42c0-aa02-72f10d1ddfe5,9dc7cd93-9c97-4a9a-bf70-c6ee122b33b5,ad705c59-6893-4980-bdbf-0837f1823cc4
1,Couchbase.Lite.Enterprise,3.2.1,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,d04cafa7-be38-4ebd-99ce-bf11fe5ca017,d0f07ab3-106b-4465-b58c-6fd0a1eee634,7cae335f-1193-421e-92f1-8802b4243e93
2,Json.NET,12.0.1,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,971d8668-3569-4386-8043-912678d3687e,bbba168b-c959-4d25-8fe9-67ef3d9bd2d6,ad705c59-6893-4980-bdbf-0837f1823cc4
3,McMaster.Extensions.CommandLineUtils,2.3.2,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,b9c71584-573a-4f12-92bd-1fcb768ae9db,bd0f66a8-0675-4430-b33f-228feb6d53b4,7cae335f-1193-421e-92f1-8802b4243e93
4,McMaster.Extensions.CommandLineUtils,2.4.4,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,b9c71584-573a-4f12-92bd-1fcb768ae9db,0313bd9b-24ec-480c-ae0b-b877a8bcd026,7cae335f-1193-421e-92f1-8802b4243e93
5,Microsoft.Extensions.Configuration,2.2.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,d663372b-2dad-49d4-917e-053efa986cd2,42395d76-a3b0-4d99-b15e-16f9e67fedb9,7cae335f-1193-421e-92f1-8802b4243e93
6,Microsoft.Extensions.Configuration.EnvironmentVariables,2.2.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,0e81f1db-ee28-46b1-b70a-f83e85713cbd,14a7bbaa-e8bd-4920-b194-ff8d807fead3,7cae335f-1193-421e-92f1-8802b4243e93
7,Microsoft.Extensions.Configuration.Ini,2.2.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,e74f7757-8c80-4d14-bb1c-5d1928514c74,afbdcf30-4cee-416a-83be-db875f184913,7cae335f-1193-421e-92f1-8802b4243e93
8,Microsoft.Extensions.Configuration.Ini,3.1.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,e74f7757-8c80-4d14-bb1c-5d1928514c74,85abcd37-4eb4-4679-ac4c-d8eac316c0e3,7cae335f-1193-421e-92f1-8802b4243e93
9,Microsoft.Extensions.Configuration.UserSecrets,8.0.0,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,cac2f27f-ef74-4f80-96a0-25941ce88bc6,b0d49117-1589-489d-8b9e-8fb410361b29,ad705c59-6893-4980-bdbf-0837f1823cc4
10,Spectre.Console,0.49.2-preview.0.47,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,0b9a76da-6bae-4721-b7ab-06a12aa3b0c8,a262094b-ad52-4951-a107-eb8d8674cf99,ad705c59-6893-4980-bdbf-0837f1823cc4
11,Spectre.Console.Cli,0.48.1-preview.0.5,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,03d45ce3-2bdd-4b47-9f4a-9bc1b1737bc7,da247cdd-c6dc-4f8e-a776-93381d025fbf,ad705c59-6893-4980-bdbf-0837f1823cc4
12,Spectre.Console.Json,0.48.1-preview.0.5,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,f7c62d7a-2710-489d-9f04-435df85401ee,2c5fc26a-4348-4a50-9bb7-00260086ccf9,ad705c59-6893-4980-bdbf-0837f1823cc4
13,System.Linq.Async,4.0.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,6169a142-be09-42ff-95be-5f1e915ea0e5,f8cbacfa-e608-499b-be32-5f220a8cd3ab,7cae335f-1193-421e-92f1-8802b4243e93
14,Utility.CommandLine.Progress,0.0.5,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,0b4520d6-725d-454a-8f58-c445332e3fc9,56fb5572-6cc9-4f21-b0d1-139ebc9bdd8b,ad705c59-6893-4980-bdbf-0837f1823cc4
15,couchbase-lite-net,2.1.2,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,34b15c50-aa00-4e3e-a7e9-dfadf6b17d72,63204479-1e5d-45f6-bb71-f9e50a4e4366,7cae335f-1193-421e-92f1-8802b4243e93
16,couchbase-net-client,2.7.4,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,d5902001-0fd0-4903-bfe0-d07f2062a24a,f9f63af6-706f-4fbd-9f95-9f1f40bfeab7,7cae335f-1193-421e-92f1-8802b4243e93
17,sly,2.2.5.1,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,ec8c4aee-77a4-40ed-b95c-72bce5904437,63787ac4-b7ff-4e28-aa74-888cfdd32d03,ad705c59-6893-4980-bdbf-0837f1823cc4
