,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,Aspire.Hosting.AppHost,13.4.2,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,5c486aa8-29d4-47b6-81b4-737d66e32554,b52f711d-264f-45d0-8d75-63d1cff7daac,ad705c59-6893-4980-bdbf-0837f1823cc4
1,Couchbase.Aspire.Hosting,1.0.0-beta.3,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,1cf64dfe-3afc-4a52-b1c6-f613512c203f,766393b5-4a08-4542-a322-3430f6d24be6,7cae335f-1193-421e-92f1-8802b4243e93
2,Couchbase.Extensions.DependencyInjection,3.9.3,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,3ec732a8-09e9-4e60-ac95-cb7a0632b955,24055b29-2de0-4d8f-aced-3a7106b0520f,7cae335f-1193-421e-92f1-8802b4243e93
3,EFCore.NamingConventions,10.0.1,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,4c0d282b-5cd3-4266-b6e9-64f88ca8613b,2536df8b-7799-46a7-89c1-2fe1555e9cf1,7cae335f-1193-421e-92f1-8802b4243e93
4,EntityFrameworkCore,10.0.8,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,c22d727d-1ca1-440f-ac2e-bae94d117dd3,c9b3be7e-adb0-46cf-9462-aaa080727ccc,ad705c59-6893-4980-bdbf-0837f1823cc4
5,Microsoft.EntityFrameworkCore.Relational,10.0.8,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,4d0c7a0c-00c3-492c-bb03-96538d54e8f6,85319240-7d1d-482f-9e98-99daad1a85f1,ad705c59-6893-4980-bdbf-0837f1823cc4
6,Microsoft.Extensions.Http.Resilience,10.2.0,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,b439c7cd-391e-4936-8f3e-b38b75d7bd4d,509c12ce-b2b5-4eff-9374-0317a60b514b,ad705c59-6893-4980-bdbf-0837f1823cc4
7,Microsoft.Extensions.Logging.Console,10.0.8,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,f82aec7c-eae1-41cf-9411-e8087d765ffb,5742cb1a-3114-4bf7-b975-d48b2e49a6b3,ad705c59-6893-4980-bdbf-0837f1823cc4
8,Microsoft.Extensions.ServiceDiscovery,10.2.0,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,980c99d1-585c-4fc9-aff1-5b95f4c933c7,97f588fb-c5f4-40cd-a258-500a3a223510,ad705c59-6893-4980-bdbf-0837f1823cc4
9,OpenTelemetry.Exporter.OpenTelemetryProtocol,1.15.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,939dd884-5509-4e38-a352-d71f4522a7b5,e5c4118b-77b1-4b35-bf5c-2ff892c66e72,7cae335f-1193-421e-92f1-8802b4243e93
10,OpenTelemetry.Extensions.Hosting,1.15.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,51d620e3-3983-4b46-a656-f8b3c8d210ed,1b811299-d9ca-4515-8132-c5b2ff1bd94d,7cae335f-1193-421e-92f1-8802b4243e93
11,OpenTelemetry.Instrumentation.AspNetCore,1.15.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,e0055b73-c6be-431b-ab0a-c52296f1153a,369f5c6c-528f-4003-94a2-6b17b94344c0,7cae335f-1193-421e-92f1-8802b4243e93
12,OpenTelemetry.Instrumentation.Http,1.15.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,1e4cc331-ff5e-44c0-b813-97ef67e334e7,a748e6c5-cf3a-48f9-8718-28bd0b321dc3,7cae335f-1193-421e-92f1-8802b4243e93
13,OpenTelemetry.Instrumentation.Runtime,1.15.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,600575ef-e873-4a60-ba93-bbab34eb612a,5baa509e-7f66-419a-8567-96cee7c3c44b,7cae335f-1193-421e-92f1-8802b4243e93
14,Serilog.Extensions.Logging.File,3.0.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,49c47338-3bc9-43a9-8437-d95231cd6c1d,c4d4fcb8-89d7-4222-90b7-3ad7b559bd3c,7cae335f-1193-421e-92f1-8802b4243e93
15,couchbase-net-client,3.9.3,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,d5902001-0fd0-4903-bfe0-d07f2062a24a,650044c5-b5f7-41fd-9c1f-ed9a49e2a835,7cae335f-1193-421e-92f1-8802b4243e93
