,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,AOP Alliance (Java/J2EE AOP standard),1.0,Transitive Dependency,Public Domain,PERMISSIVE,NOT_REVIEWED,7c4149c8-ba40-4104-8dca-c0052ef3eafb,528a36b9-d858-44af-a316-a9af3b67c8bd,d26bcb7d-5bc8-4f05-8942-a3a42728a2e4
1,AWS Event Stream,1.0.1,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,68556129-b13b-472f-93ff-5545e2bfd3ed,55281e94-e2f8-427d-9d98-30efae99a873,7cae335f-1193-421e-92f1-8802b4243e93
2,AWS Java SDK :: Bill of Materials,2.20.26,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,ad1244a9-7444-472f-a19b-ef728c10aa74,e39d34c8-ff1f-4c87-97b6-c5db2edc3049,7cae335f-1193-421e-92f1-8802b4243e93
3,AWS Java SDK :: Core :: Protocols :: Json Utils,2.20.26,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,23acef5f-42fd-43a9-98ff-06d18bb4bd44,c5206dc8-163b-4506-aafe-192020409364,7cae335f-1193-421e-92f1-8802b4243e93
4,AWS Java SDK :: Endpoints SPI,2.20.26,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,9f2f12f2-8754-4a10-ba3f-9a195e454e7f,5c80c237-03a6-4319-b9e4-9188a32b3cd8,7cae335f-1193-421e-92f1-8802b4243e93
5,AWS Java SDK :: Metrics Interface,2.20.26,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,1422d3d9-dd49-4454-855a-0ebf84abadcd,f28fb85d-24d9-42c7-8fbe-146cc964de65,7cae335f-1193-421e-92f1-8802b4243e93
6,AWS Java SDK :: Third Party :: Jackson-core,2.20.26,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,c51d855b-b910-4a58-9781-ad1ea34b8765,05b833d3-827a-4113-b073-bbbff4d9e59d,7cae335f-1193-421e-92f1-8802b4243e93
7,AWS SDK for Java,2.20.26,"Direct Dependency,Transitive Dependency",Apache License 2.0,PERMISSIVE,NOT_REVIEWED,1945a1a8-833c-4250-8bf7-8f0e965c8d87,5b4e8f65-dda5-452e-95b1-43ae3c31c1f2,7cae335f-1193-421e-92f1-8802b4243e93
8,Apache Commons Codec,1.15,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,932a1ab1-4722-4bbd-9f5d-d6cd2aa1c7e7,9ef16238-8c72-4815-8884-446866bec7c1,7cae335f-1193-421e-92f1-8802b4243e93
9,Apache Commons Lang,3.13.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,9c0920e4-104a-448e-8192-866544b75890,497c6a93-2a0d-40d2-b100-858edec1b97f,7cae335f-1193-421e-92f1-8802b4243e93
10,Apache Commons Text,1.11.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,f2c3b205-3e60-4d6c-a8ac-7d044b30f7c6,03c88bf3-9941-47bf-ba3f-645646de5673,7cae335f-1193-421e-92f1-8802b4243e93
11,Apache HttpClient,4.5.14,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,f624d758-10d3-449d-96d2-d4fc12499fda,ca8bc151-5d96-468f-9414-b0bed12b207f,7cae335f-1193-421e-92f1-8802b4243e93
12,Apache HttpClient,5.3.1,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,f624d758-10d3-449d-96d2-d4fc12499fda,cd72102b-f383-4737-9aee-95c5895af810,7cae335f-1193-421e-92f1-8802b4243e93
13,Apache HttpComponents AsyncClient,4.1.5,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,a718bf9d-062d-4a63-a989-c232825a5d0d,291c815c-36fb-49c4-ac74-4f74ac44c6b2,7cae335f-1193-421e-92f1-8802b4243e93
14,Apache HttpComponents Core HTTP/2,5.2.4,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,cf9a5e22-0bc6-4452-9f34-0a5f449d7a35,522439f5-5cf4-4b97-97be-b0ccd3dd6d27,7cae335f-1193-421e-92f1-8802b4243e93
15,Apache Log4J API,2.23.1,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,44d8c92a-f682-4904-b571-c83f83ae1a91,05691594-b5ad-4204-94e1-5d44bfaff427,7cae335f-1193-421e-92f1-8802b4243e93
