Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Operational Risk,Component policy status,Overridden By,Created At,Origin name,Origin id,Review Status,Reviewed by,Reviewed at,Project path,Source/Type,Snippet Review status,File Match Count,License Risk,Component Status,Component Notes,Fulfillment Required,Version Notes,Critical Vulnerability Count,High Vulnerability Count,Medium Vulnerability Count,Low Vulnerability Count,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families,Comments
,5271cd46-d193-4af5-b2c2-50a07751f580,46431326-a3c0-4c65-9bf0-0add187810e4,Go Testify,v1.3.0,v1.3.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,6/10/21,github,stretchr/testify:v1.3.0,NOT_REVIEWED,,,couchbase-exporter 1.0.6,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,1/7/19,9,DECREASING,20,11,,,,
,a160fd2a-ab2a-4d35-8243-5bed42557272,ddd16cd0-eff2-42f3-974b-27bd33fd6581,beorn7-perks,20180510-snapshot-3a771d99,3a771d992973f24aa725d07868b467d1ddfceafb,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,6/10/21,github,beorn7/perks:3a771d992973f24aa725d07868b467d1ddfceafb,NOT_REVIEWED,,,couchbase-exporter 1.0.6,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,5/9/18,2,,,,,,,
,a160fd2a-ab2a-4d35-8243-5bed42557272,dfa6aaa7-d86c-4c6e-b849-5d5a4cf3130d,beorn7-perks,v1.0.0,v1.0.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,6/10/21,github,beorn7/perks:v1.0.0,NOT_REVIEWED,,,couchbase-exporter 1.0.6,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,4/14/19,1,,,,,,,
,a160fd2a-ab2a-4d35-8243-5bed42557272,9a891f96-ef74-4ef0-ae30-a33f42945b10,beorn7-perks,v1.0.1,v1.0.1,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,6/10/21,github,beorn7/perks:v1.0.1,NOT_REVIEWED,,,couchbase-exporter 1.0.6,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,7/31/19,0,,,,,,,
,163bec4e-b7f6-4c8a-828d-5ba673aaa72a,d9303ead-0830-4c36-8e1c-eb148302719f,client_golang,v0.9.1,v0.9.1,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,6/10/21,unknown,,NOT_REVIEWED,,,couchbase-exporter 1.0.6,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,11/3/18,19,DECREASING,78,20,,,,
,163bec4e-b7f6-4c8a-828d-5ba673aaa72a,e7f33c2f-3f1f-41e4-9f64-4ab9242a70c1,client_golang,v1.0.0,v1.0.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,6/10/21,github,prometheus/client_golang:v1.0.0,NOT_REVIEWED,,,couchbase-exporter 1.0.6,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,6/15/19,15,DECREASING,78,20,,,,
,163bec4e-b7f6-4c8a-828d-5ba673aaa72a,8e9f0de5-9221-4319-a1a4-ba7f2bd3ef87,client_golang,v1.1.0,v1.1.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,6/10/21,github,prometheus/client_golang:v1.1.0,NOT_REVIEWED,,,couchbase-exporter 1.0.6,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,8/1/19,14,DECREASING,78,20,,,,
,d7134299-2921-4840-9546-8dc2c6369f83,821ff283-85f2-46c9-aebe-ef22a66d71bf,go-kit-kit,v0.8.0,v0.8.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,6/10/21,github,go-kit/kit:v0.8.0,NOT_REVIEWED,,,couchbase-exporter 1.0.6,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,11/6/18,5,,,,,,,
,6ba9da08-a759-4d29-9e9f-f50dc24bb0b9,832a8e8b-3ca7-473f-8a6d-da2fe62c76fc,go-logfmt-logfmt,v0.3.0,v0.3.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,6/10/21,github,go-logfmt/logfmt:v0.3.0,NOT_REVIEWED,,,couchbase-exporter 1.0.6,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,11/14/16,5,,,,,,,
,6ba9da08-a759-4d29-9e9f-f50dc24bb0b9,bf668b64-1861-412f-9168-957da5bce434,go-logfmt-logfmt,v0.4.0,v0.4.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,6/10/21,github,go-logfmt/logfmt:v0.4.0,NOT_REVIEWED,,,couchbase-exporter 1.0.6,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,11/20/18,4,,,,,,,
,9ebf2d1d-62b0-471e-a13b-c43746ccf4d0,c9e92b74-7f9b-4ef0-8b86-02a70d85d679,go-spew,v1.1.0,v1.1.0,14b0b50b-acd2-4fc8-ac65-3b15f9e58260,ISC License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,6/10/21,github,davecgh/go-spew:v1.1.0,NOT_REVIEWED,,,couchbase-exporter 1.0.6,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,12/29/16,11,STABLE,0,0,,,,
,81857eda-f43c-4840-bea8-2710dbefde1e,30b0e0c9-a184-4921-8931-1b1b1052661b,go-stack-stack,v1.8.0,v1.8.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,6/10/21,github,go-stack/stack:v1.8.0,NOT_REVIEWED,,,couchbase-exporter 1.0.6,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,8/26/18,3,,,,,,,
,ba8f049d-1c78-4a27-a8a4-40727f93b181,56c289da-1697-44de-bab0-fd1ad8c558a5,golang protobuf,v1.2.0,v1.2.0,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,6/10/21,github,golang/protobuf:v1.2.0,NOT_REVIEWED,,,couchbase-exporter 1.0.6,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,8/14/18,77,,,,,,,
,ba8f049d-1c78-4a27-a8a4-40727f93b181,18751c0e-1963-46ce-813d-e203f96810f6,golang protobuf,v1.3.1,v1.3.1,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,6/10/21,github,golang/protobuf:v1.3.1,NOT_REVIEWED,,,couchbase-exporter 1.0.6,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,2/28/19,75,,,,,,,
,ba8f049d-1c78-4a27-a8a4-40727f93b181,db6a2480-956e-4967-a696-3aec17462cbd,golang protobuf,v1.3.2,v1.3.2,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,6/10/21,unknown,,NOT_REVIEWED,,,couchbase-exporter 1.0.6,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,7/1/19,74,,,,,,,
,88a56810-039f-431d-a19b-ed081fce5e03,117ee681-5201-4af3-b0aa-8bb4044e06b5,golang-mock,v1.5.0,v1.5.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,6/10/21,github,golang/mock:v1.5.0,NOT_REVIEWED,,,couchbase-exporter 1.0.6,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,2/19/21,1,,,,,,,
,0faf96d2-f25b-44c9-ada2-54a9140e3569,f3e2a161-9057-4a47-940d-8cb57b929884,golang.org/x/sys,20181116-snapshot-5ac8a444,5ac8a444bdc56cee774f8f2b3382156bd27c63c3,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,6/10/21,long_tail,go.googlesource.com/sys#5ac8a444bdc56cee774f8f2b3382156bd27c63c3,NOT_REVIEWED,,,couchbase-exporter 1.0.6,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,11/16/18,5,,,,,,,
,0faf96d2-f25b-44c9-ada2-54a9140e3569,e3aba078-c99e-4c68-80eb-1670e51a055e,golang.org/x/sys,20190215-snapshot-d0b11bda,d0b11bdaac8adb652bff00e49bcacf992835621a,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,6/10/21,long_tail,go.googlesource.com/sys#d0b11bdaac8adb652bff00e49bcacf992835621a,NOT_REVIEWED,,,couchbase-exporter 1.0.6,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,2/15/19,4,,,,,,,
,0faf96d2-f25b-44c9-ada2-54a9140e3569,97a98010-5af3-4d95-a9c2-dbc7780fcd8f,golang.org/x/sys,20190731-snapshot-cbf593c0,cbf593c0f2f39034e9104bbf77e2ec7c48c98fc5,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,6/10/21,long_tail,go.googlesource.com/sys#cbf593c0f2f39034e9104bbf77e2ec7c48c98fc5,NOT_REVIEWED,,,couchbase-exporter 1.0.6,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,7/31/19,4,,,,,,,
,0faf96d2-f25b-44c9-ada2-54a9140e3569,40272764-b929-423e-8442-0fcfd89b9f64,golang.org/x/sys,20210512-snapshot-e8d321ea,e8d321eab015fdac193488ca80676aafc248f81d,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,9/13/21,long_tail,go.googlesource.com/sys#e8d321eab015fdac193488ca80676aafc248f81d,NOT_REVIEWED,,,couchbase-exporter 1.0.6,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,5/12/21,2,,,,,,,
,a9ba7f54-7822-4042-a6d4-4e9469d7b8a0,679d23d0-9f37-4d53-9104-b87f7d664886,logfmt,20140226-snapshot-b84e30ac,b84e30acd515aadc4b783ad4ff83aff3299bdfe0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,6/10/21,github,kr/logfmt:b84e30acd515aadc4b783ad4ff83aff3299bdfe0,NOT_REVIEWED,,,couchbase-exporter 1.0.6,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,2/26/14,3,STABLE,0,0,,,,
,fe670e13-a8b1-4636-a212-f6c338b9679e,0d76a752-de17-41a7-92f7-9347a6ac870b,matttproud-golang_protobuf_extensions,v1.0.1,v1.0.1,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,6/10/21,unknown,,NOT_REVIEWED,,,couchbase-exporter 1.0.6,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,6/8/18,0,,,,,,,
,388c0d45-4bce-4849-af71-7c01455d0e5b,4c092883-8b63-464c-85c2-46ca97602397,pkg/errors,v0.8.0,v0.8.0,cc875133-df38-4806-9921-473e0ef01a87,"BSD 2-clause ""Simplified"" License",PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,6/10/21,github,pkg/errors:v0.8.0,NOT_REVIEWED,,,couchbase-exporter 1.0.6,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,9/27/16,10,DECREASING,1,1,,,,
