,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,@alloc/quick-lru,5.2.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,c2679f27-a75c-40a2-9e15-ac50ad03b7b6,a13c0d5e-aa09-4273-afda-5f8a2b9a22a8,ad705c59-6893-4980-bdbf-0837f1823cc4
1,@babel/runtime,7.29.7,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,ad5ac329-c2d6-4956-b653-ba22ca55f04b,59daa473-f274-4cb8-86f6-ed30ee95ac6c,ad705c59-6893-4980-bdbf-0837f1823cc4
2,@floating-ui/core,1.8.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,1d8d2d3d-27f1-4fc8-af4f-a962fa6f794b,83c82dba-ff41-4dd2-94e8-44fe1df7a6f8,ad705c59-6893-4980-bdbf-0837f1823cc4
3,@floating-ui/dom,1.8.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,9026c3d3-e870-4b1d-9031-4781578529e7,bee0115f-b668-42b8-b6cd-f3e263eb2cfb,ad705c59-6893-4980-bdbf-0837f1823cc4
4,@floating-ui/react,0.27.20,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,283f8468-4492-429b-80f0-4eef51431da1,0dd3429a-a69f-47c4-b001-23cfe9dc9b9c,ad705c59-6893-4980-bdbf-0837f1823cc4
5,@floating-ui/react-dom,2.1.9,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,7055d767-b120-4ef3-ba87-a320f03909cf,7566c59b-a507-4f03-bcb2-2b8ea6eb284a,ad705c59-6893-4980-bdbf-0837f1823cc4
6,@floating-ui/utils,0.2.12,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,e943918b-b938-4dc9-8848-88692c7dc207,4bb3a3e5-0add-4be4-bdf6-01bd02d2388d,ad705c59-6893-4980-bdbf-0837f1823cc4
7,@fontsource/open-sans,5.3.0,Direct Dependency,SIL Open Font License 1.1,WEAK_RECIPROCAL,REVIEWED,9d98e5c1-1e4e-44f6-aacc-e7e19715d6f6,c413cbea-c4f7-489a-9037-1231d0250fb4,a2b22d60-6069-4170-9c9c-12fa97565fa6
8,@hookform/resolvers,5.4.0,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,ff67a96a-5360-4c51-a7e3-7b3896be744a,a036a861-8906-4f8b-bf46-c1805d8ca0c0,ad705c59-6893-4980-bdbf-0837f1823cc4
9,@jridgewell/gen-mapping,0.3.13,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,1a46cf3c-7ef0-4c38-9928-8da310c9ff79,f9fd47b2-cd0c-4fdf-bf20-ac112822f6aa,ad705c59-6893-4980-bdbf-0837f1823cc4
10,@jridgewell/resolve-uri,3.1.2,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,4de516ae-93ed-46a2-8478-b35df7173d2c,4363da32-77a5-4081-a780-8aa9ccf2e143,ad705c59-6893-4980-bdbf-0837f1823cc4
11,@jridgewell/sourcemap-codec,1.5.5,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,330b5ef2-eca7-4fed-8154-4720096c50d2,02889fc0-eddf-4242-8584-0c658dfd8711,ad705c59-6893-4980-bdbf-0837f1823cc4
12,@jridgewell/trace-mapping,0.3.31,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,373fc04f-13af-40bf-9180-c93291506352,4e7ea4de-16ac-4fb4-a4a0-dd06256d0786,ad705c59-6893-4980-bdbf-0837f1823cc4
13,@kurkle/color,0.3.4,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,b8c9219e-44f9-4bf1-800c-2f847f700432,0186fac7-69bf-4bf3-babe-93599aca8006,ad705c59-6893-4980-bdbf-0837f1823cc4
14,@monaco-editor/loader,1.7.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,8e242a50-66c7-472c-9130-675e49d21d88,8b958e5b-f508-4e58-9128-0cbdf0f5e7d1,ad705c59-6893-4980-bdbf-0837f1823cc4
15,@monaco-editor/react,4.6.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,24f4336a-8774-40ff-bde4-ab57f3358a5a,9cdee12f-4a79-4796-b619-6a2861ed2d08,ad705c59-6893-4980-bdbf-0837f1823cc4
16,@nodelib/fs.scandir,2.1.5,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,1b04c24d-6aa7-48bc-876c-902f749b7fbb,6e13cf00-0e6c-4150-aaf3-a57f4d07ec72,ad705c59-6893-4980-bdbf-0837f1823cc4
