Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Operational Risk,Component policy status,Overridden By,Created At,Origin name,Origin id,Review Status,Reviewed by,Reviewed at,Project path,Source/Type,Snippet Review status,File Match Count,License Risk,Component Status,Component Notes,Fulfillment Required,Version Notes,Critical Vulnerability Count,High Vulnerability Count,Medium Vulnerability Count,Low Vulnerability Count,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families,Comments,Component origin id,Has License Conflicts
couchbase-lite-core 2.8.8,963ded81-d800-4ebc-854b-60c4f2dc473e,8bb0628f-a742-4d41-87e2-02b0caf66cb3,ARMmbed/mbed-crypto,mbedcrypto-2.1.0d0,mbedcrypto-2.1.0d0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,"Exact,Files Modified",,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,12/13/21,github,ARMmbed/mbed-crypto:mbedcrypto-2.1.0d0,NOT_REVIEWED,,,couchbase-lite-android 2.8.6/couchbase-lite-core 2.8.8,KB_COMPONENT,,,OK,,,,,0,0,1,1,,,,,,,,,,4319204c-38d6-4b87-8b9b-06bb1e44feec,false
,082cd01c-6c8a-420f-ae53-e6ce0be819a9,2b5e8567-ce83-4aad-be55-02b833db4db7,Kotlin Stdlib,1.4.0,1.4.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,1/21/22,maven,org.jetbrains.kotlin:kotlin-stdlib:1.4.0,NOT_REVIEWED,,,couchbase-lite-android 2.8.6,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,8/13/20,32,,,,,,,,9b5ec02d-8a9c-495a-a10b-9b70c5a27234,false
,2b921d88-c1ab-4304-bf45-7110c1ca49f7,84652aad-5085-4ba1-accb-b213a96fd085,OkHttp,3.14.7,3.14.7,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,1/21/22,maven,com.squareup.okhttp3:okhttp:3.14.7,NOT_REVIEWED,,,couchbase-lite-android 2.8.6,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,2/24/20,49,DECREASING,183,20,,,,,9e399546-3510-4561-9c3f-fbf60bac62fe,false
,92a62dae-28ba-467b-a999-60e889d11a58,ccf349c9-cff7-4c01-bd22-948a0bc23f88,OkIO,1.17.2,1.17.2,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,1/21/22,maven,com.squareup.okio:okio:1.17.2,NOT_REVIEWED,,,couchbase-lite-android 2.8.6,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,1/17/19,56,STABLE,208,14,,,,,42e70e8a-a230-49aa-beee-06338ac9552d,false
,ab585c49-0e7d-422b-aedc-fd52358f14a8,f32b3103-0b7a-4810-943a-40abed98a6d7,avdl,0.1.2,0.1.2-r0/armv7,f5135f7b-f17e-473a-839b-3ea12860f761,GNU General Public License v3.0 only,RECIPROCAL,Exact,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,1/21/22,alpine,avdl/0.1.2-r0/armv7,NOT_REVIEWED,,,couchbase-lite-android 2.8.6,KB_COMPONENT,,1,HIGH,UNREVIEWED,,UNREVIEWED,,0,0,0,0,9/4/21,0,,,,,,,,fadb8e35-d7a6-487b-a03b-983057b45c6a,false
,6e7f25f5-3b5b-45e0-8ec1-5a6c1e3d4ee8,6f54d259-ab25-4045-b782-5ba911be8d38,com.liferay.blade.cli,4.0.7,4.0.7,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,1/21/22,maven,com.liferay.blade:com.liferay.blade.cli:4.0.7,NOT_REVIEWED,,,couchbase-lite-android 2.8.6,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,3/9/21,3,,,,,,,,a8d9084e-eb44-4e70-8fcb-20ad9cec2aba,false
couchbase-lite-core 2.8.8,06ec28f5-e14f-4bbc-a3e4-7bc49222cd20,986e0d2f-3e30-4408-81cf-f97d20ea991c,com.tagtraum:libz,4.0.0,4.0.0,7bf4506f-7531-4655-a4bf-e9deb4d2cc8e,zlib License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,12/13/21,maven,com.tagtraum:libz:4.0.0,NOT_REVIEWED,,,couchbase-lite-android 2.8.6/couchbase-lite-core 2.8.8,KB_COMPONENT,,,OK,,,,,0,0,0,0,,,,,,,,,,58613a43-8fc6-4f23-b49b-69b6497120f6,false
,1e3f680b-0dd4-42fc-a3f9-b6a61cbea183,32305330-b549-40de-b30a-7bd6f798dff6,couchbase-lite-core,2.8.4,,00000000-0010-0000-0000-000000000000,Unknown License,UNKNOWN,Manually Added,,DYNAMICALLY_LINKED,true,,Not In Violation,,7/9/21,,,NOT_REVIEWED,,,couchbase-lite-android 2.8.6,CUSTOM_PROJECT,,0,,UNREVIEWED,,UNREVIEWED,,,,,,,,,,,,,,,,false
,1e3f680b-0dd4-42fc-a3f9-b6a61cbea183,1adc3856-4260-4160-ae8e-9115f94fc839,couchbase-lite-core,2.8.6,,00000000-0010-0000-0000-000000000000,Unknown License,UNKNOWN,Manually Added,,DYNAMICALLY_LINKED,true,,Not In Violation,,7/15/21,,,NOT_REVIEWED,,,couchbase-lite-android 2.8.6,CUSTOM_PROJECT,,0,,UNREVIEWED,,UNREVIEWED,,,,,,,,,,,,,,,,false
,1e3f680b-0dd4-42fc-a3f9-b6a61cbea183,94017bf1-4119-4800-a5e9-fa98b4ce0908,couchbase-lite-core,2.8.8,,00000000-0010-0000-0000-000000000000,Unknown License,UNKNOWN,Manually Added,,DYNAMICALLY_LINKED,true,,Not In Violation,,1/21/22,,,NOT_REVIEWED,,,couchbase-lite-android 2.8.6,CUSTOM_PROJECT,,0,,UNREVIEWED,,UNREVIEWED,,,,,,,,,,,,,,,,false
,8862bedc-14d7-4ca4-bffb-be32404f0dbf,64f10cb9-b86b-478d-9dba-587a11acf9fb,gradle-plugins,6.1.1,6.1.1,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,1/21/22,maven,org.gradle:gradle-plugins:6.1.1,NOT_REVIEWED,,,couchbase-lite-android 2.8.6,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,1/24/20,0,,,,,,,,d4468cd7-1976-4869-8359-8b95fc4cea82,false
,16459ffd-c8db-4bc7-8c93-df0da1a9808f,5c22b174-77ce-4394-b224-eb81e2f2e2ad,kotlin-stdlib-common,1.4.0,1.4.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,1/21/22,maven,org.jetbrains.kotlin:kotlin-stdlib-common:1.4.0,NOT_REVIEWED,,,couchbase-lite-android 2.8.6,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,8/13/20,32,,,,,,,,16cf5bf5-e515-4ee0-b9c1-70cb691830ad,false
couchbase-lite-core 2.8.8,7c4b22ad-982d-4dfc-a366-5cfd6ca3cf60,e4ea0bc7-f706-40e9-a6a2-524fff8d0ca7,leetal/ios-cmake,3.1.0,3.1.0,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,12/13/21,github,leetal/ios-cmake:3.1.0,NOT_REVIEWED,,,couchbase-lite-android 2.8.6/couchbase-lite-core 2.8.8,KB_COMPONENT,,,OK,,,,,0,0,0,0,,,,,,,,,,95bce1e8-18b2-45c0-bcf0-f4224888ffc3,false
couchbase-lite-core 2.8.8,98e2dba0-77c4-402f-96f3-ceb702a6e6e7,2ffc2517-7ee5-4f62-98f0-1ead06226025,mbed TLS,mbedtls-2.19.1,mbedtls-2.19.1,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,"Exact,Files Modified",,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,12/13/21,github,ARMmbed/mbedtls:mbedtls-2.19.1,NOT_REVIEWED,,,couchbase-lite-android 2.8.6/couchbase-lite-core 2.8.8,KB_COMPONENT,,,OK,,,,,0,1,12,3,,,,,,,,,,d66c211d-f7ac-4669-8009-a757c8d9d363,false
couchbase-lite-core 2.8.8,b9185555-6e31-401e-b373-bfec7955a8ab,a41b9c29-da5e-4333-b683-385f278a6afc,zlib,1.2.11,1.2.11-lp152.8.9.1/aarch64,7bf4506f-7531-4655-a4bf-e9deb4d2cc8e,zlib License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,12/13/21,opensuse,zlib/1.2.11-lp152.8.9.1/aarch64,NOT_REVIEWED,,,couchbase-lite-android 2.8.6/couchbase-lite-core 2.8.8,KB_COMPONENT,,,OK,,,,,0,0,0,0,,,,,,,,,,d343cd59-b852-49ea-a6e5-32d1c25a82bb,false
