,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,ANTLR 4 Tool,4.5.3,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,b72d9dc2-1383-4568-9609-6a7fc2e7397a,97330658-517c-469c-8eee-b121301a92d1,3d238144-44e6-450e-b523-3defbdaed9dc
1,ASM,7.0,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,a5ce5718-168c-4a89-976c-245a004c4397,7a230279-ab18-462e-bc41-cd16f25ad8c0,3d238144-44e6-450e-b523-3defbdaed9dc
2,ASM Commons,7.0,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,755247aa-5fb2-4ff7-958c-d0bb99e548e8,f00fb3a7-df0c-449a-a01a-fb37429e5c6b,3d238144-44e6-450e-b523-3defbdaed9dc
3,ASM Tree,7.0,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,3569f00e-c2ff-4c25-ad6e-013073a37e6a,844533af-aa24-4d42-af86-b16526f09536,3d238144-44e6-450e-b523-3defbdaed9dc
4,ASM Util,7.0,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,66ecdff5-5f93-4073-b86f-1437007b7b0c,283442c1-e978-4438-a61a-033932c8b585,3d238144-44e6-450e-b523-3defbdaed9dc
5,Android APK Zip Library,4.2.2,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,30587c9e-075a-412b-9955-b32a130cce63,f508eaca-5c23-4ea0-9c8f-9dea0172b793,7cae335f-1193-421e-92f1-8802b4243e93
6,Android Builder Model library,4.2.2,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,de296951-0172-4152-9934-ec6f6305e311,f633647c-c33b-443b-9951-e62b89544128,7cae335f-1193-421e-92f1-8802b4243e93
7,Android Builder Test API library,4.2.2,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,3e2b9365-bb28-42b4-a758-40567bf16d40,5ea21f79-8e03-40e0-9934-c5a666a5766e,7cae335f-1193-421e-92f1-8802b4243e93
8,Android Builder library,4.2.2,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,bf570a5c-8d9e-418b-b531-8e3fb9f50f8b,70310b0a-fcd8-4dbf-81de-e372e04a71ef,7cae335f-1193-421e-92f1-8802b4243e93
9,Android Jetifier Core,1.0.0-beta09,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,03d36695-842e-4e85-9cb3-0829b386d189,09f545c9-d510-4b32-b979-05772dd9e713,7cae335f-1193-421e-92f1-8802b4243e93
10,Android Jetifier Processor,1.0.0-beta09,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,cf36d54f-2923-4cfa-b1c9-00cdc82992f7,7c699589-81cc-40a4-a575-992983d39180,7cae335f-1193-421e-92f1-8802b4243e93
11,Android Resource Packaging Compiler,4.2.2,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,9255cf27-4f38-4326-862e-f4ec04834fe4,68422a45-3240-46f0-bf26-a3346adb56c7,7cae335f-1193-421e-92f1-8802b4243e93
12,Android Signflinger Library,4.2.2,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,cf4063bb-fc85-4e60-ac67-7a55b8aac1e0,c420b176-6845-48dc-b75a-25af8ef3272e,7cae335f-1193-421e-92f1-8802b4243e93
13,Android Tools Analytics Crash Library,27.2.2,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,8f50a66d-707e-46f0-9320-ec949ed8f110,b4b361ec-97c0-48b8-b856-eda62c29f48d,7cae335f-1193-421e-92f1-8802b4243e93
14,Android Tools Lint Build System Model,27.2.2,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,e255276c-5d25-4fbe-96e4-de0fadd13623,6cb5858f-22fc-46e6-9ae2-a8d620ac687d,7cae335f-1193-421e-92f1-8802b4243e93
15,Android Tools Lint Gradle Integration API,27.2.2,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,8750d4c9-9953-4204-8ab0-9dffa31b3f3e,7a8faf52-8ff9-4d90-ad03-94ccc9f32208,7cae335f-1193-421e-92f1-8802b4243e93
16,Android Tools Manifest Merger library,27.2.2,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,b19040e3-f6c2-4865-83cf-88d4bbd11dd9,8943908a-ee2d-4bb6-afca-84f0c29c4b97,7cae335f-1193-421e-92f1-8802b4243e93
17,Android Tools common library,27.2.2,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,41e520d6-1ebb-4f85-b3ef-33be8c8b9241,3e6bcf7e-4834-4ef4-8c91-55b9dc35de7e,7cae335f-1193-421e-92f1-8802b4243e93
18,Android Tools ddmlib,27.2.2,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,1bb00ee9-f804-473a-b9ad-adddf492039b,f7e82af4-8161-4abf-943e-fb2a1e3564ec,7cae335f-1193-421e-92f1-8802b4243e93
19,Android Tools dvlib,27.2.2,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,098a5835-9a88-4064-a25b-f6341ea4c4d4,3dcb7ce2-cd68-4000-a11b-520446cd2871,7cae335f-1193-421e-92f1-8802b4243e93
20,Android Tools layoutlib-api,27.2.2,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,54fa4601-e9e7-4b06-930a-645191d66570,1eb083e2-1802-4e94-96e7-05bedc10091b,7cae335f-1193-421e-92f1-8802b4243e93
21,Android Tools sdk-common library,27.2.2,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,5f028bd8-56b4-4cd3-9b2e-c1627ae61ceb,0325356f-8462-4f1c-8be7-e2da01b47bba,7cae335f-1193-421e-92f1-8802b4243e93
22,Android Tools sdklib,27.2.2,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,9112526e-5e50-4593-8ca2-6c4993fce409,df1529ef-fce9-41f2-bbd5-5bfcbabf0f23,7cae335f-1193-421e-92f1-8802b4243e93
23,Android Zip Flinger Library,4.2.2,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,ded809ea-2ac7-4c82-bf58-55ba8421e3d7,b0d8fe45-af09-4932-b166-2ee56db11a14,7cae335f-1193-421e-92f1-8802b4243e93
24,AndroidX Test Library - core-proto,0.0.8-alpha01,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,b9fdf381-c78d-4462-9d51-dbf52eb5bc7f,f661a704-6df4-4c0c-922b-ae2ab3d95e12,7cae335f-1193-421e-92f1-8802b4243e93
25,Animal Sniffer Annotations,1.18,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,07731f32-a0f0-4485-8d90-1f0bbdc8185d,ef19e947-0eaf-4b06-a328-463bcd7f7812,ad705c59-6893-4980-bdbf-0837f1823cc4
26,Apache Commons BeanUtils,1.11.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,b75f622a-30da-46e4-a9c9-56f4ab75e22e,abc6227e-8220-40d6-a0fd-1a7d6b5e4f07,7cae335f-1193-421e-92f1-8802b4243e93
27,Apache Commons Lang,3.8.1,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,9c0920e4-104a-448e-8192-866544b75890,b164da8b-f95d-4a31-8b03-3a6261bf3c90,7cae335f-1193-421e-92f1-8802b4243e93
28,Apache Commons Logging,1.3.5,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,e2c69634-de94-4eb3-a2c8-67ab59272e53,166162fa-e781-44f8-a0aa-ff2636bb8ee7,7cae335f-1193-421e-92f1-8802b4243e93
29,Apache Commons Text,1.3,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,f2c3b205-3e60-4d6c-a8ac-7d044b30f7c6,9bc22689-8303-4caf-80ec-9d301c6c51f1,7cae335f-1193-421e-92f1-8802b4243e93
30,Apache HTTPComponents Core,4.4.14,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,ca433569-ea2e-4c78-b53d-106843ec1f58,92d929cf-b12d-4684-9869-ea210b7ae7ba,7cae335f-1193-421e-92f1-8802b4243e93
31,Apache HttpClient,4.5.13,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,f624d758-10d3-449d-96d2-d4fc12499fda,7e51b795-43b9-4eaa-9d52-2fd322dddb31,7cae335f-1193-421e-92f1-8802b4243e93
32,Apache XML Commons,1.4.01,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,e9733443-0768-437b-b973-f1de89cc7665,2ff9cfdc-4e16-41c6-993b-195c8263105e,7cae335f-1193-421e-92f1-8802b4243e93
33,Apache Xerces2 J,2.12.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,f207d817-fee2-4074-a8df-dbdde941632c,be39f6dd-df41-4db2-8ff6-740bbe2695a8,7cae335f-1193-421e-92f1-8802b4243e93
34,AutoValue Annotations,1.6.2,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,57e3abc8-5208-4a58-bf8f-1b779c3384b6,7474ff75-901d-4a62-bc44-a23a7c51476b,7cae335f-1193-421e-92f1-8802b4243e93
35,Checker Qual,2.5.8,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,eaa5708e-b763-44f0-8091-2cdf7bac1cd0,c761f315-1357-4c6b-a929-ed8d37eaf51d,ad705c59-6893-4980-bdbf-0837f1823cc4
36,Dagger 2,dagger-2.28.3,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,40b52a28-9817-42db-b32d-230051fe3326,ca2c5b82-7d3e-4426-a03e-51da9dd05a37,7cae335f-1193-421e-92f1-8802b4243e93
37,Data Binding Base Library,4.2.2,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,d3081705-f25a-46df-9c3f-fc3799ea205f,287afa82-d4bb-4c40-bbb1-252b3adefa40,7cae335f-1193-421e-92f1-8802b4243e93
38,Data Binding Compiler Common,4.2.2,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,8e74337c-1aa6-45d7-9e2d-4ac11d6580f0,f5561ee7-aabe-42a6-8868-265387e43702,7cae335f-1193-421e-92f1-8802b4243e93
39,Default Plexus Container,2.1.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,d02c2bbf-d6c3-4606-9ed3-5dcd1e2f5eba,cc01ca03-12a9-4f52-9cbe-fe694da1028a,7cae335f-1193-421e-92f1-8802b4243e93
40,Doxia Sitetools,1.12.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,f5f03e0e-6c40-4f1f-8754-6493f1a4bb3c,8ece7644-5db9-49ca-ba59-60aa4c33b370,7cae335f-1193-421e-92f1-8802b4243e93
41,EasyMock,2.2,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,9fc7d9ca-5ced-4bbb-b40e-d6e13b3015c1,3293bdbe-219a-4bb0-96cb-3d5cb75605e6,7cae335f-1193-421e-92f1-8802b4243e93
42,EasyMock class extension,2.2.1,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,5720a5bc-0793-45c1-be05-dc1d6b734a86,ee79841a-4888-45ed-b334-229aace87d06,ad705c59-6893-4980-bdbf-0837f1823cc4
43,Fast Infoset,1.2.16,Transitive Dependency,(Eclipse Distribution License - v 1.0 AND Apache License 2.0),PERMISSIVE,NOT_REVIEWED,405a39e6-294d-42e8-8072-c8ee57a01c8e,9d4df1ca-b248-4695-9ad4-4b6e257d9b4f,"f6eccc87-62ff-4ffd-9fa7-763d1a436125,7cae335f-1193-421e-92f1-8802b4243e93"
44,FindBugs jsr305,1.3.9,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,1dd30afc-69b6-450f-b52f-f7c757fef842,951ec06e-b6ec-4fdc-98d7-b2550252a14a,7cae335f-1193-421e-92f1-8802b4243e93
45,FlatBuffers Java API,1.12.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,cc60a083-b3a4-447e-b928-e3e6f59708a5,2a871515-1581-4072-8a87-315367cb0d80,7cae335f-1193-421e-92f1-8802b4243e93
46,Gradle Plug-in for Android,4.2.2,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,15d462e0-642a-4629-afb3-2d96a1add1d6,8acf62d8-cda2-4a45-9dcf-d345a7b80daf,7cae335f-1193-421e-92f1-8802b4243e93
47,Guava InternalFutureFailureAccess and InternalFutures,1.0.1,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,71ba0e56-32eb-4c4e-9cdc-c68e4b809911,87b54cc4-f37f-42fd-abf2-985872b8fdee,7cae335f-1193-421e-92f1-8802b4243e93
48,Guava InternalFutureFailureAccess and InternalFutures,1.0.3,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,71ba0e56-32eb-4c4e-9cdc-c68e4b809911,64bab615-ca93-4c69-a673-83d6c7963ad1,7cae335f-1193-421e-92f1-8802b4243e93
49,Guava ListenableFuture only,9999.0-empty-to-avoid-conflict-with-guava,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,a6d54d5e-a933-4b78-8880-f20eebf8eb0d,e094ab0f-0e6c-4477-8177-be5d87619087,7cae335f-1193-421e-92f1-8802b4243e93
50,JAXB Runtime,2.3.2,Transitive Dependency,Eclipse Distribution License - v 1.0,PERMISSIVE,NOT_REVIEWED,a55eb8af-ba71-4b4b-b282-e07d8a3a818f,854eac7d-ebc2-43e2-b916-9e465949c129,f6eccc87-62ff-4ffd-9fa7-763d1a436125
51,JDOM,2.0.6,Transitive Dependency,Jdom License,PERMISSIVE,NOT_REVIEWED,e72f3ef3-d2fe-40b1-939a-f1c6e6a72757,8efa1e9d-9569-4e44-97a5-ce07163c67e4,692b8e72-ca72-470a-9d5b-e787f36ac4ea
52,JSON-java,20180813,Transitive Dependency,JSON License,PERMISSIVE,NOT_REVIEWED,e4ee0bd5-2d0e-494f-b293-22e0314e3acb,576153ce-939c-4675-8175-791ef7353ed2,1e26c7bd-0277-479d-bc67-454ff0686faa
53,JSpecify annotations,1.0.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,7e7f9b3b-83a6-4496-8182-b45538f9d5a8,49a188b8-b059-404b-9cab-b27b48e65f06,7cae335f-1193-421e-92f1-8802b4243e93
