,Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Overridden By,Created At,Origin name,Origin id,Review Status,Project path,Source/Type,File Match Count,Component Status,Component Notes,Version Notes,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families,Component origin id,Has License Conflicts
0,,ecbf67e0-977b-40dd-830d-42c44c595a57,aadc1ac9-96ee-4881-85cf-6fd2ad4712ba,Kotlin,1.7.10,1.7.10,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,12/1/22,maven,org.jetbrains.kotlin:kotlin-stdlib:1.7.10,NOT_REVIEWED,couchbase-lite-android 3.1.0,KB_COMPONENT,1.0,UNREVIEWED,,,7/7/22,1288.0,STABLE,8241.0,152.0,,,,9afd86ae-5c14-4a02-a68f-79f57f02224e,False
1,,2b921d88-c1ab-4304-bf45-7110c1ca49f7,84652aad-5085-4ba1-accb-b213a96fd085,OkHttp,3.14.7,3.14.7,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,12/1/22,maven,com.squareup.okhttp3:okhttp:3.14.7,NOT_REVIEWED,couchbase-lite-android 3.1.0,KB_COMPONENT,1.0,UNREVIEWED,,,2/24/20,67.0,INCREASING,277.0,27.0,,,,9e399546-3510-4561-9c3f-fbf60bac62fe,False
2,,92a62dae-28ba-467b-a999-60e889d11a58,ccf349c9-cff7-4c01-bd22-948a0bc23f88,OkIO,1.17.2,1.17.2,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,12/1/22,maven,com.squareup.okio:okio:1.17.2,NOT_REVIEWED,couchbase-lite-android 3.1.0,KB_COMPONENT,1.0,UNREVIEWED,,,1/17/19,63.0,DECREASING,56.0,16.0,,,,42e70e8a-a230-49aa-beee-06338ac9552d,False
3,couchbase-lite-core 3.1.0,302ca56c-2cf6-4cfd-9173-94c1ee2a44f7,a57a2d2f-4687-41cd-9b79-ddfa76477b13,SQLite,3.39.3,,d26bcb7d-5bc8-4f05-8942-a3a42728a2e4,Public Domain,PERMISSIVE,Manually Added,,DYNAMICALLY_LINKED,True,,9/21/22,,,NOT_REVIEWED,couchbase-lite-android 3.1.0/couchbase-lite-core 3.1.0,KB_COMPONENT,,,,,,,,,,,,,,False
4,couchbase-lite-core 3.1.0,603b3d54-1d5d-4236-835c-f0d178f50354,0e6cd4c4-5b0f-41c1-a212-4b60007a86c5,SQLiteCpp,2.0.0,,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Manually Added,,DYNAMICALLY_LINKED,True,,5/9/22,,,NOT_REVIEWED,couchbase-lite-android 3.1.0/couchbase-lite-core 3.1.0,KB_COMPONENT,,,,,,,,,,,,,,False
5,,ab585c49-0e7d-422b-aedc-fd52358f14a8,f32b3103-0b7a-4810-943a-40abed98a6d7,avdl,0.1.2,0.1.2-r0/armv7,f5135f7b-f17e-473a-839b-3ea12860f761,GNU General Public License v3.0 only,RECIPROCAL,Exact,,DYNAMICALLY_LINKED,True,,11/29/21,alpine,avdl/0.1.2-r0/armv7,NOT_REVIEWED,couchbase-lite-android 3.1.0,KB_COMPONENT,1.0,UNREVIEWED,,,9/4/21,3.0,,,,,,,fadb8e35-d7a6-487b-a03b-983057b45c6a,False
6,,6e7f25f5-3b5b-45e0-8ec1-5a6c1e3d4ee8,6f54d259-ab25-4045-b782-5ba911be8d38,com.liferay.blade.cli,4.0.7,4.0.7,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,11/4/21,maven,com.liferay.blade:com.liferay.blade.cli:4.0.7,NOT_REVIEWED,couchbase-lite-android 3.1.0,KB_COMPONENT,1.0,UNREVIEWED,,,3/9/21,6.0,,,,,,,a8d9084e-eb44-4e70-8fcb-20ad9cec2aba,False
7,,1e3f680b-0dd4-42fc-a3f9-b6a61cbea183,243dd7b1-fed8-4af1-9411-ca8686f005b1,couchbase-lite-core,3.1.0,,dde70004-f23f-437a-8982-c1aca19e3165,Business Source License 1.1,PERMISSIVE,Manually Added,,DYNAMICALLY_LINKED,True,,9/2/21,,,NOT_REVIEWED,couchbase-lite-android 3.1.0,CUSTOM_PROJECT,0.0,UNREVIEWED,,,,,,,,,,,,False
8,,8862bedc-14d7-4ca4-bffb-be32404f0dbf,64f10cb9-b86b-478d-9dba-587a11acf9fb,gradle-plugins,6.1.1,6.1.1,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,9/2/21,maven,org.gradle:gradle-plugins:6.1.1,NOT_REVIEWED,couchbase-lite-android 3.1.0,KB_COMPONENT,1.0,UNREVIEWED,,,1/24/20,0.0,,,,,,,d4468cd7-1976-4869-8359-8b95fc4cea82,False
9,couchbase-lite-core 3.1.0,945f9005-9509-40f6-b912-c0b69a8f2ef1,efdac925-056b-4ebd-9a4d-b18103a053b4,jsonsl,20171103-snapshot-684b60f9,,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Manually Added,,DYNAMICALLY_LINKED,True,,5/9/22,,,NOT_REVIEWED,couchbase-lite-android 3.1.0/couchbase-lite-core 3.1.0,KB_COMPONENT,,,,,,,,,,,,,,False
10,,16459ffd-c8db-4bc7-8c93-df0da1a9808f,6629b719-2ab3-408d-a8a6-6d15cdf6de78,kotlin-stdlib-common,1.7.10,1.7.10,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,12/1/22,maven,org.jetbrains.kotlin:kotlin-stdlib-common:1.7.10,NOT_REVIEWED,couchbase-lite-android 3.1.0,KB_COMPONENT,1.0,UNREVIEWED,,,7/7/22,5.0,,,,,,,479671f8-42a1-4ef6-866b-a80e3af9c054,False
