,Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Overridden By,Created At,Origin name,Origin id,Review Status,Project path,Source/Type,File Match Count,Component Status,Component Notes,Version Notes,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families,Component origin id,Has License Conflicts
0,couchbase-lite-core 3.0.9,603b3d54-1d5d-4236-835c-f0d178f50354,0e6cd4c4-5b0f-41c1-a212-4b60007a86c5,SQLiteCpp,2.0.0,,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Manually Added,,DYNAMICALLY_LINKED,True,,4/12/23,,,NOT_REVIEWED,couchbase-lite-c 3.0.14/couchbase-lite-core 3.0.9,KB_COMPONENT,,,,,,,,,,,,,,False
1,couchbase-lite-core 3.0.9,06ec28f5-e14f-4bbc-a3e4-7bc49222cd20,986e0d2f-3e30-4408-81cf-f97d20ea991c,com.tagtraum:libz,4.0.0,,7bf4506f-7531-4655-a4bf-e9deb4d2cc8e,zlib License,PERMISSIVE,Manually Added,,DYNAMICALLY_LINKED,True,,4/12/23,,,NOT_REVIEWED,couchbase-lite-c 3.0.14/couchbase-lite-core 3.0.9,KB_COMPONENT,,,,,,,,,,,,,,False
2,,1e3f680b-0dd4-42fc-a3f9-b6a61cbea183,04d36c09-234d-42fb-8a3b-f0eef3ed8e7c,couchbase-lite-core,3.0.9,,00000000-0010-0000-0000-000000000000,Unknown License,UNKNOWN,Manually Added,,DYNAMICALLY_LINKED,True,,8/31/23,,,NOT_REVIEWED,couchbase-lite-c 3.0.14,CUSTOM_PROJECT,0.0,UNREVIEWED,,,,,,,,,,,,False
3,couchbase-lite-core 3.0.9,0939e826-09e0-44f8-861f-bbfde1e49da4,08b2b2df-204a-4d3e-ad17-4906e7a27bc5,geary,0.6.3,,cb3238d3-5a3e-4506-a6e2-5054a6f07cdf,GNU Library General Public License v2 or later,WEAK_RECIPROCAL,Manually Added,,DYNAMICALLY_LINKED,True,,4/12/23,,,NOT_REVIEWED,couchbase-lite-c 3.0.14/couchbase-lite-core 3.0.9,KB_COMPONENT,,,,,,,,,,,,,,False
4,couchbase-lite-core 3.0.9,7c4b22ad-982d-4dfc-a366-5cfd6ca3cf60,e4ea0bc7-f706-40e9-a6a2-524fff8d0ca7,leetal/ios-cmake,3.1.0,,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Manually Added,,DYNAMICALLY_LINKED,True,,4/12/23,,,NOT_REVIEWED,couchbase-lite-c 3.0.14/couchbase-lite-core 3.0.9,KB_COMPONENT,,,,,,,,,,,,,,False
5,couchbase-lite-core 3.0.9,beb24aa9-256b-424e-8d57-4ed1e0a2e0ae,02bee3fe-8390-4cad-a155-5b9e7ed64224,libz-mingw-w64,1.2.13,,7bf4506f-7531-4655-a4bf-e9deb4d2cc8e,zlib License,PERMISSIVE,Manually Added,,DYNAMICALLY_LINKED,True,,4/12/23,,,NOT_REVIEWED,couchbase-lite-c 3.0.14/couchbase-lite-core 3.0.9,KB_COMPONENT,,,,,,,,,,,,,,False
6,couchbase-lite-core 3.0.9,98e2dba0-77c4-402f-96f3-ceb702a6e6e7,88e330d7-52f9-4c48-9844-146aaacdc3e7,mbed TLS,2.25.0,,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Manually Added,,DYNAMICALLY_LINKED,True,,4/12/23,,,NOT_REVIEWED,couchbase-lite-c 3.0.14/couchbase-lite-core 3.0.9,KB_COMPONENT,,,,,,,,,,,,,,False
7,couchbase-lite-core 3.0.9,98e2dba0-77c4-402f-96f3-ceb702a6e6e7,72c62d6e-2cdf-4959-bcde-5c26ea1bb27f,mbed TLS,2.28.0,,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Manually Added,,DYNAMICALLY_LINKED,True,,4/12/23,,,NOT_REVIEWED,couchbase-lite-c 3.0.14/couchbase-lite-core 3.0.9,KB_COMPONENT,,,,,,,,,,,,,,False
8,couchbase-lite-core 3.0.9,a2e898a2-b602-4f90-96d6-86399383a5ed,1a675b57-4ed1-482f-8b51-3ca81d49289d,sqlitecpp,2.4.0,,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Manually Added,,DYNAMICALLY_LINKED,True,,4/12/23,,,NOT_REVIEWED,couchbase-lite-c 3.0.14/couchbase-lite-core 3.0.9,KB_COMPONENT,,,,,,,,,,,,,,False
9,couchbase-lite-core 3.0.9,b9185555-6e31-401e-b373-bfec7955a8ab,3aad283c-371e-4f19-b8dd-bc744d94dc64,zlib,1.2.12,,7bf4506f-7531-4655-a4bf-e9deb4d2cc8e,zlib License,PERMISSIVE,Manually Added,,DYNAMICALLY_LINKED,True,,4/12/23,,,NOT_REVIEWED,couchbase-lite-c 3.0.14/couchbase-lite-core 3.0.9,KB_COMPONENT,,,,,,,,,,,,,,False
10,couchbase-lite-core 3.0.9,b9185555-6e31-401e-b373-bfec7955a8ab,1cf32af0-3dc5-478c-829a-5c0a6f919d91,zlib,1.2.13,,7bf4506f-7531-4655-a4bf-e9deb4d2cc8e,zlib License,PERMISSIVE,Manually Added,,DYNAMICALLY_LINKED,True,,4/12/23,,,NOT_REVIEWED,couchbase-lite-c 3.0.14/couchbase-lite-core 3.0.9,KB_COMPONENT,,,,,,,,,,,,,,False
