Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Operational risk,Component policy status,Overridden By,Created At,Origin name,Origin id,Review status,Reviewed by,Reviewed at,Project path,Source/Type,Snippet Review status
,a98b68e9-efb8-4585-9ea8-1c5508660456,9d31e198-f118-440b-ba50-56e9f70eca06,"Native code plugin (sqlite3, net45) for SQLitePCL.raw",0.9.3,0.9.3,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,12/13/19,nuget,SQLitePCL.plugin.sqlite3.net45/0.9.3,NOT_REVIEWED,,,couchbase-lite-ios 2.7.0,KB_COMPONENT,
,e9543532-ec97-4bb5-beaf-67467beed41e,442e7bf2-cbb4-4dba-87c8-a68b06b107a3,"Native code only (sqlite3, compiled with v110_xp) for...",0.9.3,0.9.3,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,12/13/19,nuget,SQLitePCL.native.sqlite3.v110_xp/0.9.3,NOT_REVIEWED,,,couchbase-lite-ios 2.7.0,KB_COMPONENT,
,e42e0f2a-a36c-428d-ab81-38dcea0ce0d0,0225129f-83a8-4d1d-84bf-7c2862d94c08,SQLitePCL.raw,0.9.3,0.9.3,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,12/13/19,nuget,SQLitePCL.raw/0.9.3,NOT_REVIEWED,,,couchbase-lite-ios 2.7.0,KB_COMPONENT,
,197624ac-d2d0-4ab9-8004-ee16d882c1e6,56dc1350-9e73-4693-b59f-b7e0d16eb74f,GCDWebServer,3.5.1,3.5.1,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,"Exact,Files Modified",,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,12/13/19,github,swisspol/GCDWebServer:3.5.1,NOT_REVIEWED,,,couchbase-lite-ios 2.7.0,KB_COMPONENT,
,059663fd-9110-42fe-911c-4fdbe28af13a,d57aa3b9-7a2a-46e5-b5bf-58524198051b,html5shiv,3.7.0,3.7.0,"ad705c59-6893-4980-bdbf-0837f1823cc4,39692bc6-4d1c-4466-a02c-fa6f21170587",(MIT License AND GNU General Public License v2.0 or later),"PERMISSIVE,RECIPROCAL",Exact,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,12/13/19,bower,html5shiv/3.7.0,NOT_REVIEWED,,,couchbase-lite-ios 2.7.0,KB_COMPONENT,
,0453bcb4-025a-4244-a391-49654ae6e496,4b72896f-6585-4ed4-99d5-f4216c421658,Couchbase.Lite.Support.NetDesktop,2.0.0,2.0.0,00000000-0010-0000-0000-000000000000,Unknown License,UNKNOWN,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,12/13/19,nuget,Couchbase.Lite.Support.NetDesktop/2.0.0,NOT_REVIEWED,,,couchbase-lite-ios 2.7.0,KB_COMPONENT,
,4ae9e20b-4e5b-48f2-913a-02e82ce5f7da,722923fc-ec60-44d2-8c84-8398a2636e6c,zlib,1.2.7,1:1.2.7.dfsg-13,7bf4506f-7531-4655-a4bf-e9deb4d2cc8e,zlib License,PERMISSIVE,"Exact,Files Modified",,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,12/11/19,debian,zlib/1:1.2.7.dfsg-13,NOT_REVIEWED,,,couchbase-lite-ios 2.7.0,KB_COMPONENT,
,178cd670-4a0c-4e1f-8bae-04b0bc608f94,61391cf6-0dd6-4e83-b49e-596d16f84857,Couchbase.Lite.Enterprise.Support.NetDesktop,2.6.0,2.6.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,12/13/19,nuget,Couchbase.Lite.Enterprise.Support.NetDesktop/2.6.0,NOT_REVIEWED,,,couchbase-lite-ios 2.7.0,KB_COMPONENT,
,13b44ae7-32fe-4fb5-88a4-3cb978519fd2,0c26686f-c8f4-4e29-974e-7918022107e3,FittableFontLabel,1.2.0,1.2.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,12/13/19,github,tbaranes/FittableFontLabel:1.2.0,NOT_REVIEWED,,,couchbase-lite-ios 2.7.0,KB_COMPONENT,
,a86cc140-20d4-4a0f-a947-cf9681f2cf87,270a5f34-6ce5-4699-a50c-496f59da3221,NuGet.Protocol.Core.v3,4.2.0,4.2.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,12/13/19,nuget,NuGet.Protocol.Core.v3/4.2.0,NOT_REVIEWED,,,couchbase-lite-ios 2.7.0,KB_COMPONENT,
