Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Operational Risk,Component policy status,Overridden By,Created At,Origin name,Origin id,Review Status,Reviewed by,Reviewed at,Project path,Source/Type,Snippet Review status,File Match Count,License Risk,Component Status,Component Notes,Fulfillment Required,Version Notes,Critical Vulnerability Count,High Vulnerability Count,Medium Vulnerability Count,Low Vulnerability Count,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families
,a8baad72-787e-42b9-9b05-da0883edf8b0,a8a6a834-7479-4dfa-a1aa-75b892b5bb14,mikoto2000/MiscellaneousStudy,20180822-snapshot-ca111611,ca111611025755a433c7ac3198f3136c19bf1937,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Files Modified,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,1/17/20,github,mikoto2000/MiscellaneousStudy:ca111611025755a433c7ac3198f3136c19bf1937,NOT_REVIEWED,,,couchbase-lite-ios 2.8.0,KB_COMPONENT,,2,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,8/22/18,116,,,,,,
,1e3f680b-0dd4-42fc-a3f9-b6a61cbea183,6b3ce7f6-8bfb-4e1b-97db-250fcf146330,couchbase-lite-core,2.8.0,,00000000-0010-0000-0000-000000000000,Unknown License,UNKNOWN,Manually Added,,DYNAMICALLY_LINKED,true,,Not In Violation,,8/17/20,,,NOT_REVIEWED,,,couchbase-lite-ios 2.8.0,CUSTOM_PROJECT,,0,,UNREVIEWED,,UNREVIEWED,,,,,,,,,,,,,
couchbase-lite-core 2.8.0,963ded81-d800-4ebc-854b-60c4f2dc473e,8bb0628f-a742-4d41-87e2-02b0caf66cb3,ARMmbed/mbed-crypto,mbedcrypto-2.1.0d0,mbedcrypto-2.1.0d0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,"Exact,Files Modified",,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,7/21/20,github,ARMmbed/mbed-crypto:mbedcrypto-2.1.0d0,NOT_REVIEWED,,,couchbase-lite-ios 2.8.0/couchbase-lite-core 2.8.0,KB_COMPONENT,,,OK,,,,,0,0,0,0,,,,,,,,
couchbase-lite-core 2.8.0,a2e898a2-b602-4f90-96d6-86399383a5ed,1a675b57-4ed1-482f-8b51-3ca81d49289d,sqlitecpp,2.4.0,2.4.0-1.fc31/armv7hl,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,"Exact,Files Modified",,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,7/21/20,fedora,sqlitecpp/2.4.0-1.fc31/armv7hl,NOT_REVIEWED,,,couchbase-lite-ios 2.8.0/couchbase-lite-core 2.8.0,KB_COMPONENT,,,OK,,,,,0,0,0,0,,,,,,,,
couchbase-lite-core 2.8.0,b9185555-6e31-401e-b373-bfec7955a8ab,fad6847b-b44c-42f8-b4da-a1edcf758f47,zlib,1.2.7,1:1.2.7.dfsg-13,7bf4506f-7531-4655-a4bf-e9deb4d2cc8e,zlib License,PERMISSIVE,Files Modified,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,7/21/20,debian,zlib/1:1.2.7.dfsg-13,NOT_REVIEWED,,,couchbase-lite-ios 2.8.0/couchbase-lite-core 2.8.0,KB_COMPONENT,,,OK,,,,,0,0,0,0,,,,,,,,
couchbase-lite-core 2.8.0,0939e826-09e0-44f8-861f-bbfde1e49da4,9a2778b6-313a-4f7c-bc6b-1d282535eed1,geary,0.6.0,0.6.0-0ubuntu2,cff110eb-f85c-445c-9d3b-00a04b7f4cf0,GNU Lesser General Public License v2.1 or later,WEAK_RECIPROCAL,Files Modified,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,9/10/20,ubuntu,geary/0.6.0-0ubuntu2,NOT_REVIEWED,,,couchbase-lite-ios 2.8.0/couchbase-lite-core 2.8.0,KB_COMPONENT,,,MEDIUM,,,,,0,0,0,0,,,,,,,,
couchbase-lite-core 2.8.0,7c4b22ad-982d-4dfc-a366-5cfd6ca3cf60,e4ea0bc7-f706-40e9-a6a2-524fff8d0ca7,leetal/ios-cmake,3.1.0,3.1.0,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,7/21/20,github,leetal/ios-cmake:3.1.0,NOT_REVIEWED,,,couchbase-lite-ios 2.8.0/couchbase-lite-core 2.8.0,KB_COMPONENT,,,OK,,,,,0,0,0,0,,,,,,,,
couchbase-lite-core 2.8.0,98e2dba0-77c4-402f-96f3-ceb702a6e6e7,2ffc2517-7ee5-4f62-98f0-1ead06226025,mbed TLS,mbedtls-2.19.1,mbedtls-2.19.1,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,"Exact,Files Modified",,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,7/21/20,github,ARMmbed/mbedtls:mbedtls-2.19.1,NOT_REVIEWED,,,couchbase-lite-ios 2.8.0/couchbase-lite-core 2.8.0,KB_COMPONENT,,,OK,,,,,0,0,0,1,,,,,,,,
couchbase-lite-core 2.8.0,06ec28f5-e14f-4bbc-a3e4-7bc49222cd20,986e0d2f-3e30-4408-81cf-f97d20ea991c,com.tagtraum:libz,4.0.0,4.0.0,7bf4506f-7531-4655-a4bf-e9deb4d2cc8e,zlib License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,7/21/20,maven,com.tagtraum:libz:4.0.0,NOT_REVIEWED,,,couchbase-lite-ios 2.8.0/couchbase-lite-core 2.8.0,KB_COMPONENT,,,OK,,,,,0,0,0,0,,,,,,,,
couchbase-lite-core 2.8.0,dab0bc3d-9ce4-41fd-8f00-d02f0feac44d,0914a540-e698-4bb1-bae4-a27f3548235b,AloneMonkey/iOSREBook,master-20181217,master-20181217,394cd54e-2263-4005-ac0b-2c080a383d84,GNU Affero General Public License v3.0,RECIPROCAL_AGPL,Files Modified,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,7/24/20,unknown,,NOT_REVIEWED,,,couchbase-lite-ios 2.8.0/couchbase-lite-core 2.8.0,KB_COMPONENT,,,HIGH,,,,,0,0,0,0,,,,,,,,
