,Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Overridden By,Created At,Origin name,Origin id,Review Status,Project path,Source/Type,File Match Count,Component Status,Component Notes,Version Notes,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families,Component origin id,Has License Conflicts
0,,9200a44e-c887-4d82-891a-27b9274325a3,3faf7e39-6980-4504-b89e-69834786360d,CBLiteSwift,2.0.3,2.0.3,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,11/7/22,github,kabirsaheb/couchbase-lite-ios:2.0.3,NOT_REVIEWED,couchbase-lite-ios 3.0.7,KB_COMPONENT,2.0,UNREVIEWED,,,6/2/18,23.0,,,,,,,e74b209e-57fb-4dfd-aaa1-2ab752356684,False
1,,9200a44e-c887-4d82-891a-27b9274325a3,e757b044-fb84-4f08-bbf2-d39a54e17008,CBLiteSwift,2.7.1-beta1,2.7.1-beta1,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,"Files Added/Deleted,Exact,Files Modified",,DYNAMICALLY_LINKED,True,,11/7/22,github,kabirsaheb/couchbase-lite-ios:2.7.1-beta1,NOT_REVIEWED,couchbase-lite-ios 3.0.7,KB_COMPONENT,4.0,UNREVIEWED,,,9/6/20,1.0,,,,,,,d2727a73-8dc1-40d8-9869-fa54a8c43434,False
2,,06067bc2-747f-4b3e-a002-6eb40c6532bf,f68fd90b-5348-475d-8f90-868e3bf5a4f4,MYUtilities,0.0.1,0.0.1,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Files Modified,,DYNAMICALLY_LINKED,True,,11/7/22,cocoapods,MYUtilities:0.0.1,NOT_REVIEWED,couchbase-lite-ios 3.0.7,KB_COMPONENT,1.0,UNREVIEWED,,,5/20/14,0.0,,,,,,,0ea9c61d-43c9-4f0f-8130-7084c0cb3c67,False
3,couchbase-lite-core 3.0.6,603b3d54-1d5d-4236-835c-f0d178f50354,0e6cd4c4-5b0f-41c1-a212-4b60007a86c5,SQLiteCpp,2.0.0,2.0.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,10/27/22,github,SRombauts/SQLiteCpp:2.0.0,NOT_REVIEWED,couchbase-lite-ios 3.0.7/couchbase-lite-core 3.0.6,KB_COMPONENT,,,,,,,,,,,,,bd43ea03-1fed-4766-a9b9-559b7e816d24,False
4,couchbase-lite-core 3.0.7,603b3d54-1d5d-4236-835c-f0d178f50354,0e6cd4c4-5b0f-41c1-a212-4b60007a86c5,SQLiteCpp,2.0.0,2.0.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,11/15/22,github,SRombauts/SQLiteCpp:2.0.0,NOT_REVIEWED,couchbase-lite-ios 3.0.7/couchbase-lite-core 3.0.7,KB_COMPONENT,,,,,,,,,,,,,bd43ea03-1fed-4766-a9b9-559b7e816d24,False
5,couchbase-lite-core 3.0.6,06ec28f5-e14f-4bbc-a3e4-7bc49222cd20,986e0d2f-3e30-4408-81cf-f97d20ea991c,com.tagtraum:libz,4.0.0,4.0.0,7bf4506f-7531-4655-a4bf-e9deb4d2cc8e,zlib License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,10/27/22,maven,com.tagtraum:libz:4.0.0,NOT_REVIEWED,couchbase-lite-ios 3.0.7/couchbase-lite-core 3.0.6,KB_COMPONENT,,,,,,,,,,,,,58613a43-8fc6-4f23-b49b-69b6497120f6,False
6,couchbase-lite-core 3.0.7,06ec28f5-e14f-4bbc-a3e4-7bc49222cd20,986e0d2f-3e30-4408-81cf-f97d20ea991c,com.tagtraum:libz,4.0.0,4.0.0,7bf4506f-7531-4655-a4bf-e9deb4d2cc8e,zlib License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,11/15/22,maven,com.tagtraum:libz:4.0.0,NOT_REVIEWED,couchbase-lite-ios 3.0.7/couchbase-lite-core 3.0.7,KB_COMPONENT,,,,,,,,,,,,,58613a43-8fc6-4f23-b49b-69b6497120f6,False
7,,1e3f680b-0dd4-42fc-a3f9-b6a61cbea183,3da44abc-00ea-4530-ba7a-64f572fd0058,couchbase-lite-core,3.0.6,,00000000-0010-0000-0000-000000000000,Unknown License,UNKNOWN,Manually Added,,DYNAMICALLY_LINKED,True,,11/7/22,,,NOT_REVIEWED,couchbase-lite-ios 3.0.7,CUSTOM_PROJECT,0.0,UNREVIEWED,,,,,,,,,,,,False
8,,1e3f680b-0dd4-42fc-a3f9-b6a61cbea183,75766441-2bac-47b5-a2f5-e07b8ca626f3,couchbase-lite-core,3.0.7,,00000000-0010-0000-0000-000000000000,Unknown License,UNKNOWN,Manually Added,,DYNAMICALLY_LINKED,True,,11/16/22,,,NOT_REVIEWED,couchbase-lite-ios 3.0.7,CUSTOM_PROJECT,0.0,UNREVIEWED,,,,,,,,,,,,False
9,,c4f90e71-f795-4929-b69a-cd2566ee0a17,1697c961-f793-499a-8f7d-1bbcb2471615,couchbase-lite-ios,3.0.2,3.0.2,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,"Exact,Files Modified",,DYNAMICALLY_LINKED,True,,11/7/22,github,couchbase/couchbase-lite-ios:3.0.2,NOT_REVIEWED,couchbase-lite-ios 3.0.7,KB_COMPONENT,6.0,UNREVIEWED,,,8/9/22,0.0,STABLE,148.0,4.0,,,,4235dfe3-5799-44f4-8e04-53790fdacc4c,False
