,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,MYUtilities,0.0.1,Files Modified,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,06067bc2-747f-4b3e-a002-6eb40c6532bf,f68fd90b-5348-475d-8f90-868e3bf5a4f4,3d238144-44e6-450e-b523-3defbdaed9dc
1,SQLite,3.45.2,Manually Added,The Unlicense,PERMISSIVE,NOT_REVIEWED,302ca56c-2cf6-4cfd-9173-94c1ee2a44f7,d7415cbb-67c8-499f-a667-67080a1265f9,57b1f355-a0a0-4f5e-b4dd-019296e4eda6
2,SQLiteCpp,2.0.0,Manually Added,MIT License,PERMISSIVE,NOT_REVIEWED,603b3d54-1d5d-4236-835c-f0d178f50354,0e6cd4c4-5b0f-41c1-a212-4b60007a86c5,ad705c59-6893-4980-bdbf-0837f1823cc4
3,couchbase-lite-core,3.2.0,Manually Added,Unknown License,UNKNOWN,NOT_REVIEWED,1e3f680b-0dd4-42fc-a3f9-b6a61cbea183,a6bc86e1-bf48-4ccd-8ce3-23b3d0bb2931,00000000-0010-0000-0000-000000000000
4,couchbase-lite-ios,3.1.1,Files Modified,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,c4f90e71-f795-4929-b69a-cd2566ee0a17,e15b4a67-53bb-45bf-9502-6f51457ddfe3,7cae335f-1193-421e-92f1-8802b4243e93
5,couchbase-lite-ios,3.2.0-beta.2,"Exact,Files Modified",Apache License 2.0,PERMISSIVE,NOT_REVIEWED,c4f90e71-f795-4929-b69a-cd2566ee0a17,18102003-7eb1-4c24-87df-900cc0adeaa3,7cae335f-1193-421e-92f1-8802b4243e93
6,jsonsl,20171103-snapshot-684b60f9,Manually Added,MIT License,PERMISSIVE,NOT_REVIEWED,945f9005-9509-40f6-b912-c0b69a8f2ef1,efdac925-056b-4ebd-9a4d-b18103a053b4,ad705c59-6893-4980-bdbf-0837f1823cc4
7,libb64,1.2.1,Manually Added,Creative Commons Public Domain Dedication and Certification,PERMISSIVE,NOT_REVIEWED,574849b1-902f-4367-a686-ca11c8815ba4,938fa296-f8ee-46b2-a3f0-a2eb23a77b31,bfbd4bfa-5f71-4a23-9a23-4ac267626b34
8,libicu,71.1,Manually Added,(MIT License AND Public Domain AND Unicode Character Database Terms Of Use),PERMISSIVE,NOT_REVIEWED,a7441c50-9be3-493b-82ed-19666236acef,8c226365-ab65-43f9-943a-2c52ec080b58,"d26bcb7d-5bc8-4f05-8942-a3a42728a2e4,ad705c59-6893-4980-bdbf-0837f1823cc4,92b7564a-4a43-4679-83cf-89261e16de72"
9,libstemmer,0,Manually Added,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,2bb510eb-0940-4656-82fe-11631fbf2416,471f68ed-3576-4d75-a3f5-e5187f9f8433,3d238144-44e6-450e-b523-3defbdaed9dc
10,mbed TLS,2.28.8,Manually Added,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,98e2dba0-77c4-402f-96f3-ceb702a6e6e7,e5a03635-081f-4f7a-96aa-24c7e8fbd12a,7cae335f-1193-421e-92f1-8802b4243e93
11,sqlite3-unicodesn,20160920-snapshot-af75748c,Manually Added,Public Domain,PERMISSIVE,NOT_REVIEWED,a44ae168-f007-4a28-9fc3-3052067f9f5a,0fd09ec5-d41c-4cfa-9fe9-fcc7644121e4,d26bcb7d-5bc8-4f05-8942-a3a42728a2e4
12,zlib,v1.3.1,Manually Added,zlib License,PERMISSIVE,NOT_REVIEWED,b9185555-6e31-401e-b373-bfec7955a8ab,8a06482c-8810-4d2b-8883-13fb809d6045,7bf4506f-7531-4655-a4bf-e9deb4d2cc8e
