Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Operational Risk,Component policy status,Overridden By,Created At,Origin name,Origin id,Review Status,Reviewed by,Reviewed at,Project path,Source/Type,Snippet Review status,File Match Count,License Risk,Component Status,Component Notes,Fulfillment Required,Version Notes,Critical Vulnerability Count,High Vulnerability Count,Medium Vulnerability Count,Low Vulnerability Count,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families,Comments,Component origin id,Has License Conflicts
,22950adc-2441-4363-8255-c660e82eff79,1a801cdc-2824-4610-a435-892093bc79a9,Jetbrains annotations,13.0,13.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,1/28/22,maven,org.jetbrains:annotations:13.0,NOT_REVIEWED,,,couchbase-lite-java 3.1.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,12/16/13,14,,,,,,,,1f7f5995-0052-4cbb-a586-f0c34aaa8406,false
,082cd01c-6c8a-420f-ae53-e6ce0be819a9,2eadad98-a190-4eca-b942-ae6607d47721,Kotlin Stdlib,1.5.31,1.5.31,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,1/28/22,maven,org.jetbrains.kotlin:kotlin-stdlib:1.5.31,NOT_REVIEWED,,,couchbase-lite-java 3.1.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,9/18/21,7,,,,,,,,a7297976-dc8c-4a4e-8506-befa66a49fa0,false
,2b921d88-c1ab-4304-bf45-7110c1ca49f7,84652aad-5085-4ba1-accb-b213a96fd085,OkHttp,3.14.7,3.14.7,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,1/28/22,maven,com.squareup.okhttp3:okhttp:3.14.7,NOT_REVIEWED,,,couchbase-lite-java 3.1.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,2/24/20,49,DECREASING,188,18,,,,,9e399546-3510-4561-9c3f-fbf60bac62fe,false
,92a62dae-28ba-467b-a999-60e889d11a58,ccf349c9-cff7-4c01-bd22-948a0bc23f88,OkIO,1.17.2,1.17.2,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,1/28/22,maven,com.squareup.okio:okio:1.17.2,NOT_REVIEWED,,,couchbase-lite-java 3.1.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,1/17/19,56,STABLE,208,14,,,,,42e70e8a-a230-49aa-beee-06338ac9552d,false
couchbase-lite-core 3.1.0,603b3d54-1d5d-4236-835c-f0d178f50354,0e6cd4c4-5b0f-41c1-a212-4b60007a86c5,SQLiteCpp,2.0.0,2.0.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,1/21/22,github,SRombauts/SQLiteCpp:2.0.0,NOT_REVIEWED,,,couchbase-lite-java 3.1.0/couchbase-lite-core 3.1.0,KB_COMPONENT,,,OK,,,,,0,0,0,0,,,,,,,,,,bd43ea03-1fed-4766-a9b9-559b7e816d24,false
couchbase-lite-core 3.1.0,06ec28f5-e14f-4bbc-a3e4-7bc49222cd20,986e0d2f-3e30-4408-81cf-f97d20ea991c,com.tagtraum:libz,4.0.0,4.0.0,7bf4506f-7531-4655-a4bf-e9deb4d2cc8e,zlib License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,8/31/21,maven,com.tagtraum:libz:4.0.0,NOT_REVIEWED,,,couchbase-lite-java 3.1.0/couchbase-lite-core 3.1.0,KB_COMPONENT,,,OK,,,,,0,0,0,0,,,,,,,,,,58613a43-8fc6-4f23-b49b-69b6497120f6,false
,1e3f680b-0dd4-42fc-a3f9-b6a61cbea183,243dd7b1-fed8-4af1-9411-ca8686f005b1,couchbase-lite-core,3.1.0,,00000000-0010-0000-0000-000000000000,Unknown License,UNKNOWN,Manually Added,,DYNAMICALLY_LINKED,true,,Not In Violation,,9/2/21,,,NOT_REVIEWED,,,couchbase-lite-java 3.1.0,CUSTOM_PROJECT,,0,,UNREVIEWED,,UNREVIEWED,,,,,,,,,,,,,,,,false
,16459ffd-c8db-4bc7-8c93-df0da1a9808f,e0e7b062-e26a-40a5-91eb-e7c933a47a6f,kotlin-stdlib-common,1.5.31,1.5.31,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,1/28/22,maven,org.jetbrains.kotlin:kotlin-stdlib-common:1.5.31,NOT_REVIEWED,,,couchbase-lite-java 3.1.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,9/18/21,7,,,,,,,,f81dfcdc-73c8-45e9-9ce5-c1490b91e777,false
couchbase-lite-core 3.1.0,7c4b22ad-982d-4dfc-a366-5cfd6ca3cf60,e4ea0bc7-f706-40e9-a6a2-524fff8d0ca7,leetal/ios-cmake,3.1.0,3.1.0,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,8/31/21,github,leetal/ios-cmake:3.1.0,NOT_REVIEWED,,,couchbase-lite-java 3.1.0/couchbase-lite-core 3.1.0,KB_COMPONENT,,,OK,,,,,0,0,0,0,,,,,,,,,,95bce1e8-18b2-45c0-bcf0-f4224888ffc3,false
couchbase-lite-core 3.1.0,98e2dba0-77c4-402f-96f3-ceb702a6e6e7,72c62d6e-2cdf-4959-bcde-5c26ea1bb27f,mbed TLS,2.28.0,v2.28.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,"Exact,Files Modified",,DYNAMICALLY_LINKED,true,OK,Not In Violation,,1/21/22,github,ARMmbed/mbedtls:v2.28.0,NOT_REVIEWED,,,couchbase-lite-java 3.1.0/couchbase-lite-core 3.1.0,KB_COMPONENT,,,OK,,,,,0,0,1,0,,,,,,,,,,34192cbe-6743-4dd0-9251-60aab09e1380,false
