,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,@date-fns/tz,1.4.1,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,7e5adeb5-8d6a-46a7-b7ac-e87f5164f054,6b763da2-d28f-4f22-b615-c4b33e8d29ce,ad705c59-6893-4980-bdbf-0837f1823cc4
1,@foxglove/crc,1.0.1,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,50f9d4e4-bedf-4283-bdf8-5503fdec67b2,af5a6661-a175-4cd9-886b-d8361df37447,ad705c59-6893-4980-bdbf-0837f1823cc4
2,@logtape/logtape,1.1.1,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,5905f03a-0215-404f-97cd-dd46ceb15d8c,2c060edf-25ac-4991-90c1-00c953e751ba,ad705c59-6893-4980-bdbf-0837f1823cc4
3,Apache Commons IO,2.0.1,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,96dc9f7b-73e3-4dc2-b0bb-b6bba56b535d,1490472b-84d5-427f-bbc1-87a5628e3e61,7cae335f-1193-421e-92f1-8802b4243e93
4,Buffer,6.0.3,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,d9f07d06-607d-4a5f-b543-4ae506239722,357fd47b-8476-4312-84f0-02891c15a4a3,ad705c59-6893-4980-bdbf-0837f1823cc4
5,Dexie.js,4.2.1,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,64ea2351-6044-4fd3-a679-7f2664c9a226,27478a7f-05d3-47a3-aa54-0733e436ab46,7cae335f-1193-421e-92f1-8802b4243e93
6,Jetbrains annotations,13.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,22950adc-2441-4363-8255-c660e82eff79,1a801cdc-2824-4610-a435-892093bc79a9,7cae335f-1193-421e-92f1-8802b4243e93
7,Kotlin,1.8.21,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,ecbf67e0-977b-40dd-830d-42c44c595a57,53445292-d428-42d6-ab5b-92e440f086de,7cae335f-1193-421e-92f1-8802b4243e93
8,Mozilla Rhino,1.7R3,Direct Dependency,(Mozilla Public License 1.1 OR GNU General Public License v2.0 or later),"WEAK_RECIPROCAL,RECIPROCAL",NOT_REVIEWED,35ecc64c-1ac0-4d0c-9475-34d0e8a8643f,3acf1c0f-a316-43e0-9095-92473e717fd8,"d7f120df-c44d-493d-9c5e-03e301e05942,39692bc6-4d1c-4466-a02c-fa6f21170587"
9,OkHttp,4.12.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,2b921d88-c1ab-4304-bf45-7110c1ca49f7,0c9a4005-ed69-46ff-8ff7-305e29e5ca32,7cae335f-1193-421e-92f1-8802b4243e93
10,OkIO,3.6.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,92a62dae-28ba-467b-a999-60e889d11a58,83f55bed-9659-48b4-b28a-fea78a4858bd,7cae335f-1193-421e-92f1-8802b4243e93
11,Raynos/for-each,0.3.5,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,a4cdbc7a-f856-4143-95de-6786d4285796,c15578be-f16e-4886-b545-5ace0145f948,ad705c59-6893-4980-bdbf-0837f1823cc4
12,array-buffer-byte-length,1.0.2,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,8c7275fb-07b8-4c01-afb3-c4ff1a6ecd13,e04e4a0b-7c81-4963-96ef-2f8034c25881,ad705c59-6893-4980-bdbf-0837f1823cc4
13,arraybuffer.prototype.slice,1.0.4,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,3f41f2be-5ce8-4d53-9051-7d7937a6da4e,12081f47-5932-444c-a28e-e96af75a95ee,ad705c59-6893-4980-bdbf-0837f1823cc4
14,async-function,1.0.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,7cd1a9cf-8251-4a9a-b7bb-85a6314cb9e3,383ebecb-39d1-4dc7-9ea6-8a4661ec256a,ad705c59-6893-4980-bdbf-0837f1823cc4
15,available-typed-arrays,1.0.7,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,86835e9c-ea4a-4492-9d54-7d20810d2f54,369dde30-8d2e-4ad0-8cae-d4c56937cbd4,ad705c59-6893-4980-bdbf-0837f1823cc4
16,base64-js,1.5.1,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,fe419850-a90e-4d1c-be3c-8f89c78571c0,cbd57017-66ef-4eda-97c7-0681ddbfbae0,ad705c59-6893-4980-bdbf-0837f1823cc4
17,call-bind,1.0.8,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,0be00fdf-95d8-4b55-917b-ed39b0ffa9f1,9b070457-a98a-4c25-a65a-7279d0cbe818,ad705c59-6893-4980-bdbf-0837f1823cc4
18,call-bind-apply-helpers,1.0.2,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,ef68e7d2-fd28-436a-954e-929fc1b30fa6,162b38a0-ed7e-4f6d-8d52-14db535c0c67,ad705c59-6893-4980-bdbf-0837f1823cc4
19,call-bound,1.0.4,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,a7f1d30c-069f-44a8-adf2-140c2e70f72b,ae1b8473-6526-4c8c-b2f5-11fd68529174,ad705c59-6893-4980-bdbf-0837f1823cc4
20,com.couchbase.cblite:servlet,2-3,Direct Dependency,Unknown License,UNKNOWN,NOT_REVIEWED,5aa0a559-0237-476f-bb1c-62945a730b8d,70b9e43a-d1de-40c9-8c42-393fffad2534,00000000-0010-0000-0000-000000000000
21,com.couchbase.cblite:webserver,2-3,Direct Dependency,Unknown License,UNKNOWN,NOT_REVIEWED,5de2a1d7-6440-4c7e-ac89-63dea773e8b1,58bd0a86-f334-41f0-a582-36c3f3c0bac0,00000000-0010-0000-0000-000000000000
22,com.couchbase.lite:couchbase-lite-android,3.3.0,Direct Dependency,Unknown License,UNKNOWN,NOT_REVIEWED,376278c1-6f76-4215-8d1e-f7e3fac275d4,4654284c-2ae2-431f-bfce-b7658a4b4e59,00000000-0010-0000-0000-000000000000
23,com.couchbase.lite:couchbase-lite-java-core,1.4.4,Direct Dependency,Unknown License,UNKNOWN,NOT_REVIEWED,88380df7-da91-47cc-b775-65019f4ec2ba,130f1034-1d97-49a5-b2f4-2c53297ccf1f,00000000-0010-0000-0000-000000000000
24,com.couchbase.lite:couchbase-lite-java-javascript,1.4.4,Direct Dependency,Unknown License,UNKNOWN,NOT_REVIEWED,c8cd8686-2eb1-4ee3-ad94-1bd98a2ebdf0,a17acd12-53a3-4dc6-84b1-791e5457109b,00000000-0010-0000-0000-000000000000
25,com.couchbase.lite:couchbase-lite-java-listener,1.4.4,Direct Dependency,Unknown License,UNKNOWN,NOT_REVIEWED,8cddd9a8-48e9-4df0-8434-d0c1ab59bc9c,bfbfb20d-e735-4359-9b70-abe4718038bd,00000000-0010-0000-0000-000000000000
26,data-view-buffer,1.0.2,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,0297568d-8146-48e9-a11f-a5c09b7fd209,f70afe30-8316-4972-87db-ae94dded8c76,ad705c59-6893-4980-bdbf-0837f1823cc4
27,data-view-byte-length,1.0.2,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,da3848db-333e-490f-8db1-39f49de0ecfc,b774a567-7a04-4cc8-b621-49283fad449b,ad705c59-6893-4980-bdbf-0837f1823cc4
28,data-view-byte-offset,1.0.1,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,4a85d2e1-daba-4ff0-b627-906b99b76923,efc01d1a-097b-41be-bcdb-065e57d3f060,ad705c59-6893-4980-bdbf-0837f1823cc4
29,date-fns/date-fns,4.1.0,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,51e40b8a-b738-494d-9b57-2f1460da1c82,5b0f6108-6345-45d7-a1fb-b38aa29987ed,ad705c59-6893-4980-bdbf-0837f1823cc4
30,define-data-property,1.1.4,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,9deec61b-e78a-477f-af8d-6a3c02bde5a1,fe3bc7f9-6d4c-4ffa-aa4c-ad8b0e063b82,ad705c59-6893-4980-bdbf-0837f1823cc4
31,define-properties,1.2.1,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,7cbbff68-4aeb-4428-a33a-f7f85a58543c,95829397-e226-4ad0-8af5-4ba30cf4cf35,ad705c59-6893-4980-bdbf-0837f1823cc4
32,dunder-proto,1.0.1,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,dfa30691-8426-489a-9aca-f72802e2a9a1,74e556f1-a681-4f0c-9703-a1bbe138dd70,ad705c59-6893-4980-bdbf-0837f1823cc4
33,es-abstract,1.24.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,d4278c8c-b973-402a-b31d-46af2621769c,6706d290-6d8c-4fcb-b134-9b7d584c69df,ad705c59-6893-4980-bdbf-0837f1823cc4
34,es-define-property,1.0.1,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,4f0962d6-710d-4538-bd68-bd7a7dd2bbf1,a14671f3-fedc-4154-998b-ef07c31046d7,ad705c59-6893-4980-bdbf-0837f1823cc4
35,es-errors,1.3.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,62b20bc1-d6fd-4a1b-9ac2-9b8f76c143f7,b7aed5ed-7816-4d0c-b4c1-cc7effe04276,ad705c59-6893-4980-bdbf-0837f1823cc4
36,es-object-atoms,1.1.1,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,e8adaa62-c839-4fd0-b54b-86a72c36b7d9,0c4a188b-d337-4ecf-afea-0ac9adfce7cd,ad705c59-6893-4980-bdbf-0837f1823cc4
37,es-set-tostringtag,2.1.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,43ab3d51-990e-4fb7-88f8-d602384f073e,0ae68724-1e2e-432a-a122-4c3082fcdccd,ad705c59-6893-4980-bdbf-0837f1823cc4
38,es-to-primitive,1.3.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,525fb653-f239-4c22-9ded-8ad51ff62480,3ca7fee7-ca9b-4765-9ac5-106cf2c05e3c,ad705c59-6893-4980-bdbf-0837f1823cc4
39,function-bind,1.1.2,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,14d73ddd-01dc-4a56-89cb-9bd8629119bb,d87bab2e-a870-4acf-a460-8b9a2d95066f,ad705c59-6893-4980-bdbf-0837f1823cc4
40,function.prototype.name,1.1.8,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,2fa0589d-5adc-4c0c-8570-2b19ea1ad273,eb69e687-1a16-49cb-bc52-cb8c1a35e509,ad705c59-6893-4980-bdbf-0837f1823cc4
41,functions-have-names,1.2.3,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,33b5c1b2-9a66-4b4e-b0bc-2f7c4d8375c9,4fd90f17-3bd0-4ce1-aa76-892cddd5a85c,ad705c59-6893-4980-bdbf-0837f1823cc4
