Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Operational risk,Component policy status,Overridden By,Created At,Origin name,Origin id,Review status,Reviewed by,Reviewed at,Project path,Source/Type,Snippet Review status
,ef9446ca-7b39-4b98-b94d-948697e5db29,9c5f9806-4108-44b9-984a-c90c95156fbe,"Git Info from MSBuild, C# and VB",2.0.20,2.0.20,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,12/11/19,nuget,GitInfo/2.0.20,NOT_REVIEWED,,,couchbase-lite-net 2.7.0,KB_COMPONENT,
,34b15c50-aa00-4e3e-a7e9-dfadf6b17d72,26e87c1f-48bd-49e8-b197-4e78108a17e7,couchbase-lite-net,2.6.0,2.6.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,"Exact,Files Modified",,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,12/11/19,github,couchbase/couchbase-lite-net:2.6.0,NOT_REVIEWED,,,couchbase-lite-net 2.7.0,KB_COMPONENT,
,63568360-34a1-447f-8677-251d2f87f99e,d0bf60f2-771b-4902-850f-7c09bec8ce46,PyIGA,0.0.7,0.0.7,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,12/11/19,pypi,PyIGA/0.0.7,NOT_REVIEWED,,,couchbase-lite-net 2.7.0,KB_COMPONENT,
,971d8668-3569-4386-8043-912678d3687e,a3edc8b5-b5de-46fd-8dbf-61609024c69a,Json.NET,11.0.1,11.0.1,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,12/11/19,nuget,Newtonsoft.Json/11.0.1,NOT_REVIEWED,,,couchbase-lite-net 2.7.0,KB_COMPONENT,
,8b1b438b-c524-4064-a794-d0e80e7da97c,259d9038-f8cd-45b7-8e54-f9e408191f58,SQLiteCpp,2.0.0,2.0.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Files Modified,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,12/11/19,github,SRombauts/SQLiteCpp:2.0.0,NOT_REVIEWED,,,couchbase-lite-net 2.7.0,KB_COMPONENT,
,a6fe3a05-a246-4155-87ae-4bd991867cc0,718a5215-667b-4eb6-9b13-9fa710fdd2a1,System.Runtime.InteropServices.RuntimeInformation,4.3.0,4.3.0,007bcc32-a710-447e-83f0-e5554564187e,Microsoft .NET Library License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,12/11/19,nuget,System.Runtime.InteropServices.RuntimeInformation/4.3.0,NOT_REVIEWED,,,couchbase-lite-net 2.7.0,KB_COMPONENT,
,9c04b334-4060-455d-886d-8db4fd3fc6b5,277912b3-588a-4c8c-9ad1-9e1d39d77ae9,face-detector,0.2.6,0.2.6,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,12/11/19,pypi,face-detector/0.2.6,NOT_REVIEWED,,,couchbase-lite-net 2.7.0,KB_COMPONENT,
,acd924b9-c86c-4923-ac4c-0709bb6f53b8,f72d3795-d959-4c97-8427-7fcb2a4c12b2,Microsoft.Win32.Registry,4.5.0,4.5.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,12/11/19,nuget,Microsoft.Win32.Registry/4.5.0,NOT_REVIEWED,,,couchbase-lite-net 2.7.0,KB_COMPONENT,
,5a053981-f442-4efc-aa74-a6c34c1a1021,95fa1688-b019-49fb-b1c2-b10125769ecd,SourceLink.Create.GitHub,2.7.5,2.7.5,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,12/11/19,nuget,SourceLink.Create.GitHub/2.7.5,NOT_REVIEWED,,,couchbase-lite-net 2.7.0,KB_COMPONENT,
,4ae9e20b-4e5b-48f2-913a-02e82ce5f7da,722923fc-ec60-44d2-8c84-8398a2636e6c,zlib,1.2.7,1:1.2.7.dfsg-13,7bf4506f-7531-4655-a4bf-e9deb4d2cc8e,zlib License,PERMISSIVE,"Exact,Files Modified",,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,12/11/19,debian,zlib/1:1.2.7.dfsg-13,NOT_REVIEWED,,,couchbase-lite-net 2.7.0,KB_COMPONENT,
,18bf2b49-e777-4e0b-a418-f0ed4eab0b37,5542297b-2886-4240-b307-addf6c57f7e0,Simple Injector,4.0.12,4.0.12,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,12/11/19,nuget,SimpleInjector/4.0.12,NOT_REVIEWED,,,couchbase-lite-net 2.7.0,KB_COMPONENT,
,8b1b438b-c524-4064-a794-d0e80e7da97c,7a43761c-a014-48a5-a9b8-c608f7bc3d1e,SQLiteCpp,2.3.0,,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Files Modified,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,12/11/19,,,NOT_REVIEWED,,,couchbase-lite-net 2.7.0,KB_COMPONENT,
