,Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Overridden By,Created At,Origin name,Origin id,Review Status,Project path,Source/Type,File Match Count,Component Status,Component Notes,Version Notes,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families,Component origin id,Has License Conflicts
0,couchbase-lite-core 3.1.2,302ca56c-2cf6-4cfd-9173-94c1ee2a44f7,c54ccbf8-3e6c-435c-b6e9-f2e02169c9b8,SQLite,3.40.1,,d26bcb7d-5bc8-4f05-8942-a3a42728a2e4,Public Domain,PERMISSIVE,Manually Added,,DYNAMICALLY_LINKED,True,,8/23/23,,,NOT_REVIEWED,couchbase-lite-net 3.1.0/couchbase-lite-core 3.1.2,KB_COMPONENT,,,,,,,,,,,,,,False
1,couchbase-lite-core 3.1.0,302ca56c-2cf6-4cfd-9173-94c1ee2a44f7,c54ccbf8-3e6c-435c-b6e9-f2e02169c9b8,SQLite,3.40.1,,d26bcb7d-5bc8-4f05-8942-a3a42728a2e4,Public Domain,PERMISSIVE,Manually Added,,DYNAMICALLY_LINKED,True,,1/12/23,,,NOT_REVIEWED,couchbase-lite-net 3.1.0/couchbase-lite-core 3.1.0,KB_COMPONENT,,,,,,,,,,,,,,False
2,couchbase-lite-core 3.1.0,603b3d54-1d5d-4236-835c-f0d178f50354,0e6cd4c4-5b0f-41c1-a212-4b60007a86c5,SQLiteCpp,2.0.0,,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Manually Added,,DYNAMICALLY_LINKED,True,,5/9/22,,,NOT_REVIEWED,couchbase-lite-net 3.1.0/couchbase-lite-core 3.1.0,KB_COMPONENT,,,,,,,,,,,,,,False
3,couchbase-lite-core 3.1.2,603b3d54-1d5d-4236-835c-f0d178f50354,0e6cd4c4-5b0f-41c1-a212-4b60007a86c5,SQLiteCpp,2.0.0,,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Manually Added,,DYNAMICALLY_LINKED,True,,8/23/23,,,NOT_REVIEWED,couchbase-lite-net 3.1.0/couchbase-lite-core 3.1.2,KB_COMPONENT,,,,,,,,,,,,,,False
4,,d781bdb3-4cba-4c94-8415-91e164f11290,10128a85-ccdb-4dcb-bccb-6258110bb2ca,VijayAnand.WinUITemplates,1.0.3,1.0.3,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,12/13/22,nuget,VijayAnand.WinUITemplates/1.0.3,NOT_REVIEWED,couchbase-lite-net 3.1.0,KB_COMPONENT,1.0,UNREVIEWED,,,11/20/22,4.0,,,,,,,6ee2178a-bccb-4da5-97ae-b46b06be0121,False
5,,9c98940e-f5d9-4e84-b4a3-e898c1eb95f5,d322daa6-39a6-4df6-99fb-a05a14922af7,couchbase-lite-android,2.6.2,2.6.2,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,9/22/23,github,couchbase/couchbase-lite-android:2.6.2,NOT_REVIEWED,couchbase-lite-net 3.1.0,KB_COMPONENT,6.0,UNREVIEWED,,,10/24/19,5.0,STABLE,0.0,0.0,,,,c6a6bbe8-670d-4943-ba5a-6f541cce8660,False
6,,1e3f680b-0dd4-42fc-a3f9-b6a61cbea183,243dd7b1-fed8-4af1-9411-ca8686f005b1,couchbase-lite-core,3.1.0,,dde70004-f23f-437a-8982-c1aca19e3165,Business Source License 1.1,PERMISSIVE,Manually Added,,DYNAMICALLY_LINKED,True,,8/31/21,,,NOT_REVIEWED,couchbase-lite-net 3.1.0,CUSTOM_PROJECT,0.0,UNREVIEWED,,,,,,,,,,,,False
7,,1e3f680b-0dd4-42fc-a3f9-b6a61cbea183,80018b82-faa1-401d-90d9-7fe4222310b0,couchbase-lite-core,3.1.2,,00000000-0010-0000-0000-000000000000,Unknown License,UNKNOWN,Manually Added,,DYNAMICALLY_LINKED,True,,9/22/23,,,NOT_REVIEWED,couchbase-lite-net 3.1.0,CUSTOM_PROJECT,0.0,UNREVIEWED,,,,,,,,,,,,False
8,,34b15c50-aa00-4e3e-a7e9-dfadf6b17d72,65bd935c-3b45-454b-ad66-b7ec39bdbd6d,couchbase-lite-net,3.0.8,3.0.8,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Files Modified,,DYNAMICALLY_LINKED,True,,8/31/21,github,couchbase/couchbase-lite-net:3.0.8,NOT_REVIEWED,couchbase-lite-net 3.1.0,KB_COMPONENT,16.0,UNREVIEWED,,,2/7/23,1.0,STABLE,144.0,5.0,,,,c127a07f-5874-462b-8ba4-3f604b8cafa2,False
9,,34b15c50-aa00-4e3e-a7e9-dfadf6b17d72,e745fd79-7365-47aa-92eb-a295f061d8aa,couchbase-lite-net,3.1.0,3.1.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,9/22/23,github,couchbase/couchbase-lite-net:3.1.0,NOT_REVIEWED,couchbase-lite-net 3.1.0,KB_COMPONENT,14.0,UNREVIEWED,,,4/26/23,2.0,STABLE,96.0,4.0,,,,966ae8f8-fb29-4133-847d-8d832fe9e4c3,False
