,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,@0no-co/graphql.web,1.0.11,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,af69d7b9-4c13-43f0-8f16-fa7410052a9b,0cf4379a-918b-41a2-9b69-e3fffebf9171,ad705c59-6893-4980-bdbf-0837f1823cc4
1,@ampproject/remapping,2.3.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,762035a5-e9f6-46b5-ab0d-fdfa367bd9d8,57416acd-f699-4881-b76f-410638fb7890,7cae335f-1193-421e-92f1-8802b4243e93
2,@babel/code-frame,7.10.4,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,e0589241-4783-48f7-843a-ba6d4fd3a225,439646f5-71fa-4b9a-bb12-727760daa975,ad705c59-6893-4980-bdbf-0837f1823cc4
3,@babel/code-frame,7.26.2,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,e0589241-4783-48f7-843a-ba6d4fd3a225,b0cea0b0-bbd6-420d-8230-6a71e6215b43,ad705c59-6893-4980-bdbf-0837f1823cc4
4,@babel/compat-data,7.26.2,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,7a29265f-280b-498c-9b77-99c10eefef61,15877548-817b-4459-86b6-1758e67132f0,ad705c59-6893-4980-bdbf-0837f1823cc4
5,@babel/core,7.26.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,c0271d13-4a3d-4bcc-ab48-0cdad3ef412b,343b32b2-3bef-45aa-8a50-29122aa618f2,ad705c59-6893-4980-bdbf-0837f1823cc4
6,@babel/generator,7.26.2,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,7a4eda02-c81b-4f8e-91b3-179f3ea8f7cb,b208499a-3482-44d0-af1a-67f2eb9251de,ad705c59-6893-4980-bdbf-0837f1823cc4
7,@babel/helper-annotate-as-pure,7.25.9,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,5a48e054-eb34-4c4e-9909-1ab148d6c26f,3f61bc1f-5eae-4f81-8a3c-51a13c5f2888,ad705c59-6893-4980-bdbf-0837f1823cc4
8,@babel/helper-compilation-targets,7.25.9,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,fdc3a6df-768a-435a-9ef9-5e1553a6af2e,634624f2-8a67-4040-b9aa-8a989dbbb698,ad705c59-6893-4980-bdbf-0837f1823cc4
9,@babel/helper-create-class-features-plugin,7.25.9,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,ff492b47-2bda-4fca-b491-2c31365af5ae,3d2e142d-bda6-4940-a68b-07eb36f8f890,ad705c59-6893-4980-bdbf-0837f1823cc4
10,@babel/helper-create-regexp-features-plugin,7.25.9,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,051d4031-aad6-4eb3-a085-b45d2dc94ddd,3c699344-322c-41b3-948c-87a716a86afd,ad705c59-6893-4980-bdbf-0837f1823cc4
11,@babel/helper-define-polyfill-provider,0.6.3,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,037ad9b1-1649-4768-8621-f970dc71949b,4a57e379-0ad4-4a57-99ce-a9e49bd6292f,ad705c59-6893-4980-bdbf-0837f1823cc4
12,@babel/helper-member-expression-to-functions,7.25.9,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,40909644-f461-4e7d-ae1b-027517b0b5db,99e20ecf-30a4-4f2b-b82d-c8bd37879465,ad705c59-6893-4980-bdbf-0837f1823cc4
13,@babel/helper-module-imports,7.25.9,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,92d9424a-1e05-4392-858a-46df98d9e5ed,fbe6b68b-5c60-45e6-88ab-5466fe532f60,ad705c59-6893-4980-bdbf-0837f1823cc4
14,@babel/helper-module-transforms,7.26.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,387780b7-8c2a-43e7-9efd-e4240997fa2a,3e906521-94d8-4cb8-ba3c-773b9eeba17a,ad705c59-6893-4980-bdbf-0837f1823cc4
15,@babel/helper-optimise-call-expression,7.25.9,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,3f13705f-d723-4b19-a9e5-3ebd2c7536b7,fe8735bf-104d-4685-bd3f-0e8e2bc7e7ed,ad705c59-6893-4980-bdbf-0837f1823cc4
16,@babel/helper-plugin-utils,7.25.9,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,3d9fc2bb-f452-4844-b4ef-f5bc6a0c33bc,6c9fbaf3-95af-46c6-8083-82319e924fdc,ad705c59-6893-4980-bdbf-0837f1823cc4
17,@babel/helper-remap-async-to-generator,7.25.9,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,71b11831-cefb-4d94-b9a4-7b5fefda2bd4,e17198d5-1290-47ae-98f7-433755081b20,ad705c59-6893-4980-bdbf-0837f1823cc4
18,@babel/helper-replace-supers,7.25.9,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,d00d3e76-fa80-48ea-a63d-98ce2a1f92bc,dafb3954-3936-4831-8c14-ac200919ffd6,ad705c59-6893-4980-bdbf-0837f1823cc4
19,@babel/helper-simple-access,7.25.9,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,163c9ea8-019a-452d-bcde-8fd062b8109b,ecbce66c-f115-4ecb-ad2b-15c33f0f03c4,ad705c59-6893-4980-bdbf-0837f1823cc4
20,@babel/helper-skip-transparent-expression-wrappers,7.25.9,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,a51f2bd6-eadb-4497-a1cf-801e9718354d,2dd64984-33cb-4b33-822a-624243452035,ad705c59-6893-4980-bdbf-0837f1823cc4
21,@babel/helper-string-parser,7.25.9,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,a086946a-7f59-4da1-bfa2-237e40f181ca,fb2c9cbc-5aed-4cf9-a8d2-da20a0896df5,ad705c59-6893-4980-bdbf-0837f1823cc4
22,@babel/helper-validator-identifier,7.25.9,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,b8d2249f-f9ca-4eee-824f-4539d37faf9c,cad95f15-d492-4052-a68c-146dbdaeb4aa,ad705c59-6893-4980-bdbf-0837f1823cc4
23,@babel/helper-validator-option,7.25.9,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,f5960837-512e-46f3-b25c-b95ca70e1a13,905998ff-c9d5-46d4-b2b0-94c6799e744b,ad705c59-6893-4980-bdbf-0837f1823cc4
24,@babel/helper-wrap-function,7.25.9,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,3efd5399-a6fc-4840-a902-f38325d86027,02db00b7-9544-499a-ada8-3d7ec5a58f28,ad705c59-6893-4980-bdbf-0837f1823cc4
25,@babel/helpers,7.26.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,f68fceee-c491-4bcc-970d-56ecb9149e27,b31529dc-27a5-4926-b412-fd13f88aa6b1,ad705c59-6893-4980-bdbf-0837f1823cc4
26,@babel/highlight,7.24.7,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,45df1b38-bb9d-49e1-beaf-9c4230aef754,9328fe32-6046-47a8-ac70-8cb09c19aa4d,ad705c59-6893-4980-bdbf-0837f1823cc4
27,@babel/parser,7.26.2,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,e189edba-7a09-4c36-971a-e00c0eec242f,cc0f938d-8c1b-4ef7-abb5-cf89a8385a59,ad705c59-6893-4980-bdbf-0837f1823cc4
28,@babel/plugin-proposal-class-properties,7.18.6,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,83596280-c1d4-4c61-b4bd-e08cb82513d3,462b6a33-23b3-4cb4-9e4f-4848ec5b4307,ad705c59-6893-4980-bdbf-0837f1823cc4
29,@babel/plugin-proposal-decorators,7.25.9,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,94373756-d362-4c12-93a4-748a11717b9a,b7e3376f-90bc-4ff4-99a6-326f1082dcdb,ad705c59-6893-4980-bdbf-0837f1823cc4
30,@babel/plugin-proposal-export-default-from,7.25.9,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,00c07b23-0e1d-4d4f-92a8-732ff3952981,66993fc0-c976-44d4-ae60-7f99c80cac1e,ad705c59-6893-4980-bdbf-0837f1823cc4
