,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,Authlib,1.6.7,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,200e35e2-cce8-4aeb-a52a-3c2b24932d96,44ee25e9-dbf4-4f52-84e7-09f94a726f98,3d238144-44e6-450e-b523-3defbdaed9dc
1,Click - Python Command Line Utility,8.3.1,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,2f38bee1-f48f-4c9a-a158-da96fcedbcc2,6b61005f-fd89-4bd1-9f74-33b428610bf0,3d238144-44e6-450e-b523-3defbdaed9dc
2,Docutils,0.22.4,Transitive Dependency,Public Domain,PERMISSIVE,NOT_REVIEWED,9262139b-f97a-4ece-85f4-e8eb458156d1,eaea0769-1059-40dd-ba6a-8908287e1f22,d26bcb7d-5bc8-4f05-8942-a3a42728a2e4
3,JoshData/python-email-validator,2.3.0,Transitive Dependency,The Unlicense,PERMISSIVE,NOT_REVIEWED,a0beeb32-a49e-43a2-91d6-dfb66ad82a24,4cf12448-6f71-40b1-8a21-b8cf3ec69fdb,57b1f355-a0a0-4f5e-b4dd-019296e4eda6
4,Packaging,26.0,Transitive Dependency,"(BSD 2-clause ""Simplified"" License OR Apache License 2.0)",PERMISSIVE,NOT_REVIEWED,935f693d-59c4-447b-ac88-fd2efc476368,916151f8-0b3c-4632-98e5-22a57520197f,"cc875133-df38-4806-9921-473e0ef01a87,7cae335f-1193-421e-92f1-8802b4243e93"
5,PyJWT,2.11.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,12339e1c-27e0-4e41-ad22-39ab5192dc63,45f21531-5c8b-481b-b95d-9ecd85c42988,ad705c59-6893-4980-bdbf-0837f1823cc4
6,PyYAML,6.0.3,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,df6e6bf5-8732-4810-83d8-f40a1939a59f,22fdd37c-0f4a-4b4a-b83d-cf9579ef7f9f,ad705c59-6893-4980-bdbf-0837f1823cc4
7,Pygments - Python syntax highlighter,2.19.2,Transitive Dependency,"BSD 2-clause ""Simplified"" License",PERMISSIVE,NOT_REVIEWED,60d59a36-7623-422e-80f0-d43da6d673d3,19c1c0dd-fcb5-4363-ab62-c81727a5da98,cc875133-df38-4806-9921-473e0ef01a87
8,Python six,1.17.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,69184346-b974-4064-88a3-134a17f6bbb5,17070f8f-549f-48e3-bdc0-6fd4341ec36f,ad705c59-6893-4980-bdbf-0837f1823cc4
9,SecretStorage,3.5.0,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,ac5061c3-0180-4db8-a504-98e92dd968d0,ab5874c3-2fef-41d2-b735-8c85c30bc14f,3d238144-44e6-450e-b523-3defbdaed9dc
10,Starlette,0.52.1,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,3dd40458-46c4-453b-9350-e5640a29af0f,3f6b176a-093e-49cb-9b4f-e0adf7701b1b,3d238144-44e6-450e-b523-3defbdaed9dc
11,aiofile,3.9.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,80146c80-731f-4b55-b148-ca771b717baf,67ef1749-c482-448d-8ce6-6fb9ee64f495,7cae335f-1193-421e-92f1-8802b4243e93
12,annotated-types,0.7.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,8043d6f4-e2de-44f6-9bf3-4c0ee7de334f,97d68e0b-16cb-46a0-ac87-a4753f39809d,ad705c59-6893-4980-bdbf-0837f1823cc4
13,anyio,4.12.1,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,38ea1732-3693-43c0-90ad-393a8c86f57b,27497bca-3a71-44a6-8b58-ae0058b584e4,ad705c59-6893-4980-bdbf-0837f1823cc4
