,Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Overridden By,Created At,Origin name,Origin id,Review Status,Project path,Source/Type,File Match Count,Component Status,Component Notes,Version Notes,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families,Component origin id,Has License Conflicts
0,,c1667a48-0a33-4485-887a-7216a87ff39a,25e9699a-29e5-4fe7-b20f-73bec6d754c5,Font-Awesome,4.2.0,4.2.0,"ad705c59-6893-4980-bdbf-0837f1823cc4,6958c970-4ceb-419e-8316-206151b9714a,a2b22d60-6069-4170-9c9c-12fa97565fa6",(MIT License AND SIL Open Font License 1.1 AND Creative Commons Attribution 3.0),PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,3/28/22,nuget,FontAwesome/4.2.0,NOT_REVIEWED,couchbase-observability-stack 0.3.0,KB_COMPONENT,1,UNREVIEWED,,,8/25/14,81,DECREASING,4.0,3.0,,,,df33efca-b2c3-49b4-ad6f-c619a7d98404,False
1,,5271cd46-d193-4af5-b2c2-50a07751f580,1d35cf81-c3df-4ac1-a687-4aa552a47fe5,Go Testify,v1.7.0,v1.7.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,"Direct Dependency,Transitive Dependency",,DYNAMICALLY_LINKED,True,,3/28/22,unknown,,NOT_REVIEWED,couchbase-observability-stack 0.3.0,KB_COMPONENT,1,UNREVIEWED,,,1/13/21,4,DECREASING,17.0,7.0,,,,cc7da22c-ad8c-4d77-a78a-d4e7a88a1c21,False
2,,fcf8903b-ac17-4a21-a3ed-d12e6e709e40,f5727975-0297-4fdb-9d68-a5d2085e1a0f,GoDoc Text,v0.2.0,v0.2.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,"Direct Dependency,Transitive Dependency",,DYNAMICALLY_LINKED,True,,3/28/22,unknown,,NOT_REVIEWED,couchbase-observability-stack 0.3.0,KB_COMPONENT,1,UNREVIEWED,,,2/14/20,1,,,,,,,fbbcbcde-2f4b-4b53-a94d-07070f00f4f4,False
3,,c567ea1a-98d7-4204-9d20-fe15267ad4e4,544386c3-1c49-47cd-93f3-c0e70aa6aae8,aws4,v1.10.0,v1.10.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,3/28/22,github,mhart/aws4:v1.10.0,NOT_REVIEWED,couchbase-observability-stack 0.3.0,KB_COMPONENT,22,UNREVIEWED,,,5/22/20,2,DECREASING,1.0,1.0,,,,afc900f3-b6d5-48a0-997c-cce4f958ea33,False
4,,409a80e3-62ed-4c60-9a9c-d29b744ca497,0533e2d5-a2f7-4f0b-af59-4dd424cc133a,benbjohnson-clock,v1.1.0,v1.1.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,3/28/22,github,benbjohnson/clock:v1.1.0,NOT_REVIEWED,couchbase-observability-stack 0.3.0,KB_COMPONENT,1,UNREVIEWED,,,11/24/20,2,,,,,,,706a7163-42e2-46bb-ab3e-b82057d9a7f8,False
5,,a160fd2a-ab2a-4d35-8243-5bed42557272,9a891f96-ef74-4ef0-ae30-a33f42945b10,beorn7-perks,v1.0.1,v1.0.1,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,"Direct Dependency,Transitive Dependency",,DYNAMICALLY_LINKED,True,,3/28/22,github,beorn7/perks:v1.0.1,NOT_REVIEWED,couchbase-observability-stack 0.3.0,KB_COMPONENT,1,UNREVIEWED,,,7/31/19,1,,,,,,,1c59df05-ec91-4e5c-bdab-57a5616493d5,False
6,,3765a393-ba19-49d6-8fe2-3fa406800f84,b54585a6-6489-4732-8aaa-0224cc4bbe07,brpaz/echozap,v1.1.2,v1.1.2,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,3/28/22,github,brpaz/echozap:v1.1.2,NOT_REVIEWED,couchbase-observability-stack 0.3.0,KB_COMPONENT,1,UNREVIEWED,,,6/30/21,0,,,,,,,466dac5b-3f15-4522-bb10-16a2b2a4f513,False
7,,163bec4e-b7f6-4c8a-828d-5ba673aaa72a,0e0f9241-1170-41c3-b709-79d616ec46a5,client_golang,v1.11.1,v1.11.1,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,3/28/22,github,prometheus/client_golang:v1.11.1,NOT_REVIEWED,couchbase-observability-stack 0.3.0,KB_COMPONENT,1,UNREVIEWED,,,2/15/22,1,DECREASING,71.0,23.0,,,,74383348-e134-4fb5-b20b-6a3987bb200c,False
8,,d56f2d33-f6c1-4183-8f79-b98b55cfed9a,d4e820aa-b6f6-4bda-a7e0-06d5613c4d94,couchbase-gomemcached,v0.1.4,v0.1.4,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,3/28/22,github,couchbase/gomemcached:v0.1.4,NOT_REVIEWED,couchbase-observability-stack 0.3.0,KB_COMPONENT,1,UNREVIEWED,,,10/27/21,0,,,,,,,62c1bcf9-2a9a-4e23-b3cf-ab1c651599f5,False
9,,4ac8a2b3-4807-4dff-907c-05fc8ffe6d4e,63164bfb-46dc-4edb-aff3-9e687e1983ce,couchbase-goutils,v0.1.2,v0.1.2,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,3/28/22,github,couchbase/goutils:v0.1.2,NOT_REVIEWED,couchbase-observability-stack 0.3.0,KB_COMPONENT,1,UNREVIEWED,,,10/20/21,0,,,,,,,e8016d0f-ab0c-4ae6-9627-bb7fcb7aa879,False
