,Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Overridden By,Created At,Origin name,Origin id,Review Status,Project path,Source/Type,File Match Count,Component Status,Component Notes,Version Notes,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families,Component origin id,Has License Conflicts
0,,2a129a42-ad43-4817-a29d-50f124a01c20,7b602d9a-7a77-482a-bf5e-759de52f3d45,"""Java Concurrency in Practice"" book annotations",1.0,1.0,b066c1f2-31a8-43d9-9be4-d62e45f5f6bb,Creative Commons Attribution 2.5,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,6/15/23,maven,net.jcip:annotations:1.0,NOT_REVIEWED,couchbase-odbc-driver 1.0,KB_COMPONENT,1,UNREVIEWED,,,8/13/08,2,,,,,,,064d8c3b-ca5f-4d35-9e00-4b9ddfdd35ff,False
1,,a5ce5718-168c-4a89-976c-245a004c4397,7a230279-ab18-462e-bc41-cd16f25ad8c0,ASM,7.0,7.0,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-Clause ""New"" or ""Revised"" License",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,6/15/23,maven,org.ow2.asm:asm:7.0,NOT_REVIEWED,couchbase-odbc-driver 1.0,KB_COMPONENT,1,UNREVIEWED,,,10/27/18,23,STABLE,52.0,8.0,,,,b6c7e11d-d743-4d8c-bfff-4823430a3d21,False
2,,755247aa-5fb2-4ff7-958c-d0bb99e548e8,f00fb3a7-df0c-449a-a01a-fb37429e5c6b,ASM Commons,7.0,7.0,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-Clause ""New"" or ""Revised"" License",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,6/15/23,maven,org.ow2.asm:asm-commons:7.0,NOT_REVIEWED,couchbase-odbc-driver 1.0,KB_COMPONENT,1,UNREVIEWED,,,10/27/18,22,,,,,,,83fff656-9191-4ca1-8adb-da493d545e6a,False
3,,3569f00e-c2ff-4c25-ad6e-013073a37e6a,844533af-aa24-4d42-af86-b16526f09536,ASM Tree,7.0,7.0,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-Clause ""New"" or ""Revised"" License",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,6/15/23,maven,org.ow2.asm:asm-tree:7.0,NOT_REVIEWED,couchbase-odbc-driver 1.0,KB_COMPONENT,1,UNREVIEWED,,,10/27/18,22,,,,,,,0d41c3c7-38a0-4942-990e-509197b1e9d1,False
4,,66ecdff5-5f93-4073-b86f-1437007b7b0c,283442c1-e978-4438-a61a-033932c8b585,ASM Util,7.0,7.0,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-Clause ""New"" or ""Revised"" License",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,6/15/23,maven,org.ow2.asm:asm-util:7.0,NOT_REVIEWED,couchbase-odbc-driver 1.0,KB_COMPONENT,1,UNREVIEWED,,,10/27/18,22,,,,,,,32f74a99-9178-4946-bb84-25315641234b,False
5,,1945a1a8-833c-4250-8bf7-8f0e965c8d87,f5cd4fa2-5bee-431a-96e5-c5a43485410a,AWS SDK for Java,1.11.407,1.11.407,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,6/15/23,"maven, maven, maven","com.amazonaws:aws-java-sdk-s3:1.11.407, com.amazonaws:aws-java-sdk-kms:1.11.407, com.amazonaws:aws-java-sdk-core:1.11.407",NOT_REVIEWED,couchbase-odbc-driver 1.0,KB_COMPONENT,1,UNREVIEWED,,,9/11/18,2233,STABLE,502.0,5.0,,,,"86f4f77b-31e8-441c-865c-61c2925792bd, bdd98196-187c-47d0-93e2-16b527346019, fa58a261-7eb2-4bbf-ad06-97324eb9799d",False
6,,376efc6d-1527-4a95-bc0c-8ea6572d31a6,fc171801-1acf-42a4-9b7f-314c36d954b9,Aether :: API,1.13.1,1.13.1,d676a5c4-0bd9-4453-8c22-2ece2c2a00d7,Eclipse Public License 1.0,WEAK_RECIPROCAL,Exact,,DYNAMICALLY_LINKED,True,,6/15/23,maven,org.sonatype.aether:aether-api:1.13.1,NOT_REVIEWED,couchbase-odbc-driver 1.0,KB_COMPONENT,1,UNREVIEWED,,,11/29/11,13,,,,,,,df73016e-2158-4baa-b56c-5619a08c4e47,False
7,,07be91b8-5622-4732-bc69-138a14ea2504,d7547445-9314-4c71-98b9-a36912bddeaa,Aether :: Connector :: Wagon,1.13.1,1.13.1,d676a5c4-0bd9-4453-8c22-2ece2c2a00d7,Eclipse Public License 1.0,WEAK_RECIPROCAL,Exact,,DYNAMICALLY_LINKED,True,,6/15/23,maven,org.sonatype.aether:aether-connector-wagon:1.13.1,NOT_REVIEWED,couchbase-odbc-driver 1.0,KB_COMPONENT,1,UNREVIEWED,,,11/29/11,2,,,,,,,82092cf6-6580-4757-9582-d7dd1cff0a3c,False
8,,ba1e9a9a-3dcb-41d7-abed-adaac1de7922,2a6274a1-b77b-4a47-8717-f344f0bec0ef,Aether :: Implementation,1.13.1,1.13.1,d676a5c4-0bd9-4453-8c22-2ece2c2a00d7,Eclipse Public License 1.0,WEAK_RECIPROCAL,Exact,,DYNAMICALLY_LINKED,True,,6/15/23,maven,org.sonatype.aether:aether-impl:1.13.1,NOT_REVIEWED,couchbase-odbc-driver 1.0,KB_COMPONENT,1,UNREVIEWED,,,11/29/11,0,,,,,,,9e9305b6-4444-4fb3-a859-95e8fa976247,False
9,,1a2d3777-b0a8-46be-be6a-357cbc662761,2bf02407-6f9c-4f25-b1af-5aaa1c599032,Aether :: SPI,1.13.1,1.13.1,d676a5c4-0bd9-4453-8c22-2ece2c2a00d7,Eclipse Public License 1.0,WEAK_RECIPROCAL,Exact,,DYNAMICALLY_LINKED,True,,6/15/23,maven,org.sonatype.aether:aether-spi:1.13.1,NOT_REVIEWED,couchbase-odbc-driver 1.0,KB_COMPONENT,1,UNREVIEWED,,,11/29/11,13,,,,,,,370d5237-6b45-4aad-acb8-bcc241a4220c,False
