,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,PyYAML,6.0.2,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,562519b8-c368-4e82-b328-8001f66d8b00,a0b9a124-5e3d-4482-80f4-455f8c61c486,ad705c59-6893-4980-bdbf-0837f1823cc4
1,Python six,1.17.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,69184346-b974-4064-88a3-134a17f6bbb5,17070f8f-549f-48e3-bdc0-6fd4341ec36f,ad705c59-6893-4980-bdbf-0837f1823cc4
2,Python-RSA,4.9,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,a4334b23-16a9-4e42-80af-d09081314be2,3ce346bb-b0b0-482d-b914-3db74210398e,7cae335f-1193-421e-92f1-8802b4243e93
3,cachetools,5.5.2,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,55b75c2c-fc27-4d01-a43c-7f19bfe0e653,76b4005c-7ffd-4213-aa18-7af72064285c,ad705c59-6893-4980-bdbf-0837f1823cc4
4,idan/oauthlib,3.2.2,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,40586baf-f96b-4e50-997a-458103e6712b,e6e20c8c-f4c6-40c1-a7af-931478de2779,3d238144-44e6-450e-b523-3defbdaed9dc
5,idna,3.10,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,a072b9e7-c0a3-447b-abe6-fa74c8869fb1,91626b91-0d92-40ae-a72a-354f049d5311,3d238144-44e6-450e-b523-3defbdaed9dc
6,kubernetes,28.1.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,68ff32b3-843e-498a-a291-1df6da379e6a,9f732413-144a-4aec-aabb-83bd6d9a083f,7cae335f-1193-421e-92f1-8802b4243e93
7,psf-requests,2.32.3,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,93b03de5-fedb-4162-8a18-7f19fdbd252e,72447d58-63e8-4713-b269-2b1f2d9146d8,7cae335f-1193-421e-92f1-8802b4243e93
8,py3-google-auth,2.38.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,979a219c-1bd6-44e4-8899-d32cbaade25e,8ccecf57-b443-4867-9382-d99fa29fc73f,7cae335f-1193-421e-92f1-8802b4243e93
9,pyasn1,0.6.1,Transitive Dependency,"BSD 2-clause ""Simplified"" License",PERMISSIVE,NOT_REVIEWED,ebab072d-8673-40d6-b751-a2322f817c5d,acacdb7f-c5f7-4849-8524-9ab53fa32dbf,cc875133-df38-4806-9921-473e0ef01a87
10,pyasn1-modules,0.4.1,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,f0b4ccd0-e96b-4f6d-8611-4f14d93da468,b44a2e66-ddf5-4b08-9350-0cbb3db10b0e,3d238144-44e6-450e-b523-3defbdaed9dc
11,python-certifi,2025.1.31,Transitive Dependency,Mozilla Public License 2.0,WEAK_RECIPROCAL,NOT_REVIEWED,f1890115-04dd-4eaf-8ff0-5e2643582990,0f36ef4b-f674-491f-95fd-95358a7ca4c2,ce3dd63e-c569-4cea-986a-46bc5efe9896
12,python-dateutil,2.9.0.post0,Transitive Dependency,"(Apache License 2.0 OR BSD 3-clause ""New"" or ""Revised"" License)",PERMISSIVE,NOT_REVIEWED,ba9f9ff7-691f-4faa-83ef-702409be1282,99a90adb-3ef3-4a02-b2da-4bb61ded54d7,"3d238144-44e6-450e-b523-3defbdaed9dc,7cae335f-1193-421e-92f1-8802b4243e93"
13,python3-charset-normalizer,3.4.1,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,961db792-aeb0-450b-ba00-4f9b0afa6dda,9ca51d1b-3b95-48b4-bdbe-ace72a8407eb,ad705c59-6893-4980-bdbf-0837f1823cc4
14,requests-oauthlib,2.0.0,Transitive Dependency,ISC License,PERMISSIVE,NOT_REVIEWED,633fa304-bfec-4845-9648-85cd1c01cd6b,a20dfeeb-d17a-4255-82d1-4ad57e137187,14b0b50b-acd2-4fc8-ac65-3b15f9e58260
15,urllib3,1.26.20,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,d222c710-38b5-4073-8347-63bb6526e77d,499e63c5-0549-48e0-a544-f2b3b84b81cb,ad705c59-6893-4980-bdbf-0837f1823cc4
16,websocket-client,1.8.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,e1ae6db0-5318-4c25-bb39-1da45eaf851c,a28b59c3-92e4-4a9c-a2bc-db7332bed9de,7cae335f-1193-421e-92f1-8802b4243e93
