,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,Apache Log4J API,2.25.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,44d8c92a-f682-4904-b571-c83f83ae1a91,cf06baac-c903-443a-90cc-f024b2226f95,7cae335f-1193-421e-92f1-8802b4243e93
1,Apache Log4j,2.25.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,7460c937-f013-4c3a-bdf3-ace04cfd0304,a0028187-31e1-476e-afd4-f4e7eaff533e,7cae335f-1193-421e-92f1-8802b4243e93
2,Apache Log4j SLF4J 2.0 Binding,2.25.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,00fa9741-88cc-40fd-9d6d-69c9581651cd,6fb50adf-3053-4cc7-aec6-c7570c695c03,7cae335f-1193-421e-92f1-8802b4243e93
3,Couchbase Analytics Java Client,1.0.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,3d25b1f7-f1a2-4cad-af5d-5feff3919813,a566d669-18a7-4d77-9f55-d7f108db592d,7cae335f-1193-421e-92f1-8802b4243e93
4,JSpecify annotations,1.0.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,7e7f9b3b-83a6-4496-8182-b45538f9d5a8,49a188b8-b059-404b-9cab-b27b48e65f06,7cae335f-1193-421e-92f1-8802b4243e93
5,JUnit Jupiter (Aggregator),6.1.0-M1,Direct Dependency,Eclipse Public License 2.0,WEAK_RECIPROCAL,NOT_REVIEWED,b8184f5a-0672-4a5f-a0d5-49ce3ca6f677,cd72e4f5-7052-44b5-8ea2-a195c84728dd,8f64c451-7777-4762-903b-605797caef38
6,Jetbrains annotations,26.0.2,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,22950adc-2441-4363-8255-c660e82eff79,2b18e129-107f-4446-b3bb-432ee72b0078,7cae335f-1193-421e-92f1-8802b4243e93
7,Kotlin,2.1.21,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,ecbf67e0-977b-40dd-830d-42c44c595a57,25c3ad2b-519e-41b2-935e-3cf4aef83f90,7cae335f-1193-421e-92f1-8802b4243e93
8,OkHttp,4.12.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,2b921d88-c1ab-4304-bf45-7110c1ca49f7,0c9a4005-ed69-46ff-8ff7-305e29e5ca32,7cae335f-1193-421e-92f1-8802b4243e93
9,OkHttp,5.3.2,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,2b921d88-c1ab-4304-bf45-7110c1ca49f7,e7f6fbeb-2705-4378-b393-7a16424ab03d,7cae335f-1193-421e-92f1-8802b4243e93
10,OkHttp Transport Layer Security (TLS),4.12.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,be16bc02-f986-429c-a542-dd524ab551d4,39d463f1-a83b-40e8-8cdc-7f2ae4998e85,7cae335f-1193-421e-92f1-8802b4243e93
11,OkHttp Transport Layer Security (TLS),5.3.2,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,be16bc02-f986-429c-a542-dd524ab551d4,af152b0e-429b-4064-a506-faefd1a490a5,7cae335f-1193-421e-92f1-8802b4243e93
12,OkIO,3.12.0,"Direct Dependency,Transitive Dependency",Apache License 2.0,PERMISSIVE,NOT_REVIEWED,92a62dae-28ba-467b-a999-60e889d11a58,7a19d9a0-2fc3-41a2-aa5e-0d08b0f69806,7cae335f-1193-421e-92f1-8802b4243e93
13,OkIO,3.16.4,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,92a62dae-28ba-467b-a999-60e889d11a58,57086e0c-95ff-4c15-b824-4f4ee1736158,7cae335f-1193-421e-92f1-8802b4243e93
14,SLF4J API Module,2.0.17,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,ca782761-ef54-4eb6-b7f0-b9fbb15a0698,6cfa3541-df06-48b7-bb91-4ba7ddd20057,ad705c59-6893-4980-bdbf-0837f1823cc4
15,SLF4J API Module,2.1.0-alpha1,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,ca782761-ef54-4eb6-b7f0-b9fbb15a0698,dad2d8f4-a6f9-4542-95c1-0a280d14deb5,ad705c59-6893-4980-bdbf-0837f1823cc4
16,jackson-annotations,2.19.1,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,d5b90213-52f8-4429-b3c7-ed582af929d2,34e1a61f-ff80-48b3-9f0d-7e2fac528ddd,7cae335f-1193-421e-92f1-8802b4243e93
17,jackson-annotations,2.20,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,d5b90213-52f8-4429-b3c7-ed582af929d2,bcce4e56-30d0-40d6-9a72-79d3e5e53f87,7cae335f-1193-421e-92f1-8802b4243e93
18,jackson-core,2.19.1,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,4c08d575-40e5-4778-acd6-b76230f3a895,608f70c6-9425-4c8a-9044-edf4f9dabbe4,7cae335f-1193-421e-92f1-8802b4243e93
19,jackson-core,2.20.1,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,4c08d575-40e5-4778-acd6-b76230f3a895,87f2d3ee-cccd-4241-ba2d-25074ff70402,7cae335f-1193-421e-92f1-8802b4243e93
20,jackson-databind,2.19.1,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,ce7ad18a-6e02-4565-a51c-4fc2c5bc7c47,b4d03b4b-a357-494e-b1ed-b1fd6a655611,7cae335f-1193-421e-92f1-8802b4243e93
21,jackson-databind,2.20.1,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,ce7ad18a-6e02-4565-a51c-4fc2c5bc7c47,0f3b0a30-927b-406f-adbe-23e99c1ae5ad,7cae335f-1193-421e-92f1-8802b4243e93
22,json-skiff,1.0.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,04fd74cf-1d60-47ae-b36d-e9e3ca1f9e96,5229cf44-6bb5-4db1-95d6-d3fca47a54bb,7cae335f-1193-421e-92f1-8802b4243e93
23,okhttp,5.3.2,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,3c15104f-de77-42ea-a116-9e7c52d7b699,77379a07-06e4-4a2e-90b8-a6337f339030,7cae335f-1193-421e-92f1-8802b4243e93
24,org.apiguardian:apiguardian-api,1.1.2,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,2d98ef93-85e9-4367-b773-ca74444bab5c,d9a5d198-8382-45ed-8d2c-681eab175bc6,7cae335f-1193-421e-92f1-8802b4243e93
25,org.jetbrains.kotlin:kotlin-stdlib-jdk7,1.8.21,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,3e4fc317-4982-4a0a-a98a-1d5e937b05ac,b5e9d5bc-da13-4cf3-8d85-e5a5b2adb366,7cae335f-1193-421e-92f1-8802b4243e93
26,org.jetbrains.kotlin:kotlin-stdlib-jdk8,1.8.21,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,01443f31-8c0a-40a2-8fbf-213c8e786ca6,839ef2fb-4af1-4397-b595-6018a6f41f29,7cae335f-1193-421e-92f1-8802b4243e93
27,org.junit.jupiter:junit-jupiter-api,6.1.0-M1,Transitive Dependency,Eclipse Public License 2.0,WEAK_RECIPROCAL,NOT_REVIEWED,5215145d-af3c-49be-843e-c91f6a31fad2,0897738c-f431-4610-b82e-5fb60cef5a10,8f64c451-7777-4762-903b-605797caef38
28,org.junit.jupiter:junit-jupiter-engine,6.1.0-M1,Transitive Dependency,Eclipse Public License 2.0,WEAK_RECIPROCAL,NOT_REVIEWED,e5acb76f-6a17-4dd6-9480-303f19d5f184,1cd8a7ed-74ec-432a-b545-01828c902934,8f64c451-7777-4762-903b-605797caef38
29,org.junit.jupiter:junit-jupiter-params,6.1.0-M1,Transitive Dependency,Eclipse Public License 2.0,WEAK_RECIPROCAL,NOT_REVIEWED,034207a2-8f5a-463e-b9df-d0118b8d2810,51d065ff-75ba-4ee2-9674-63361b2129eb,8f64c451-7777-4762-903b-605797caef38
30,org.junit.platform:junit-platform-commons,6.1.0-M1,Transitive Dependency,Eclipse Public License 2.0,WEAK_RECIPROCAL,NOT_REVIEWED,6e9e84c9-9ff7-4fc9-b1b6-4a058cbbb574,6ebc2f95-ad52-4c4a-9e1e-35cd5bb672e2,8f64c451-7777-4762-903b-605797caef38
