,Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Overridden By,Created At,Origin name,Origin id,Review Status,Project path,Source/Type,File Match Count,Component Status,Component Notes,Version Notes,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families,Component origin id,Has License Conflicts
0,,7953a66b-efa6-43b6-a90c-de959ce49c94,a7048b63-a3ba-4d55-a253-18655a6b47a9,ASIO C++ Library,1.24.0,1.24.0-r1/x86_64,26b23233-77bd-4cc2-8977-f312abd57327,Boost Software License 1.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,3/9/22,alpine,asio-dev/1.24.0-r1/x86_64,NOT_REVIEWED,couchbase-sdk-cxx 1.0.0,KB_COMPONENT,1,UNREVIEWED,,,8/14/22,0,,,,,,,af3c2c6d-4d29-4113-b0d3-2ed0681db289,False
1,,677efaf5-5bad-4f93-904b-dc4b69af9199,57380db8-397c-4888-9618-3d6836cc0f5c,Bootstrap (Twitter),3.2.0,3.2.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,2/9/22,unknown,,NOT_REVIEWED,couchbase-sdk-cxx 1.0.0,KB_COMPONENT,1,UNREVIEWED,,,6/26/14,170,DECREASING,1046.0,69.0,,,,87477908-df5f-4fed-b8f7-4ac988ac958e,False
2,,677efaf5-5bad-4f93-904b-dc4b69af9199,578cb95f-3c69-4b4a-9491-a9c1d4cc369d,Bootstrap (Twitter),3.3.4,3.3.4,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,2/9/22,npmjs,bootstrap/3.3.4,NOT_REVIEWED,couchbase-sdk-cxx 1.0.0,KB_COMPONENT,1,UNREVIEWED,,,3/16/15,160,DECREASING,1046.0,69.0,,,,3e275635-0503-4ac8-834a-2c03ee53b1b3,False
3,,9e753ffd-aa29-46e6-a7fc-d4b972710c0b,01d9cff4-73d4-4211-bc54-19271389e141,C++ Guideline Support Library,4.0.0,4.0.0-1,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Files Modified,,DYNAMICALLY_LINKED,True,,2/26/22,debian,ms-gsl/4.0.0-1,NOT_REVIEWED,couchbase-sdk-cxx 1.0.0,KB_COMPONENT,2,UNREVIEWED,,,1/26/22,1,STABLE,32.0,11.0,,,,6f85077a-41a2-4af3-893a-10c80a7bb580,False
4,,9772eeb8-535e-4cb0-9956-a00700ceb0f5,9e28af80-f74c-4440-8242-c36c9f5a565f,Catch2,2.13.7,v2.13.7,26b23233-77bd-4cc2-8977-f312abd57327,Boost Software License 1.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,2/9/22,github,catchorg/Catch2:v2.13.7,NOT_REVIEWED,couchbase-sdk-cxx 1.0.0,KB_COMPONENT,1,UNREVIEWED,,,7/29/21,12,,,,,,,6c3b006e-24ba-49b0-8b7a-ce022c75c99c,False
5,,43a908e1-df66-4cd1-b18f-63c94e41965e,356df39e-5435-4923-afef-5cadf5189869,HdrHistogram_c,0.11.0,0.11.0-6.el9/aarch64,"3d238144-44e6-450e-b523-3defbdaed9dc,d26bcb7d-5bc8-4f05-8942-a3a42728a2e4","(BSD 3-clause ""New"" or ""Revised"" License AND Public Domain)",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,2/9/22,rocky,HdrHistogram_c/0.11.0-6.el9/aarch64,NOT_REVIEWED,couchbase-sdk-cxx 1.0.0,KB_COMPONENT,1,UNREVIEWED,,,6/17/20,7,INCREASING,31.0,7.0,,,,0c9693ed-60ac-420d-9e67-bae47ff1dc61,False
6,,3739d5e9-9ad8-4845-8077-1770167a69c2,0782e78c-30d4-4575-a0f3-17808d3d31d0,asio,1.24.0,asio-1-24-0,26b23233-77bd-4cc2-8977-f312abd57327,Boost Software License 1.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,2/9/22,github,chriskohlhoff/asio:asio-1-24-0,NOT_REVIEWED,couchbase-sdk-cxx 1.0.0,KB_COMPONENT,1,UNREVIEWED,,,8/12/22,0,,,,,,,96a00ea3-ec60-432f-ba13-40784470f1ec,False
7,,c570289f-07e9-45f6-94f6-44bd43d80530,1e91044f-3434-4d59-89ae-d1eed8a3f0f9,benchmark,1.5.1,v1.5.1,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,2/9/22,github,google/benchmark:v1.5.1,NOT_REVIEWED,couchbase-sdk-cxx 1.0.0,KB_COMPONENT,1,UNREVIEWED,,,3/10/20,16,DECREASING,0.0,0.0,,,,c9ad1aa1-266e-4e26-a78d-cd6da45e6e7b,False
8,,c570289f-07e9-45f6-94f6-44bd43d80530,e76d1012-dca8-4cb2-acd5-e8607b61d389,benchmark,v1.5.0,"1.5.0-1.fc30/x86_64,1.5.0-2",7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,"Exact,Files Modified",,DYNAMICALLY_LINKED,True,,2/9/22,"fedora, debian","google-benchmark/1.5.0-1.fc30/x86_64, benchmark/1.5.0-2",NOT_REVIEWED,couchbase-sdk-cxx 1.0.0,KB_COMPONENT,3,UNREVIEWED,,,5/28/19,17,DECREASING,0.0,0.0,,,,"182a3e5f-8095-4b4d-bd6b-e5502930fc40, 9b517c79-f669-458d-9ae1-9429e805c994",False
9,,eae20828-18b8-478f-83b3-4a058748a28b,9cef5178-059d-42c1-92c6-055674f0f53c,fmtlib/fmt,8.0.1,8.0.1-2.fc35/aarch64,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,"Exact,Files Modified",,DYNAMICALLY_LINKED,True,,2/9/22,fedora,fmt-devel/8.0.1-2.fc35/aarch64,NOT_REVIEWED,couchbase-sdk-cxx 1.0.0,KB_COMPONENT,2,UNREVIEWED,,,7/2/21,6,STABLE,497.0,66.0,,,,adc33a91-29f3-4af1-9697-7e3936396999,False
10,,fd5e5c60-2c67-4d20-8be9-b7648156cef3,6b89a02e-7147-49f1-95bd-5f3b281d0d02,google-snappy,1.1.8,1.1.8-8.el9/x86_64,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,2/9/22,rocky,snappy/1.1.8-8.el9/x86_64,NOT_REVIEWED,couchbase-sdk-cxx 1.0.0,KB_COMPONENT,1,UNREVIEWED,,,1/15/20,21,DECREASING,3.0,1.0,,,,df8d5c2e-4e80-4d5a-9643-337f6a80b212,False
11,,7785114c-5b78-4aad-8771-72a739a1f06e,8a885fcc-9cf5-4396-9664-dc515d5cbca7,spdlog,1.9.2,v1.9.2,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,2/9/22,github,gabime/spdlog:v1.9.2,NOT_REVIEWED,couchbase-sdk-cxx 1.0.0,KB_COMPONENT,1,UNREVIEWED,,,8/12/21,3,INCREASING,4.0,2.0,,,,d77721f0-0a9d-4962-a556-6d3b841fde69,False
12,,e1f0d32c-a98a-4a86-a232-3cc3d9eeb9a8,5e66fc80-22cf-409f-b1e3-8b8dc9c07ef5,tao-pegtl,3.2.2,3.2.2,26b23233-77bd-4cc2-8977-f312abd57327,Boost Software License 1.0,PERMISSIVE,Files Modified,,DYNAMICALLY_LINKED,True,,3/17/22,github,taocpp/PEGTL:3.2.2,NOT_REVIEWED,couchbase-sdk-cxx 1.0.0,KB_COMPONENT,1,UNREVIEWED,,,10/22/21,6,,,,,,,b4e5a0cd-f572-405b-b151-15f113acd3b9,False
13,,e1f0d32c-a98a-4a86-a232-3cc3d9eeb9a8,79a97d54-c6c8-4121-b10c-dfc9602d901e,tao-pegtl,3.2.6,3.2.6-1,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,6/21/22,debian,tao-pegtl/3.2.6-1,NOT_REVIEWED,couchbase-sdk-cxx 1.0.0,KB_COMPONENT,5,UNREVIEWED,,,7/4/22,1,,,,,,,c59b9964-3105-4590-ac7d-9fd614e49f4a,False
14,,cae0f7d2-4279-473a-9f71-eabdd121d2e3,369943c1-420a-44d6-9dce-dfc4e4c027c7,taocpp/json,0.0+git20200604.f357d72,0.0+git20200604.f357d72-2,19bd4215-a4d4-4ffe-8e54-fcd9558d4e96,Expat License,PERMISSIVE,"Exact,Files Modified",,DYNAMICALLY_LINKED,True,,2/9/22,ubuntu,tao-json/0.0+git20200604.f357d72-2,NOT_REVIEWED,couchbase-sdk-cxx 1.0.0,KB_COMPONENT,5,UNREVIEWED,,,7/20/20,2,,,,,,,faad5fa2-9d35-4328-8211-fa5784a5a845,False
