,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,Go Testify,v1.11.1,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,5271cd46-d193-4af5-b2c2-50a07751f580,c42f85e0-6129-469d-9469-b152982010c2,ad705c59-6893-4980-bdbf-0837f1823cc4
1,GoDoc Text,v0.2.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,fcf8903b-ac17-4a21-a3ed-d12e6e709e40,f5727975-0297-4fdb-9d68-a5d2085e1a0f,ad705c59-6893-4980-bdbf-0837f1823cc4
2,Golang Protobuf,1.36.11,Direct Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,faa9ce60-ee56-4f4a-b55c-b33fae6c61f4,8ccd5bb8-b877-4ece-9728-f88d0eb294d5,3d238144-44e6-450e-b523-3defbdaed9dc
3,Golang Protobuf,v1.5.4,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,faa9ce60-ee56-4f4a-b55c-b33fae6c61f4,587ad155-8a4a-421d-bab4-c08687b09136,3d238144-44e6-450e-b523-3defbdaed9dc
4,GoogleCloudPlatform/opentelemetry-operations-go,detectors/gcp/v1.27.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,f40d086c-df23-490a-90c3-5749af956f63,e98a2f2c-0a6a-46e5-90c2-5e2c9208df04,7cae335f-1193-421e-92f1-8802b4243e93
5,Googleuuid,v1.6.0,Direct Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,54fe5fe0-f88f-4c83-988d-59e9fc584133,1a0a8d11-0a35-4597-bf9b-a72841b742b2,3d238144-44e6-450e-b523-3defbdaed9dc
6,cespare/xxhash,v2.3.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,49651356-8651-4b8e-9eba-a245f6d236a9,6f908056-e919-4f42-a240-ec807e6e9a67,ad705c59-6893-4980-bdbf-0837f1823cc4
7,couchbase/goprotostellar,v1.0.5,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,24e0c1ff-0ab0-4a61-824f-4e1e14328d7d,ae05e0ad-47d0-4302-94b2-fe355711d731,7cae335f-1193-421e-92f1-8802b4243e93
8,couchbaselabs/gocaves,20250107-snapshot-f9647922,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,2a29191b-0048-4c15-891f-60285d2fba83,ab2c1adc-1171-44f1-ad97-902c5f1562ad,7cae335f-1193-421e-92f1-8802b4243e93
9,couchbaselabs/gocbconnstr,v2.0.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,57f974ce-4fd9-4050-a636-6595d3e98c1b,df15b989-4d45-4574-b932-f64c175450ad,7cae335f-1193-421e-92f1-8802b4243e93
