Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Operational risk,Component policy status,Overridden By,Created At,Origin name,Origin id,Review status,Reviewed by,Reviewed at,Project path,Source/Type,Snippet Review status
,874c05c9-ed80-4f4b-a936-f00eb05b72e6,e93456bb-8d51-4be1-a5c0-57af8aaa218c,LatencyUtils,2.0.3,2.0.3,bfbd4bfa-5f71-4a23-9a23-4ac267626b34,Creative Commons Public Domain Dedication License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,12/5/19,maven,org.latencyutils:LatencyUtils:2.0.3,NOT_REVIEWED,,,couchbase-sdk-java 2.7.11,KB_COMPONENT,
,efd56af9-62c0-430b-84e7-f45fedd08060,1391d9f5-d071-4975-bae4-e11af7843770,Netty Project,4.0.56.Final,4.0.56.Final,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,12/5/19,maven,io.netty:netty-all:4.0.56.Final,NOT_REVIEWED,,,couchbase-sdk-java 2.7.11,KB_COMPONENT,
,3e00ddf9-24b9-4f51-96fb-1e4ac8723eb2,cbce65bb-b7cc-4fd8-8372-8e1078f21331,jackson-core,2.10.1,2.10.1,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,12/5/19,maven,com.fasterxml.jackson.core:jackson-core:2.10.1,NOT_REVIEWED,,,couchbase-sdk-java 2.7.11,KB_COMPONENT,
,d5b90213-52f8-4429-b3c7-ed582af929d2,334c7e6a-91f0-4992-9c49-a2f5fe8375ac,jackson-annotations,jackson-annotations-2.10.1,2.10.1,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,12/5/19,maven,com.fasterxml.jackson.core:jackson-annotations:2.10.1,NOT_REVIEWED,,,couchbase-sdk-java 2.7.11,KB_COMPONENT,
,cb1dd6e6-4d90-4aff-9a45-2b8f6979e7cc,08b39dd6-40fc-48f4-baa2-26131ce743a1,HdrHistogram,2.1.8,2.1.8,"d26bcb7d-5bc8-4f05-8942-a3a42728a2e4,cc875133-df38-4806-9921-473e0ef01a87,a7c69599-62b6-4d06-9ec6-ea688c041c00","(BSD 2-clause ""Simplified"" License OR Creative Commons Zero v1.0 Universal OR Public Domain)",PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,12/5/19,maven,org.hdrhistogram:HdrHistogram:2.1.8,NOT_REVIEWED,,,couchbase-sdk-java 2.7.11,KB_COMPONENT,
,f2517b4c-e3e1-4983-8dd7-f192a71ce282,8ea78e06-5c94-481d-861a-acec7c9936e8,RxJava,1.3.8,1.3.8,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,"Direct Dependency,Transitive Dependency",,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,12/5/19,maven,io.reactivex:rxjava:1.3.8,NOT_REVIEWED,,,couchbase-sdk-java 2.7.11,KB_COMPONENT,
,eb1c6940-3f50-4689-bbe8-ffaa17459a52,a0150cd2-4b2a-4108-864d-cdb8fcc7f8f2,snappy,0.4,0.4,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,12/5/19,maven,org.iq80.snappy:snappy:0.4,NOT_REVIEWED,,,couchbase-sdk-java 2.7.11,KB_COMPONENT,
,f797ed13-0aba-49e3-9ca2-be1c8aca7204,b5a7a90a-518a-41b6-9cba-02a34fc6eecc,OpenTracing-noop,0.31.0,0.31.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,12/5/19,maven,io.opentracing:opentracing-noop:0.31.0,NOT_REVIEWED,,,couchbase-sdk-java 2.7.11,KB_COMPONENT,
,5773c3b0-8c0c-478d-8b95-7718bde3dcf7,2b17cb84-9116-4856-afe7-8fb2f122384d,OpenTracing API,0.31.0,0.31.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,12/5/19,maven,io.opentracing:opentracing-api:0.31.0,NOT_REVIEWED,,,couchbase-sdk-java 2.7.11,KB_COMPONENT,
,ce7ad18a-6e02-4565-a51c-4fc2c5bc7c47,17c088b5-5621-41a8-9b16-1928a884f430,jackson-databind,2.10.1,2.10.1,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,12/5/19,maven,com.fasterxml.jackson.core:jackson-databind:2.10.1,NOT_REVIEWED,,,couchbase-sdk-java 2.7.11,KB_COMPONENT,
,de5501a4-d342-4910-b965-26b32cf18e89,7a3f18fc-dd36-4b42-bed4-99c4aa41d9e7,Disruptor Framework,3.4.2,3.4.2,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,12/5/19,maven,com.lmax:disruptor:3.4.2,NOT_REVIEWED,,,couchbase-sdk-java 2.7.11,KB_COMPONENT,
