Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Operational risk,Component policy status,Overridden By,Created At,Origin name,Origin id,Review status,Reviewed by,Reviewed at,Project path,Source/Type,Snippet Review status
,f50816bf-8ab6-45b0-b44f-54987169fc1d,13869a4a-c8b0-4814-a36b-db11f96253c0,mongo-scala-bson,2.2.0,2.2.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,12/5/19,maven,org.mongodb.scala:mongo-scala-bson_2.12:2.2.0,NOT_REVIEWED,,,couchbase-sdk-java 3.0.0-beta.2,KB_COMPONENT,
,5773c3b0-8c0c-478d-8b95-7718bde3dcf7,441220dc-dd52-450d-a08e-b8db6236b6aa,OpenTracing API,0.33.0,0.33.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,12/5/19,maven,io.opentracing:opentracing-api:0.33.0,NOT_REVIEWED,,,couchbase-sdk-java 3.0.0-beta.2,KB_COMPONENT,
,5defcec1-ef02-4263-828f-7bb1e139a2af,67cbb571-16c5-48d2-98b1-8a02476fdbe7,Scala,2.12.8,2.12.8,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,"Direct Dependency,Transitive Dependency",,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,12/5/19,maven,org.scala-lang:scala-library:2.12.8,NOT_REVIEWED,,,couchbase-sdk-java 3.0.0-beta.2,KB_COMPONENT,
,1ab0d217-8efe-466a-954c-89afce8bb755,b5da1bce-1e91-4077-8f2c-605f79cbdf19,scala-java8-compat,0.9.0,0.9.0,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,12/5/19,maven,org.scala-lang.modules:scala-java8-compat_2.12:0.9.0,NOT_REVIEWED,,,couchbase-sdk-java 3.0.0-beta.2,KB_COMPONENT,
,f2ab73b5-26ac-46a1-b92d-9be2ff333fe9,d725e689-e292-463c-b966-56bc24e5ea4f,io.grpc:grpc-context,1.24.0,1.24.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,12/5/19,maven,io.grpc:grpc-context:1.24.0,NOT_REVIEWED,,,couchbase-sdk-java 3.0.0-beta.2,KB_COMPONENT,
,39b2d81a-7d07-4a01-afb6-a09a5d17eabc,e11490e6-bcd3-4332-88dc-afa7424da0e1,json4s-ast,3.6.4,3.6.4,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,12/5/19,maven,org.json4s:json4s-ast_2.12:3.6.4,NOT_REVIEWED,,,couchbase-sdk-java 3.0.0-beta.2,KB_COMPONENT,
,8e2c2940-f5d7-42bf-b34e-f23f5d02d917,3c1bb4c8-2211-45a6-93a2-b68003ad84d8,Jackson module: Paranamer,2.9.9,2.9.9,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,12/5/19,maven,com.fasterxml.jackson.module:jackson-module-paranamer:2.9.9,NOT_REVIEWED,,,couchbase-sdk-java 3.0.0-beta.2,KB_COMPONENT,
,7b453993-471b-48bd-b0a2-87d8f71b310c,e35ccdf5-1e0e-4662-a649-5cd797d94000,ast,0.14.0,0.14.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,12/5/19,maven,org.typelevel:jawn-ast_2.12:0.14.0,NOT_REVIEWED,,,couchbase-sdk-java 3.0.0-beta.2,KB_COMPONENT,
,9c0920e4-104a-448e-8192-866544b75890,7de83e75-5350-48d3-ae90-0e7d5740e64c,Apache Commons Lang,3.4,3.4,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,12/5/19,maven,org.apache.commons:commons-lang3:3.4,NOT_REVIEWED,,,couchbase-sdk-java 3.0.0-beta.2,KB_COMPONENT,
,62d77708-8fd4-4a24-8110-604722065f38,3fc555c8-10f2-4777-a3f5-20cb163de5c1,jawn,0.10.0,0.10.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,12/5/19,maven,io.circe:circe-jawn_2.12:0.10.0,NOT_REVIEWED,,,couchbase-sdk-java 3.0.0-beta.2,KB_COMPONENT,
,ce7ad18a-6e02-4565-a51c-4fc2c5bc7c47,268a8fd8-55cc-4e00-bf26-d538bcbd41d0,jackson-databind,2.9.10,2.9.10,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,12/5/19,maven,com.fasterxml.jackson.core:jackson-databind:2.9.10,NOT_REVIEWED,,,couchbase-sdk-java 3.0.0-beta.2,KB_COMPONENT,
,97afe998-1e34-4a7b-9567-3c87a516914b,4396a896-a774-475d-9108-67a58e6637de,Scala wrapper for reactor-core,0.4.6,0.4.6,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,"Direct Dependency,Transitive Dependency",,DYNAMICALLY_LINKED,true,OK,Not In Violation,,12/5/19,maven,io.projectreactor:reactor-scala-extensions_2.12:0.4.6,NOT_REVIEWED,,,couchbase-sdk-java 3.0.0-beta.2,KB_COMPONENT,
,62efa65e-3031-4f52-89cf-73e201329eec,d8c8d148-9e85-4f5d-966c-f56189b5756c,numbers,0.10.0,0.10.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,12/5/19,maven,io.circe:circe-numbers_2.12:0.10.0,NOT_REVIEWED,,,couchbase-sdk-java 3.0.0-beta.2,KB_COMPONENT,
