Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Operational Risk,Component policy status,Overridden By,Created At,Origin name,Origin id,Review Status,Reviewed by,Reviewed at,Project path,Source/Type,Snippet Review status,File Match Count,License Risk,Component Status,Component Notes,Fulfillment Required,Version Notes,Critical Vulnerability Count,High Vulnerability Count,Medium Vulnerability Count,Low Vulnerability Count,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families,Comments,Component origin id,Has License Conflicts
,cb1dd6e6-4d90-4aff-9a45-2b8f6979e7cc,08b39dd6-40fc-48f4-baa2-26131ce743a1,HdrHistogram,2.1.8,2.1.8,"d26bcb7d-5bc8-4f05-8942-a3a42728a2e4,cc875133-df38-4806-9921-473e0ef01a87,a7c69599-62b6-4d06-9ec6-ea688c041c00","(BSD 2-clause ""Simplified"" License OR Creative Commons Zero v1.0 Universal OR Public Domain)",PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,12/1/21,maven,org.hdrhistogram:HdrHistogram:2.1.8,NOT_REVIEWED,,,couchbase-sdk-java 3.1.7,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,11/26/15,10,DECREASING,14,4,,,,,7d1dca2c-1a89-4e7e-8830-158ed55533a3,false
,eea33624-c4cb-4c71-8ef7-767642d1d611,410f2b25-b3a2-4632-a864-228b72a0808b,Jackson-module-Afterburner,2.12.5,2.12.5,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,12/1/21,maven,com.fasterxml.jackson.module:jackson-module-afterburner:2.12.5,NOT_REVIEWED,,,couchbase-sdk-java 3.1.7,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,8/26/21,2,,,,,,,,7d0345d7-e990-41c8-95e2-12bb56aba7af,false
,ed9663f6-217e-4f90-9aa5-c74a02cc964c,1a4df96e-32b2-4e28-bca5-e7a1501bb2ac,Java Concurrency Tools Core Library,3.3.0,3.3.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,12/1/21,maven,org.jctools:jctools-core:3.3.0,NOT_REVIEWED,,,couchbase-sdk-java 3.1.7,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,3/4/21,0,,,,,,,,86f9cf7f-03da-4744-84ca-014dba05fcd7,false
,874c05c9-ed80-4f4b-a936-f00eb05b72e6,e93456bb-8d51-4be1-a5c0-57af8aaa218c,LatencyUtils,2.0.3,2.0.3,"cc875133-df38-4806-9921-473e0ef01a87,bfbd4bfa-5f71-4a23-9a23-4ac267626b34","(BSD 2-clause ""Simplified"" License AND Creative Commons Public Domain Dedication and Certification)",PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,12/1/21,maven,org.latencyutils:LatencyUtils:2.0.3,NOT_REVIEWED,,,couchbase-sdk-java 3.1.7,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,12/14/15,0,STABLE,2,1,,,,,b5f0f8d3-4dbc-4992-8c1f-5e4fd5806a6d,false
,efd56af9-62c0-430b-84e7-f45fedd08060,80b6ca86-e7bc-4595-a659-164d0d1aa2a4,Netty Project,4.1.72.Final,4.1.72.Final,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,"Direct Dependency,Transitive Dependency",,DYNAMICALLY_LINKED,true,OK,Not In Violation,,12/15/21,"maven, maven, maven, maven, maven, maven, maven, maven","io.netty:netty-codec-http:4.1.72.Final, io.netty:netty-codec:4.1.72.Final, io.netty:netty-common:4.1.72.Final, io.netty:netty-transport-native-epoll:4.1.72.Final, io.netty:netty-resolver:4.1.72.Final, io.netty:netty-transport:4.1.72.Final, io.netty:netty-buffer:4.1.72.Final, io.netty:netty-handler:4.1.72.Final",NOT_REVIEWED,,,couchbase-sdk-java 3.1.7,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,12/13/21,1,STABLE,844,104,,,,,"89c44f85-de52-4ef2-b373-6968b3dd2a64, b6080c9b-1369-4c63-adcc-6e4ed2dc7566, f3674829-740c-4ba6-9e2d-2155ecebac14, f4fb59ed-da0d-4116-b043-aa06a8927212, 15283dc3-5ab0-4e3b-96dc-6e5f7c5f5833, 2662f5a3-a5a3-4d72-bf27-a22c8e525cab, 56a71312-19f1-4745-9a28-7a9dd38fc137, 60cb85b1-5aff-4080-b8e7-1492dd2a4d22",false
,cfe4b36a-1001-4b76-accd-6ff0ed3c68ae,954121cb-d8f7-4557-9750-57de689859a2,Netty/TomcatNative [BoringSSL - Static],2.0.46.Final,2.0.46.Final,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,12/13/21,maven,io.netty:netty-tcnative-boringssl-static:2.0.46.Final,NOT_REVIEWED,,,couchbase-sdk-java 3.1.7,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,11/17/21,0,,,,,,,,f99b78d7-85f6-446b-8b7d-ba8186bc9855,false
,51ad849f-4561-4fd8-a57a-efecd9590147,41175768-b32e-4b91-a818-a91147711f93,Netty/TomcatNative [OpenSSL - Classes],2.0.46.Final,2.0.46.Final,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,12/13/21,maven,io.netty:netty-tcnative-classes:2.0.46.Final,NOT_REVIEWED,,,couchbase-sdk-java 3.1.7,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,11/17/21,0,,,,,,,,e9243206-76a0-4744-ba25-ae1660ffdd17,false
,a0caf2bd-5f18-44cf-9878-404b01bcdc3a,1c8bcf41-4013-44f4-8177-6423937a21c0,Netty/Transport/Classes/Epoll,4.1.72.Final,4.1.72.Final,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,12/15/21,maven,io.netty:netty-transport-classes-epoll:4.1.72.Final,NOT_REVIEWED,,,couchbase-sdk-java 3.1.7,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,12/13/21,0,,,,,,,,ab8da1b3-b422-4783-b695-e81b87dbb8d1,false
,ec669760-7607-4049-917a-f647295609c8,f2dc5d16-fc42-4ba5-8d36-70c22ee71863,Netty/Transport/Classes/KQueue,4.1.72.Final,4.1.72.Final,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,12/15/21,maven,io.netty:netty-transport-classes-kqueue:4.1.72.Final,NOT_REVIEWED,,,couchbase-sdk-java 3.1.7,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,12/13/21,0,,,,,,,,7603b809-d74e-48de-a1e6-c418e4e32e72,false
,679b893d-5b17-4f01-85e8-e877e8e5d34e,951c4901-c1ab-4050-8250-d065830ec2a0,Netty/Transport/Native/KQueue,4.1.72.Final,4.1.72.Final,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,12/15/21,maven,io.netty:netty-transport-native-kqueue:4.1.72.Final,NOT_REVIEWED,,,couchbase-sdk-java 3.1.7,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,12/13/21,0,,,,,,,,d77bf1da-f902-4c5d-ad17-cbc9f945b047,false
