,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,Apache Log4J API,2.20.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,44d8c92a-f682-4904-b571-c83f83ae1a91,4bebd2c3-43af-4f73-b4b9-d83c0366f30e,7cae335f-1193-421e-92f1-8802b4243e93
1,Apache Log4j,2.20.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,7460c937-f013-4c3a-bdf3-ace04cfd0304,3808e24b-3834-450c-b5f1-23339ac14ba5,7cae335f-1193-421e-92f1-8802b4243e93
2,Apache Log4j SLF4J Binding,2.20.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,925f23a2-2f52-4adb-a1cc-637d8424dff2,130144f3-d2bc-4122-9231-c593bb84cb29,7cae335f-1193-421e-92f1-8802b4243e93
3,AssertJ - Fluent Assertions for Java,3.23.1,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,82d61fc3-ea89-41aa-8397-2f962c92b9b2,f8fb0740-df94-4f9c-8585-223efa659d8a,7cae335f-1193-421e-92f1-8802b4243e93
4,Awaitility,4.2.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,70afd8a0-857d-4f00-892a-396312fb6b43,36a15431-eade-4e39-a26f-d500215d2e98,7cae335f-1193-421e-92f1-8802b4243e93
5,Byte Buddy,1.12.10,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,3a880f58-5441-4faf-bad8-01e7648149d4,baffffaf-58c8-492b-b0c1-affe532d20f2,7cae335f-1193-421e-92f1-8802b4243e93
6,Cats core,2.12.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,0f1350da-7bbb-4be9-8567-ba36502340ff,a3d865f5-fb6b-49e5-bbe8-6f8ae8b29549,ad705c59-6893-4980-bdbf-0837f1823cc4
7,Cats kernel,2.12.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,e5797557-804e-440a-a718-285fb2fa2aac,e71f1610-e1e5-41cf-8e9f-ad43747d0046,ad705c59-6893-4980-bdbf-0837f1823cc4
8,CouchbaseMock,1.5.27,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,16e0418d-0e0d-463f-b934-0261d5ea0c77,f74b65c1-f051-49a2-9671-1b4bf5acab94,7cae335f-1193-421e-92f1-8802b4243e93
9,Duct Tape,1.0.8,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,4d3efdea-3f63-45c4-9ede-e1f4c8b495e2,e78ce716-b979-4fe7-991b-832a75c584ab,ad705c59-6893-4980-bdbf-0837f1823cc4
10,FasterXML/jackson-modules-java8,2.11.4,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,93477a6b-05b7-4f6f-a576-818aba23378f,30579da7-25b0-434d-9bc1-93d71732ffc7,7cae335f-1193-421e-92f1-8802b4243e93
