,Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Overridden By,Created At,Origin name,Origin id,Review Status,Project path,Source/Type,File Match Count,Component Status,Component Notes,Version Notes,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families,Component origin id,Has License Conflicts
0,,569de15a-9489-48ae-aa31-f12f3ca3d818,56497012-0e34-4d8d-ad6a-bba89d526a7c,App.Metrics,4.2.0,4.2.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,10/11/23,nuget,App.Metrics/4.2.0,NOT_REVIEWED,couchbase-sdk-net 3.2.9,KB_COMPONENT,1,UNREVIEWED,,,4/15/21,4,,,,,,,6884e0fd-a80e-4305-9477-ebe86c4d64b2,False
1,,e1b1c99a-5305-445f-9dfb-bf9df4041f7a,f463874d-f721-423b-bc61-5d91e3ab3c9f,App.Metrics.Abstractions,4.2.0,4.2.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,10/11/23,nuget,App.Metrics.Abstractions/4.2.0,NOT_REVIEWED,couchbase-sdk-net 3.2.9,KB_COMPONENT,1,UNREVIEWED,,,4/15/21,4,,,,,,,1d2fe9a2-2aa2-48b8-8aab-d2c41b6b01be,False
2,,6253a696-2dc5-4557-94b2-d6dbca3ea24b,1cc374e3-f8db-492b-9d80-c5d7b08f9cfd,Crc32 for .NET,1.2.0,1.2.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,10/11/23,nuget,Crc32.NET/1.2.0,NOT_REVIEWED,couchbase-sdk-net 3.2.9,KB_COMPONENT,1,UNREVIEWED,,,12/7/17,0,,,,,,,01d673b2-6b1d-4b26-b678-b173d9d61eec,False
3,,3976e60c-9a76-4632-bf6b-71f45b9acdcc,145b74cf-8eed-48f6-8979-4732bc301a3d,DnsClient,1.3.2,1.3.2,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,10/11/23,nuget,DnsClient/1.3.2,NOT_REVIEWED,couchbase-sdk-net 3.2.9,KB_COMPONENT,1,UNREVIEWED,,,5/13/20,9,,,,,,,63d499c4-bbc5-4e8c-ace6-dcd64c856170,False
4,,971d8668-3569-4386-8043-912678d3687e,c29ad31b-ea8f-4c0e-93f9-ebfd6ffdbf49,JamesNK/Newtonsoft.Json,11.0.2,11.0.2,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,10/11/23,nuget,Newtonsoft.Json/11.0.2,NOT_REVIEWED,couchbase-sdk-net 3.2.9,KB_COMPONENT,1,UNREVIEWED,,,3/24/18,28,DECREASING,10.0,3.0,,,,5379c4b3-9a9b-4dd1-9517-249de6d5a5c4,False
5,,8aa4bc95-98c3-4b8f-96f7-c6f34760916c,69ff125e-1496-4849-848c-188a8408e7f4,Microsoft.CSharp,4.7.0,4.7.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,10/11/23,nuget,Microsoft.CSharp/4.7.0,NOT_REVIEWED,couchbase-sdk-net 3.2.9,KB_COMPONENT,1,UNREVIEWED,,,12/3/19,0,,,,,,,a169f7de-69af-4f29-84f5-083aa199e937,False
6,,d663372b-2dad-49d4-917e-053efa986cd2,b9354f5e-8e3b-481e-929d-9ababeb3f33a,Microsoft.Extensions.Configuration,3.1.21,3.1.21,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,10/11/23,nuget,Microsoft.Extensions.Configuration/3.1.21,NOT_REVIEWED,couchbase-sdk-net 3.2.9,KB_COMPONENT,1,UNREVIEWED,,,11/7/21,34,,,,,,,a3025b26-79d0-494d-a30d-78dd0fc153b4,False
7,,155ced88-f56d-4c1f-8fcd-3440f05a672a,2e52d78d-8ce1-4e42-9927-fe4f55f50300,Microsoft.Extensions.Configuration.Binder,3.1.21,3.1.21,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,10/11/23,nuget,Microsoft.Extensions.Configuration.Binder/3.1.21,NOT_REVIEWED,couchbase-sdk-net 3.2.9,KB_COMPONENT,1,UNREVIEWED,,,11/7/21,37,,,,,,,3add3a06-c96a-4c58-911e-d25dd0d33eca,False
8,,eca603e2-f16b-47b7-abba-47deb0fea5aa,0fa40f24-dbbf-44a0-9fd6-c260df9dc90b,Microsoft.Extensions.DependencyInjection.Abstractions,3.1.21,3.1.21,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,10/11/23,nuget,Microsoft.Extensions.DependencyInjection.Abstractions/3.1.21,NOT_REVIEWED,couchbase-sdk-net 3.2.9,KB_COMPONENT,1,UNREVIEWED,,,11/7/21,33,,,,,,,878cde78-711e-431b-978a-2b338364f4ed,False
9,,24d628b8-19ba-4103-b297-c690a556c3fb,78e889c6-4447-400a-bcaf-be917771074e,Microsoft.Extensions.Logging.Abstractions,3.1.21,3.1.21,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,10/11/23,nuget,Microsoft.Extensions.Logging.Abstractions/3.1.21,NOT_REVIEWED,couchbase-sdk-net 3.2.9,KB_COMPONENT,1,UNREVIEWED,,,11/7/21,38,,,,,,,8e51929c-bcb2-4a46-bb6a-75064743b40f,False
