,Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Overridden By,Created At,Origin name,Origin id,Review Status,Project path,Source/Type,File Match Count,Component Status,Component Notes,Version Notes,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families,Component origin id,Has License Conflicts
0,,46ac7f84-07df-4544-bcfb-5a75dd35d485,c60e5985-2d5f-4f18-bffe-ffe20ffe8a30,Qix-/color-convert,2.0.1,2.0.1,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,10/14/23,npmjs,color-convert/2.0.1,NOT_REVIEWED,couchbase-sdk-nodejs 4.2.7,KB_COMPONENT,1,UNREVIEWED,,,8/19/19,0,DECREASING,0.0,0.0,,,,432148f6-f231-4455-9eb1-6adafc886291,False
1,,0809e45c-41a9-4f4b-ba9d-1aa51a0c47dc,b6422db2-3ed7-4117-aeb5-e5f01da63d89,Strip ANSI,6.0.1,6.0.1,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,10/14/23,npmjs,strip-ansi/6.0.1,NOT_REVIEWED,couchbase-sdk-nodejs 4.2.7,KB_COMPONENT,1,UNREVIEWED,,,9/30/21,1,,,,,,,a575de0c-0414-48b6-bea2-382edba031c9,False
2,,8d080f9e-677a-4203-b72d-1edf330e5a1c,379e0b70-62c1-4edc-9eb4-4815e4512496,ansi-regex,5.0.1,5.0.1,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,10/14/23,npmjs,ansi-regex/5.0.1,NOT_REVIEWED,couchbase-sdk-nodejs 4.2.7,KB_COMPONENT,1,UNREVIEWED,,,9/14/21,2,DECREASING,0.0,0.0,,,,2b70cd02-cda1-42fb-bf56-870be0b0fb7d,False
3,,076b8cff-cc76-48d5-96f4-e7241d3d29d9,80233df7-5f4d-43c8-986d-dde0eea89bf5,ansi-styles,v4.3.0,4.3.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,10/14/23,npmjs,ansi-styles/4.3.0,NOT_REVIEWED,couchbase-sdk-nodejs 4.2.7,KB_COMPONENT,1,UNREVIEWED,,,10/4/20,9,STABLE,2.0,0.0,,,,e2866444-f488-455d-a5c3-d42310dbfc42,False
4,,59655838-9403-4286-a1f7-78d9afe63e5e,25377625-68eb-4458-a5c3-a93c5058bc46,aproba,2.0.0,2.0.0,14b0b50b-acd2-4fc8-ac65-3b15f9e58260,ISC License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,10/14/23,npmjs,aproba/2.0.0,NOT_REVIEWED,couchbase-sdk-nodejs 4.2.7,KB_COMPONENT,1,UNREVIEWED,,,5/22/18,0,,,,,,,9cf62d13-01d8-4a7d-8d42-d2ba7454e42d,False
5,,787d1bb5-8fc5-4672-bf7b-b746428d9619,7dd0fb3e-d789-4285-a87f-104f7c2a9807,are-we-there-yet,3.0.1,3.0.1,14b0b50b-acd2-4fc8-ac65-3b15f9e58260,ISC License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,10/14/23,npmjs,are-we-there-yet/3.0.1,NOT_REVIEWED,couchbase-sdk-nodejs 4.2.7,KB_COMPONENT,1,UNREVIEWED,,,7/27/22,3,DECREASING,31.0,5.0,,,,face9829-0ac4-404b-89fd-25d1444d26cd,False
6,,43342b9f-3356-4797-9722-ee80bf3cd217,72a38dfa-4b4b-4b49-a621-5da57d3a0831,asynckit,0.4.0,0.4.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,10/14/23,npmjs,asynckit/0.4.0,NOT_REVIEWED,couchbase-sdk-nodejs 4.2.7,KB_COMPONENT,1,UNREVIEWED,,,6/14/16,0,STABLE,0.0,0.0,,,,274df6ad-893f-4943-aaf5-18daaae91b5c,False
7,,31b73ea8-4b41-43ed-8ada-1d680a5ad50d,3eb5fa71-4347-4334-9853-23b61f088c65,axios,1.4.0,1.4.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,10/14/23,npmjs,axios/1.4.0,NOT_REVIEWED,couchbase-sdk-nodejs 4.2.7,KB_COMPONENT,1,UNREVIEWED,,,4/27/23,2,INCREASING,204.0,100.0,,,,2e11cbe1-c8cd-469d-a371-f363f7ba5f8c,False
8,,a0d5c298-9bcc-43fa-9042-3a6ca1b603e3,0038f632-7166-4882-b2ab-3ee5f7081a7f,chownr,2.0.0,2.0.0,14b0b50b-acd2-4fc8-ac65-3b15f9e58260,ISC License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,10/14/23,npmjs,chownr/2.0.0,NOT_REVIEWED,couchbase-sdk-nodejs 4.2.7,KB_COMPONENT,1,UNREVIEWED,,,2/11/20,0,DECREASING,2.0,2.0,,,,9c8117b7-856b-4df9-ab51-55c85fa1961c,False
9,,0284f5a9-3409-4425-a23a-a0ebab9a922e,502009ab-4e95-4e15-bee2-003f1923d1d4,cliui,8.0.1,8.0.1,14b0b50b-acd2-4fc8-ac65-3b15f9e58260,ISC License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,10/14/23,npmjs,cliui/8.0.1,NOT_REVIEWED,couchbase-sdk-nodejs 4.2.7,KB_COMPONENT,1,UNREVIEWED,,,9/30/22,1,DECREASING,0.0,0.0,,,,caec8edb-734c-43d7-baa9-619d99203793,False
10,,61ede541-40c5-4d92-b1ae-d9206357838d,c08ff5d8-c33b-4605-8ea2-e15286f0a166,cmake-js,7.2.1,7.2.1,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,10/14/23,npmjs,cmake-js/7.2.1,NOT_REVIEWED,couchbase-sdk-nodejs 4.2.7,KB_COMPONENT,1,UNREVIEWED,,,2/14/23,0,DECREASING,21.0,3.0,,,,9392df34-c58d-4e00-a50d-e07ff14d8895,False
11,,68b85420-e2ba-4f55-96e5-05836e663a21,67e179f4-6338-40a8-a485-ef29c6590aef,color-name,1.1.4,1.1.4,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,10/14/23,npmjs,color-name/1.1.4,NOT_REVIEWED,couchbase-sdk-nodejs 4.2.7,KB_COMPONENT,1,UNREVIEWED,,,9/21/18,2,STABLE,1.0,1.0,,,,4a900107-7982-4828-9046-40317f384414,False
12,,0177399e-e820-4a86-8bf2-1c4506d0c2b5,38987dbd-85ff-4e4a-a1cd-aa1de0cf47da,color-support,1.1.3,1.1.3,14b0b50b-acd2-4fc8-ac65-3b15f9e58260,ISC License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,10/14/23,npmjs,color-support/1.1.3,NOT_REVIEWED,couchbase-sdk-nodejs 4.2.7,KB_COMPONENT,1,UNREVIEWED,,,6/6/17,0,,,,,,,929d3bf6-c1f8-4ce8-91fd-d594fdebd8d9,False
13,,433e80c2-6c56-457c-80e3-2f3fa573ec8a,77685b17-bdfd-48ad-bd72-318e01ea1f66,combined-stream,1.0.8,1.0.8,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,10/14/23,npmjs,combined-stream/1.0.8,NOT_REVIEWED,couchbase-sdk-nodejs 4.2.7,KB_COMPONENT,1,UNREVIEWED,,,5/12/19,1,,,,,,,191aef1d-c2b8-4dec-9e46-be39ada5f91f,False
14,,20cd5697-168e-4487-a02f-89f193775e5f,146a1f53-2e1d-4f34-a001-48102add948d,console-control-strings,1.1.0,1.1.0,14b0b50b-acd2-4fc8-ac65-3b15f9e58260,ISC License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,10/14/23,npmjs,console-control-strings/1.1.0,NOT_REVIEWED,couchbase-sdk-nodejs 4.2.7,KB_COMPONENT,1,UNREVIEWED,,,6/15/16,0,,,,,,,78c3860f-b1cb-483e-99ae-5794b16030c7,False
15,,311cd3ac-8ee5-4020-af4d-ac4aa070b4fa,7eeaf00e-8a09-4911-ae2c-010644e829c8,debug-js/debug,4.3.4,4.3.4,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,10/14/23,npmjs,debug/4.3.4,NOT_REVIEWED,couchbase-sdk-nodejs 4.2.7,KB_COMPONENT,1,UNREVIEWED,,,3/17/22,2,DECREASING,1.0,1.0,,,,5170ce43-1615-485a-9e3e-595c348dfc51,False
16,,2b855bde-df43-4374-895e-70d00ab065bd,139fc95b-8ea9-4c09-929d-696f1c7bef43,deep-extend,0.6.0,0.6.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,10/14/23,npmjs,deep-extend/0.6.0,NOT_REVIEWED,couchbase-sdk-nodejs 4.2.7,KB_COMPONENT,1,UNREVIEWED,,,5/22/18,0,,,,,,,fb3b0493-ab64-40a4-a3d0-6126a8a5d716,False
17,,845f033b-a90e-4e1a-b184-77208ddfd6a3,9f8eff9b-d7b5-476d-bf3d-5c01ec9be048,delayed-stream,1.0.0,1.0.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,10/14/23,npmjs,delayed-stream/1.0.0,NOT_REVIEWED,couchbase-sdk-nodejs 4.2.7,KB_COMPONENT,1,UNREVIEWED,,,4/30/15,0,,,,,,,bec91739-fa04-4073-933d-57ee559d4a2d,False
18,,614ef967-e1fa-4608-ab86-471bb5583e64,6393d6a3-c956-4d94-a7d9-fd6bfe6b7dff,delegates,1.0.0,1.0.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,10/14/23,npmjs,delegates/1.0.0,NOT_REVIEWED,couchbase-sdk-nodejs 4.2.7,KB_COMPONENT,1,UNREVIEWED,,,12/14/15,0,,,,,,,3390dc9e-ea05-4c44-a51d-503fa09a764f,False
19,,82834efc-340e-4419-aef6-25c799209e80,e55c5f58-b440-419e-8d9a-36e33b7e1b3f,dominictarr/rc,1.2.8,1.2.8,"cc875133-df38-4806-9921-473e0ef01a87,ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93","(MIT License OR BSD 2-clause ""Simplified"" License OR Apache License 2.0)",PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,10/14/23,npmjs,rc/1.2.8,NOT_REVIEWED,couchbase-sdk-nodejs 4.2.7,KB_COMPONENT,1,UNREVIEWED,,,5/26/18,3,,,,,,,2a71643c-cfee-4720-9e15-ce76eb9c488c,False
20,,149d48ae-40a2-4e45-a0a5-f0ba3d7db32b,c0b8399a-ed6b-4d06-a0db-8d359038b041,emoji-regex,v8.0.0,8.0.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,10/14/23,npmjs,emoji-regex/8.0.0,NOT_REVIEWED,couchbase-sdk-nodejs 4.2.7,KB_COMPONENT,1,UNREVIEWED,,,3/5/19,11,DECREASING,0.0,0.0,,,,c91cc3b1-44df-4be7-bb92-0e7870c97664,False
21,,f82b05a5-0c6d-4819-91ae-48d662bed54d,86b38c94-4d34-4889-b393-ef84dcc4446a,escalade,3.1.1,3.1.1,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,10/14/23,npmjs,escalade/3.1.1,NOT_REVIEWED,couchbase-sdk-nodejs 4.2.7,KB_COMPONENT,1,UNREVIEWED,,,10/12/20,0,,,,,,,34575993-93c1-4cf1-9893-fe41759a16d0,False
22,,722fe904-47d2-408c-9e3c-077ec790c7d8,8545cd0e-7e43-4075-8edc-dbf00a35e7b9,follow-redirects,1.15.2,1.15.2,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,10/14/23,npmjs,follow-redirects/1.15.2,NOT_REVIEWED,couchbase-sdk-nodejs 4.2.7,KB_COMPONENT,1,UNREVIEWED,,,9/13/22,2,DECREASING,5.0,3.0,,,,3acd1b72-9d7a-4a93-8005-72fe4258321a,False
23,,275be75e-0c11-423d-b6e0-b3c60e3bf767,344be5f3-31e5-4b20-8ff5-7b16701037f0,form-data,4.0.0,4.0.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,10/14/23,npmjs,form-data/4.0.0,NOT_REVIEWED,couchbase-sdk-nodejs 4.2.7,KB_COMPONENT,1,UNREVIEWED,,,2/15/21,0,,,,,,,8b724efd-c825-4ac5-9b4b-f2595ee0c66d,False
24,,f86e7ece-e9db-4533-a637-53fb9fd1f0d2,8d444034-ea3a-4f7d-8422-75960b14fc4b,fs-extra,10.1.0,10.1.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,10/14/23,npmjs,fs-extra/10.1.0,NOT_REVIEWED,couchbase-sdk-nodejs 4.2.7,KB_COMPONENT,1,UNREVIEWED,,,4/16/22,25,,,,,,,b0bd146a-8714-4b9c-a8ee-5669091cc5e3,False
