,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,BoringSSL,20200921,Manually Added,The Open SSL License,PERMISSIVE,NOT_REVIEWED,1e303b15-b82b-4a4d-8cd6-a2048fb2c73d,6c6e3676-1bff-48c2-8e62-14f421ec9e0a,8adc012e-9844-43ef-91cf-b45a3302c597
1,C++ Guideline Support Library,4.0.0,Manually Added,MIT License,PERMISSIVE,NOT_REVIEWED,9e753ffd-aa29-46e6-a7fc-d4b972710c0b,01d9cff4-73d4-4211-bc54-19271389e141,ad705c59-6893-4980-bdbf-0837f1823cc4
2,HdrHistogram_c,0.11.8,Manually Added,"(BSD 2-clause ""Simplified"" License AND Creative Commons Zero v1.0 Universal AND Public Domain)",PERMISSIVE,NOT_REVIEWED,43a908e1-df66-4cd1-b18f-63c94e41965e,aa9e57f2-394e-40ca-a621-9e7e16782d99,"d26bcb7d-5bc8-4f05-8942-a3a42728a2e4,cc875133-df38-4806-9921-473e0ef01a87,a7c69599-62b6-4d06-9ec6-ea688c041c00"
3,Qix-/color-convert,2.0.1,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,46ac7f84-07df-4544-bcfb-5a75dd35d485,c60e5985-2d5f-4f18-bffe-ffe20ffe8a30,ad705c59-6893-4980-bdbf-0837f1823cc4
4,Strip ANSI,6.0.1,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,0809e45c-41a9-4f4b-ba9d-1aa51a0c47dc,b6422db2-3ed7-4117-aeb5-e5f01da63d89,ad705c59-6893-4980-bdbf-0837f1823cc4
5,ansi-regex,5.0.1,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,8d080f9e-677a-4203-b72d-1edf330e5a1c,379e0b70-62c1-4edc-9eb4-4815e4512496,ad705c59-6893-4980-bdbf-0837f1823cc4
6,ansi-styles,v4.3.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,076b8cff-cc76-48d5-96f4-e7241d3d29d9,80233df7-5f4d-43c8-986d-dde0eea89bf5,ad705c59-6893-4980-bdbf-0837f1823cc4
7,aproba,2.0.0,Transitive Dependency,ISC License,PERMISSIVE,NOT_REVIEWED,59655838-9403-4286-a1f7-78d9afe63e5e,25377625-68eb-4458-a5c3-a93c5058bc46,14b0b50b-acd2-4fc8-ac65-3b15f9e58260
8,are-we-there-yet,3.0.1,Transitive Dependency,ISC License,PERMISSIVE,NOT_REVIEWED,787d1bb5-8fc5-4672-bf7b-b746428d9619,7dd0fb3e-d789-4285-a87f-104f7c2a9807,14b0b50b-acd2-4fc8-ac65-3b15f9e58260
9,asio,1.28.1,Manually Added,Boost Software License 1.0,PERMISSIVE,NOT_REVIEWED,3739d5e9-9ad8-4845-8077-1770167a69c2,fdc4b646-abcd-4a10-95bb-c9faa876adec,26b23233-77bd-4cc2-8977-f312abd57327
10,asynckit,0.4.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,43342b9f-3356-4797-9722-ee80bf3cd217,72a38dfa-4b4b-4b49-a621-5da57d3a0831,ad705c59-6893-4980-bdbf-0837f1823cc4
11,axios,1.6.8,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,31b73ea8-4b41-43ed-8ada-1d680a5ad50d,554f0e6b-4353-421d-874e-a52672266b31,ad705c59-6893-4980-bdbf-0837f1823cc4
12,chownr,2.0.0,Transitive Dependency,ISC License,PERMISSIVE,NOT_REVIEWED,a0d5c298-9bcc-43fa-9042-3a6ca1b603e3,0038f632-7166-4882-b2ab-3ee5f7081a7f,14b0b50b-acd2-4fc8-ac65-3b15f9e58260
13,cliui,8.0.1,Transitive Dependency,ISC License,PERMISSIVE,NOT_REVIEWED,0284f5a9-3409-4425-a23a-a0ebab9a922e,502009ab-4e95-4e15-bee2-003f1923d1d4,14b0b50b-acd2-4fc8-ac65-3b15f9e58260
14,cmake-js,7.3.0,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,61ede541-40c5-4d92-b1ae-d9206357838d,d179b5f6-85a1-4f3d-9e8d-ff2b194aec77,ad705c59-6893-4980-bdbf-0837f1823cc4
15,color-name,1.1.4,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,68b85420-e2ba-4f55-96e5-05836e663a21,67e179f4-6338-40a8-a485-ef29c6590aef,ad705c59-6893-4980-bdbf-0837f1823cc4
16,color-support,1.1.3,Transitive Dependency,ISC License,PERMISSIVE,NOT_REVIEWED,0177399e-e820-4a86-8bf2-1c4506d0c2b5,38987dbd-85ff-4e4a-a1cd-aa1de0cf47da,14b0b50b-acd2-4fc8-ac65-3b15f9e58260
