,Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Overridden By,Created At,Origin name,Origin id,Review Status,Project path,Source/Type,File Match Count,Component Status,Component Notes,Version Notes,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families,Component origin id,Has License Conflicts
0,,7953a66b-efa6-43b6-a90c-de959ce49c94,ca8b1821-abce-4ac7-a800-6467f87fde25,ASIO C++ Library,1.21.0,1.21.0-r0/riscv64,26b23233-77bd-4cc2-8977-f312abd57327,Boost Software License 1.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,4/27/22,alpine,asio-dev/1.21.0-r0/riscv64,NOT_REVIEWED,couchbase-sdk-php 4.0.0,KB_COMPONENT,2,UNREVIEWED,,,2/18/22,1,,,,,,,0a84f964-50d0-4073-b6c1-80d56c14c7e1,False
1,,677efaf5-5bad-4f93-904b-dc4b69af9199,57380db8-397c-4888-9618-3d6836cc0f5c,Bootstrap (Twitter),3.2.0,3.2.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,4/27/22,unknown,,NOT_REVIEWED,couchbase-sdk-php 4.0.0,KB_COMPONENT,1,UNREVIEWED,,,6/26/14,152,DECREASING,1046.0,69.0,,,,87477908-df5f-4fed-b8f7-4ac988ac958e,False
2,,677efaf5-5bad-4f93-904b-dc4b69af9199,578cb95f-3c69-4b4a-9491-a9c1d4cc369d,Bootstrap (Twitter),3.3.4,3.3.4,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,4/27/22,npmjs,bootstrap/3.3.4,NOT_REVIEWED,couchbase-sdk-php 4.0.0,KB_COMPONENT,1,UNREVIEWED,,,3/16/15,142,DECREASING,1046.0,69.0,,,,3e275635-0503-4ac8-834a-2c03ee53b1b3,False
3,,9e753ffd-aa29-46e6-a7fc-d4b972710c0b,01d9cff4-73d4-4211-bc54-19271389e141,C++ Guideline Support Library,4.0.0,4.0.0-1,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Files Modified,,DYNAMICALLY_LINKED,True,,4/27/22,debian,ms-gsl/4.0.0-1,NOT_REVIEWED,couchbase-sdk-php 4.0.0,KB_COMPONENT,4,UNREVIEWED,,,1/26/22,1,DECREASING,19.0,8.0,,,,6f85077a-41a2-4af3-893a-10c80a7bb580,False
4,,43a908e1-df66-4cd1-b18f-63c94e41965e,ea26ec59-4803-41e9-a125-51068f6e2eaa,HdrHistogram_c,0.9.13,0.9.13-2.el8/x86_64,"3d238144-44e6-450e-b523-3defbdaed9dc,d26bcb7d-5bc8-4f05-8942-a3a42728a2e4","(BSD 3-clause ""New"" or ""Revised"" License AND Public Domain)",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,4/27/22,rocky,HdrHistogram_c/0.9.13-2.el8/x86_64,NOT_REVIEWED,couchbase-sdk-php 4.0.0,KB_COMPONENT,2,UNREVIEWED,,,2/17/20,10,DECREASING,19.0,7.0,,,,e5cd3688-c7e5-4217-b902-b22d2bf4f899,False
5,,7355d1e8-3e81-447c-a726-fa23a3541ac2,1a6f1b14-2bd2-472f-8a55-d9b5461617c2,JSON for Modern C++,v3.9.1,v3.9.1,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,4/27/22,github,nlohmann/json:v3.9.1,NOT_REVIEWED,couchbase-sdk-php 4.0.0,KB_COMPONENT,1,UNREVIEWED,,,8/6/20,6,DECREASING,252.0,27.0,,,,4a6ae508-8f63-4705-8e77-6fd9260a2c0c,False
6,,ae1b8ed0-430e-4b18-b6db-eaf04d774633,10065f11-a6fd-4237-bd87-0bbfc5a07db9,Jinja,3.0.3,3.0.3,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,6/21/22,pypi,Jinja2/3.0.3,NOT_REVIEWED,couchbase-sdk-php 4.0.0,KB_COMPONENT,1,UNREVIEWED,,,11/9/21,7,STABLE,186.0,20.0,,,,e0f38496-683d-40ed-98c6-c12c6c4576dd,False
7,,163828a2-cf12-4b17-85e1-af89c69e83de,a9789dbb-e4f8-4a64-82c7-3775692da0ad,MarkupSafe,2.0.1,2.0.1,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,6/21/22,pypi,MarkupSafe/2.0.1,NOT_REVIEWED,couchbase-sdk-php 4.0.0,KB_COMPONENT,1,UNREVIEWED,,,5/18/21,5,DECREASING,110.0,6.0,,,,12b9bcfe-fc9c-470d-8ca0-f59acd1a36d6,False
8,,562519b8-c368-4e82-b328-8001f66d8b00,29d38d20-1b8a-42ee-89dc-c8f70f49b6fe,PyYAML,5.4.1,5.4.1,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,6/21/22,pypi,PyYAML/5.4.1,NOT_REVIEWED,couchbase-sdk-php 4.0.0,KB_COMPONENT,1,UNREVIEWED,,,1/20/21,5,INCREASING,25.0,6.0,,,,3bb08f80-8545-4f60-a06d-d85d557c882f,False
9,,60d59a36-7623-422e-80f0-d43da6d673d3,3763f15f-6a7f-434c-b948-7799f0edceb9,Pygments - Python syntax highlighter,2.10.0,2.10.0,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,6/21/22,pypi,Pygments/2.10.0,NOT_REVIEWED,couchbase-sdk-php 4.0.0,KB_COMPONENT,1,UNREVIEWED,,,8/15/21,4,,,,,,,289152d9-0006-41be-9d42-2d37c3c5b4df,False
