,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,ASIO C++ Library,1.30.2,Exact,Boost Software License 1.0,PERMISSIVE,NOT_REVIEWED,7953a66b-efa6-43b6-a90c-de959ce49c94,87d594a0-f4ed-4710-a87f-63a6313a0ede,26b23233-77bd-4cc2-8977-f312abd57327
1,C++ Guideline Support Library,4.0.0,Exact,MIT License,PERMISSIVE,NOT_REVIEWED,9e753ffd-aa29-46e6-a7fc-d4b972710c0b,01d9cff4-73d4-4211-bc54-19271389e141,ad705c59-6893-4980-bdbf-0837f1823cc4
2,couchbase,4.2.0,Exact,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,04393d75-c84e-44b2-b6a0-c246b7287711,90f0c462-d361-4e91-b89c-2c910b1cdf3b,7cae335f-1193-421e-92f1-8802b4243e93
3,couchbase,4.2.1,Files Modified,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,04393d75-c84e-44b2-b6a0-c246b7287711,8375e340-890b-4873-9850-2cf60bf14644,7cae335f-1193-421e-92f1-8802b4243e93
4,couchbase-python-client,4.2.1rc1,"Files Added/Deleted,Exact",Apache License 2.0,PERMISSIVE,NOT_REVIEWED,38a09da5-4b7a-4e96-be95-b2368cc14ffb,dde29538-2f83-4c36-ba3a-65cbaac2b2d1,7cae335f-1193-421e-92f1-8802b4243e93
5,couchbase-ruby-client,3.5.1,"Files Added/Deleted,Exact,Files Modified",Apache License 2.0,PERMISSIVE,NOT_REVIEWED,9315338b-2d56-4495-b3c0-7b118b805390,dc0abfa6-bc82-44de-8b8e-82f9c76b3fc1,7cae335f-1193-421e-92f1-8802b4243e93
6,fmtlib/fmt,10.2.1,Exact,MIT License,PERMISSIVE,NOT_REVIEWED,eae20828-18b8-478f-83b3-4a058748a28b,c1acf01e-3fdd-4293-b75e-22fa31fa4933,ad705c59-6893-4980-bdbf-0837f1823cc4
7,libspatialindex,2.0.0~b4,Exact,MIT License,PERMISSIVE,NOT_REVIEWED,806dc57b-0cbb-477b-ba64-d00bd448dbbe,399958ef-9937-4322-a440-91ca16721446,ad705c59-6893-4980-bdbf-0837f1823cc4
8,spdlog,v1.13.0,Exact,MIT License,PERMISSIVE,NOT_REVIEWED,7785114c-5b78-4aad-8771-72a739a1f06e,0e4d1ddf-f4ea-4aaf-8df3-e07081d144f3,ad705c59-6893-4980-bdbf-0837f1823cc4
9,tao-pegtl,3.2.6,Exact,MIT License,PERMISSIVE,NOT_REVIEWED,e1f0d32c-a98a-4a86-a232-3cc3d9eeb9a8,79a97d54-c6c8-4121-b10c-dfc9602d901e,ad705c59-6893-4980-bdbf-0837f1823cc4
