Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Operational Risk,Component policy status,Overridden By,Created At,Origin name,Origin id,Review Status,Reviewed by,Reviewed at,Project path,Source/Type,Snippet Review status,File Match Count,License Risk,Component Status,Component Notes,Fulfillment Required,Version Notes,Critical Vulnerability Count,High Vulnerability Count,Medium Vulnerability Count,Low Vulnerability Count,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families,Comments
,69184346-b974-4064-88a3-134a17f6bbb5,af08bea7-405e-4417-b6e2-742b43892b9e,Python six,1.11.0,1.11.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,7/15/21,pypi,six/1.11.0,NOT_REVIEWED,,,couchbase-sdk-python 3.1.3,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,9/24/17,6,DECREASING,12,5,,,,
,69184346-b974-4064-88a3-134a17f6bbb5,68b653d5-8584-4949-8fb9-a4c417d443e0,Python six,1.15.0,1.15.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,7/15/21,pypi,six/1.15.0,NOT_REVIEWED,,,couchbase-sdk-python 3.1.3,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,5/21/20,1,DECREASING,12,5,,,,
,176a08de-8091-46c9-a842-ef9954a0a453,e3147702-707b-4069-8261-cc572b0595ac,attrs-python,21.2.0,21.2.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,7/15/21,pypi,attrs/21.2.0,NOT_REVIEWED,,,couchbase-sdk-python 3.1.3,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,5/7/21,0,,,,,,,
,38a09da5-4b7a-4e96-be95-b2368cc14ffb,98c4ae40-8eea-42b4-8ff0-48aea02d63c1,couchbase-python-client,3.1.3,3.1.3,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,7/15/21,github,couchbase/couchbase-python-client:3.1.3,NOT_REVIEWED,,,couchbase-sdk-python 3.1.3,KB_COMPONENT,,11,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,6/14/21,0,DECREASING,73,7,,,,
,c97bca6d-0035-4a63-a0d7-9a035532ce11,5264959b-f5e2-4e02-9f89-684ee755f831,durationpy,0.5,0.5,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,7/15/21,pypi,durationpy/0.5,NOT_REVIEWED,,,couchbase-sdk-python 3.1.3,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,8/1/17,0,,,,,,,
,8955960e-0a2e-4f86-918f-281b0a3cd738,3015838e-4997-4fd2-a2e9-58ccc4337372,mypy-extensions,0.4.3,0.4.3,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,7/15/21,pypi,mypy-extensions/0.4.3,NOT_REVIEWED,,,couchbase-sdk-python 3.1.3,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,10/17/19,0,,,,,,,
,9c666a3c-b7f2-43c4-bf3f-828e9c2f2406,67aa0b35-e2d5-465d-ab07-d6ef622d05de,pip,9.0.1,9.0.1,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,7/15/21,pypi,pip/9.0.1,NOT_REVIEWED,,,couchbase-sdk-python 3.1.3,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,1,0,11/21/16,47,STABLE,2360,77,,,,
,44bc70cc-eda9-475d-acf1-584efb2f7d3f,c2ee04af-920a-446e-b123-89d32cac43dc,python-typing-extensions,3.7.4.3,3.7.4.3,ead40028-7962-4fc0-9be5-2b956cd4714a,Python Software Foundation License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,7/15/21,pypi,typing-extensions/3.7.4.3,NOT_REVIEWED,,,couchbase-sdk-python 3.1.3,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,8/23/20,1,,,,,,,
,90b11d8e-f5a8-4326-8c0b-035e408ae4ed,ca1fe8b5-4ae0-4a9b-8bfd-7a7bc58ab3f9,tobgu/pyrsistent,v0.17.3,0.17.3-1.el7pc/x86_64,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Files Modified,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,7/15/21,redhat,python-pyrsistent/0.17.3-1.el7pc/x86_64,NOT_REVIEWED,,,couchbase-sdk-python 3.1.3,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,9/13/20,1,,,,,,,
,33b182b2-1de9-4443-afd7-019615af3a13,03df8778-13ae-4bda-9aa0-d01b861eee6d,wrapt,1.12.1,1.12.1,cc875133-df38-4806-9921-473e0ef01a87,"BSD 2-clause ""Simplified"" License",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,7/15/21,pypi,wrapt/1.12.1,NOT_REVIEWED,,,couchbase-sdk-python 3.1.3,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,3/8/20,0,DECREASING,0,0,,,,
