,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,BurntSushi/rust-memchr,2.8.0,Transitive Dependency,(MIT License OR The Unlicense),PERMISSIVE,NOT_REVIEWED,79bcd522-6a36-46f7-92dc-2a8b9f2c0ab7,460799ed-8f30-478e-9fad-453ec6d02573,"ad705c59-6893-4980-bdbf-0837f1823cc4,57b1f355-a0a0-4f5e-b4dd-019296e4eda6"
1,alexcrichton/proc-macro2,1.0.106,Transitive Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,370dd3f2-35a2-49a5-8813-c6086260a204,c35ae3a8-98b9-4f0a-85bf-39b854a77861,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
2,couchbase-sys,0.3.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,d9932aa1-03f9-489d-92ad-fa5101ea8017,92f49963-2990-4ac9-bd85-312c5988c0ef,7cae335f-1193-421e-92f1-8802b4243e93
3,dtolnay/itoa,1.0.17,Transitive Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,362bcf08-7cac-4005-b37d-367a78c6277b,1c498ee0-2e02-4b32-8b27-422f42c4f41b,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
4,dtolnay/quote,1.0.44,Transitive Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,6391feee-9dbe-4181-bd35-2ad17a1cbf73,a1176890-127f-4bef-9f64-a4bd6fc8acf2,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
5,idna,0.1.5,Transitive Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,862847ed-5bce-4064-96a0-1a00022f95c3,1bf524f2-eaea-4c94-892e-e6b6656693d2,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
6,log,0.3.9,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,55ca17e2-6f13-4863-906f-1f4b51a855c6,dcfbc208-cb56-4337-8c09-4eaebe76f35f,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
7,log,0.4.29,Transitive Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,55ca17e2-6f13-4863-906f-1f4b51a855c6,61bd0454-ea55-49d2-9a53-34ead227b621,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
8,matches,0.1.10,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,c113f2d2-4b25-4b50-9f14-fb8a615ae57a,d269e943-5149-4c26-ae9f-3ab76852b324,ad705c59-6893-4980-bdbf-0837f1823cc4
9,maybe-uninit,2.0.0,Transitive Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,f205861c-dbe2-4eb4-a057-da2dab09e5d4,f6851840-8da4-43dc-8924-0ee1573f8672,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
10,owning_ref,0.3.3,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,5283b10f-6d07-4a84-b10f-6da6d5e9e78d,e3af4b8a-1575-4e7f-8f66-09f65e5e8caf,ad705c59-6893-4980-bdbf-0837f1823cc4
11,parking_lot,0.4.8,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,93ea1554-8a08-42f9-9dbf-acf961747b57,3f8e617c-c1a2-427b-a235-26d538a20542,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
12,parking_lot_core,0.2.14,Transitive Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,34bb9dfd-ec51-41a3-a379-79b07579d8b3,91f40d4d-931c-428e-93ba-95726b825f2e,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
13,percent-encoding,1.0.1,Transitive Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,d5086a7a-906f-4e78-8f55-77ebd8580e2e,4cd80a59-1dac-4e2c-bf16-05251eb3394a,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
14,pkg-config,0.3.32,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,819cf4fb-53bf-4ab5-9a75-c2369da693df,678fe35b-fc44-4a45-aa8a-94c255d00358,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
