,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,38/plotters,0.3.7,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,3e5bf8d9-0344-4b91-a2fc-ef07d681aeea,075eaf32-201b-4419-9487-94c7bdc92090,ad705c59-6893-4980-bdbf-0837f1823cc4
1,BurntSushi/byteorder,1.5.0,Direct Dependency,The Unlicense,PERMISSIVE,NOT_REVIEWED,eda5f3a4-10cb-452c-b16f-08b8159dac8c,8604ae7e-c83d-4fbe-bfec-1033497216bd,57b1f355-a0a0-4f5e-b4dd-019296e4eda6
2,BurntSushi/regex-automata,0.4.13,Transitive Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,ac588037-c338-4a9c-8953-5e84b30d4ffe,93479ac7-33b7-49ac-bf3e-32c6f8b9797a,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
3,BurntSushi/same-file,1.0.6,Transitive Dependency,(MIT License AND The Unlicense),PERMISSIVE,NOT_REVIEWED,8b2eca03-826c-4b7c-a7c7-fed20a6c593f,451b6019-56dc-4cf1-bc50-eca480e7e71c,"ad705c59-6893-4980-bdbf-0837f1823cc4,57b1f355-a0a0-4f5e-b4dd-019296e4eda6"
4,BurntSushi/walkdir,2.5.0,Transitive Dependency,The Unlicense,PERMISSIVE,NOT_REVIEWED,7c62619d-6aff-49de-9061-5d2be5b3ff79,44a517b1-3d95-4ed7-9a52-73d835c37429,57b1f355-a0a0-4f5e-b4dd-019296e4eda6
5,RustCrypto/MACs,0.12.1,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,5e8e472f-6e80-4a45-84c0-258c8b28d0ce,47cc9d78-ae25-41b6-9c15-62f3724521f9,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
6,RustCrypto/hashes,0.10.9,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,f09ed4b4-68f3-4fa7-b4ac-74d931ffc562,3c749d85-d9d4-4ea6-9b89-88cdb2a35135,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
7,RustCrypto/traits,0.1.7,Transitive Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,bb4281d0-d925-4478-ab35-cee43700a54e,1c7295fe-a938-4a43-a0bd-a9838feec62a,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
8,SergioBenitez/version_check,0.9.5,Transitive Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,52f82ded-e806-4eac-a6e5-f5971752ff82,c2b71322-8160-4587-b4fa-ba950e843256,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
9,Tonic (gRPC),0.12.3,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,9bf9f32d-42c0-421d-8d08-609385ca0a75,25d34243-33d4-4c5e-9698-dccb24f02b7e,ad705c59-6893-4980-bdbf-0837f1823cc4
10,alexcrichton/cfg-if,1.0.4,Transitive Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,c34936c4-56b4-4c6d-9e19-7e034be7440c,b48357c6-d15c-48e0-9607-3b4ac1ac0703,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
11,alexcrichton/cmake-rs,0.1.54,Transitive Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,c5311324-581c-4404-af38-b14d3eb8cf52,d07f69dc-f795-4b15-bc5f-d66b145c5392,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
12,alexcrichton/jobserver-rs,0.1.34,Transitive Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,a9f39c40-8445-42bf-bd47-31caae954b58,e09685f2-d169-4fcc-907a-b2791c776934,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
13,alexcrichton/proc-macro2,1.0.103,Transitive Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,370dd3f2-35a2-49a5-8813-c6086260a204,ad14dcd6-ddf4-4833-8f44-23ea059a8b52,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
14,alexcrichton/socket2-rs,0.5.10,Transitive Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,cc0a0f6f-b719-4d47-8172-ac3b04d1f190,506d9571-8474-443a-ac71-2a0bd59f8708,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
15,alexcrichton/socket2-rs,0.6.1,Direct Dependency,(MIT License OR Apache License 2.0),PERMISSIVE,NOT_REVIEWED,cc0a0f6f-b719-4d47-8172-ac3b04d1f190,dcb993ef-28cc-471c-9012-b3fca8fb211d,"ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93"
