Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Operational risk,Component policy status,Overridden By,Created At,Origin name,Origin id,Review status,Reviewed by,Reviewed at,Project path,Source/Type,Snippet Review status
,f6766005-a359-4e27-8b14-44c674a5d3a6,7765de73-ff0d-4782-94bc-b7eb119fb54f,erlang-base,20.0.4,1:20.0.4+dfsg-1ubuntu1.1,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,2/24/20,ubuntu,erlang/1:20.0.4+dfsg-1ubuntu1.1,NOT_REVIEWED,,,couchbase-server 6.5.1,KB_COMPONENT,
,1911fd4b-0237-4f41-9f44-9a849e73413b,92b6153f-3faf-476e-bb86-2e09431a0aca,grunt-bower-event,0.1.1,0.1.1,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,2/24/20,npmjs,grunt-bower-event/0.1.1,NOT_REVIEWED,,,couchbase-server 6.5.1,KB_COMPONENT,
,ffc560e5-b992-43d1-9a2c-91f767a84d53,e2d41584-ed59-42e6-bb97-285ae595db65,Sparkle,1.6.0,,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,2/24/20,,,NOT_REVIEWED,,,couchbase-server 6.5.1,KB_COMPONENT,
,686eb2dc-21ad-428a-a4cf-f56588185893,aae42478-08cf-4a5e-9605-b997c2ec48d0,Boost C++ Libraries,1.67.0,"1.67.0-1.1/x86_64,boost-1.67.0",26b23233-77bd-4cc2-8977-f312abd57327,Boost Software License 1.0,PERMISSIVE,"Exact,Files Modified",,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,2/24/20,"opensuse, github","boost/1.67.0-1.1/x86_64, boostorg/boost:boost-1.67.0",NOT_REVIEWED,,,couchbase-server 6.5.1,KB_COMPONENT,
,9c2b060e-3692-4045-94cd-89671c942e41,3b18a5b6-9d92-4f45-a06f-d0a0aaea9969,FileSaver.js,v2.0.2,2.0.2,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,2/24/20,npmjs,ginni-file-saver/2.0.2,NOT_REVIEWED,,,couchbase-server 6.5.1,KB_COMPONENT,
,a83c539b-8fa0-4129-9a6d-ad52db9c2516,cdb174eb-3322-400f-9584-e1ea8ace75cb,libgrpc-dev,1.12.0,1.12.0-1/amd64,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,2/24/20,debian,libgrpc-dev/1.12.0-1/amd64,NOT_REVIEWED,,,couchbase-server 6.5.1,KB_COMPONENT,
,5843d926-3b0c-425b-a902-381517c1fdf2,6515fad1-b408-42b5-b03f-8eeb12f2fd81,golang.org/x/tools,20181129-snapshot,,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,2/24/20,,,NOT_REVIEWED,,,couchbase-server 6.5.1,KB_COMPONENT,
,8bd791d1-1a89-4f00-97a4-2f18bb1690e9,2bb2109b-9db2-47b9-bde3-0f3ae0ab6edc,angular-legacy-sortablejs,0.5.1,0.5.1,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,2/24/20,npmjs,angular-legacy-sortablejs-maintained/0.5.1,NOT_REVIEWED,,,couchbase-server 6.5.1,KB_COMPONENT,
,87c79175-6974-4755-98ee-6eaa3cfa9d8d,88d92acc-2e11-4057-934a-c5fd364fa9f5,Facebook Folly,v2019.04.01.00,v2019.04.01.00,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,"Exact,Manually Identified",,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,2/24/20,github,facebook/folly:v2019.04.01.00,NOT_REVIEWED,,,couchbase-server 6.5.1,KB_COMPONENT,
,42859e3b-a35d-497b-9ff6-52816ae6917d,b61e242b-77e7-4c28-9398-9dd2b7c42907,CodeMirror,5.7.0,5.7.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,2/24/20,github,codemirror/CodeMirror:5.7.0,NOT_REVIEWED,,,couchbase-server 6.5.1,KB_COMPONENT,
