Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Operational Risk,Component policy status,Overridden By,Created At,Origin name,Origin id,Review Status,Reviewed by,Reviewed at,Project path,Source/Type,Snippet Review status,File Match Count,License Risk,Component Status,Component Notes,Fulfillment Required,Version Notes,Critical Vulnerability Count,High Vulnerability Count,Medium Vulnerability Count,Low Vulnerability Count,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families
,1cc0f373-af4a-4438-be54-798de8a03551,3dc283d5-6239-4d13-a2af-89dc7284d994,Apache Serf,20190809-snapshot,20190809-snapshot,f5135f7b-f17e-473a-839b-3ea12860f761,GNU General Public License v3.0 only,RECIPROCAL,Exact,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,4/27/20,github,hashicorp/serf:20190809-snapshot,NOT_REVIEWED,,,couchbase-server 7.0.0,KB_COMPONENT,,1,HIGH,UNREVIEWED,,UNREVIEWED,,0,0,0,0,8/9/19,3,DECREASING,4,1,,,
,3e00ddf9-24b9-4f51-96fb-1e4ac8723eb2,437a3e41-4003-44af-997b-5f10d8d49a54,jackson-core,2.10.3,2.10.3,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,"Transitive Dependency,Exact",,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,4/17/20,maven,com.fasterxml.jackson.core:jackson-core:2.10.3,NOT_REVIEWED,,,couchbase-server 7.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,3/3/20,2,INCREASING,0,11,,,
,5107293c-13d5-49cb-a848-87c1a27f0c9a,c644e6f9-48f7-421b-8277-b4dbeb632430,hyracks-storage-am-bloomfilter,0.3.4.1,0.3.4.1,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Files Modified,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,4/17/20,maven,org.apache.hyracks:hyracks-storage-am-bloomfilter:0.3.4.1,NOT_REVIEWED,,,couchbase-server 7.0.0,KB_COMPONENT,,2,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,3/4/19,1,,,,,,
,40efa0ac-10f0-46c5-a8a8-6f627b3fd59c,b99f8edd-47ea-433a-b0ca-3ab66aaa3aeb,error-prone annotations,2.3.2,2.3.2,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,4/17/20,maven,com.google.errorprone:error_prone_annotations:2.3.2,NOT_REVIEWED,,,couchbase-server 7.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,10/9/18,2,,,,,,
,f2c61772-2542-4128-9a4f-6b133358caa2,d66d4004-6b1c-4671-bbff-dc35be4d7624,golang.org/x/lint,20191205-snapshot,20191205-snapshot,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,4/27/20,long_tail,golang.org/x/lint#20191205-snapshot,NOT_REVIEWED,,,couchbase-server 7.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,12/5/19,0,,,,,,
,f70a2589-da78-4d33-bc69-7a92c6b4eb4c,0012faad-2b73-45e6-b9ff-9fe25da73d5f,golang.org/x/crypto,20171002-snapshot-eb71ad9b,eb71ad9bd329b5ac0fd0148dd99bd62e8be8e035,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,4/17/20,long_tail,golang.org/x/crypto#eb71ad9bd329b5ac0fd0148dd99bd62e8be8e035,NOT_REVIEWED,,,couchbase-server 7.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,10/2/17,519,,,,,,
,fe797ff0-cf8b-441a-ba39-fb5c1b8f555b,3e01eb15-eaaf-49ed-95d6-888d01ff6086,armon-go-metrics,20190809-snapshot,20190809-snapshot,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,4/27/20,github,armon/go-metrics:20190809-snapshot,NOT_REVIEWED,,,couchbase-server 7.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,8/9/19,5,,,,,,
,94982491-0544-4d5f-a747-092c6a87820b,86eed47c-0cc9-44c7-98f5-57310f3076e0,Apache Log4j Web Adapters,2.13.1,2.13.1,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,"Transitive Dependency,Exact",,DYNAMICALLY_LINKED,true,OK,Not In Violation,,4/17/20,maven,org.apache.logging.log4j:log4j-web:2.13.1,NOT_REVIEWED,,,couchbase-server 7.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,2/25/20,1,,,,,,
,b859c1af-1545-46be-b5d7-b375dd4e4353,6c3331c4-032f-428b-be87-b6f98ddc2887,sigs.k8s.io/yaml,20190404-snapshot,20190404-snapshot,"3d238144-44e6-450e-b523-3defbdaed9dc,ad705c59-6893-4980-bdbf-0837f1823cc4","(MIT License AND BSD 3-clause ""New"" or ""Revised"" License)",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,4/27/20,github,kubernetes-sigs/yaml:20190404-snapshot,NOT_REVIEWED,,,couchbase-server 7.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,4/3/19,1,,,,,,
,3abd1dbe-0384-45a0-bec1-e351e3cdb55e,be5036fa-2b87-4715-919c-3953b720528a,mongodb/mongo-go-driver,20190411-snapshot-618b23f5,618b23f5430d9bd8390aa3b5dc3590e5000c18b8,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,4/27/20,github,mongodb/mongo-go-driver:618b23f5430d9bd8390aa3b5dc3590e5000c18b8,NOT_REVIEWED,,,couchbase-server 7.0.0,KB_COMPONENT,,2,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,4/11/19,16,,,,,,
