,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,@angular/common,8.2.14,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,8613399f-4ee7-4dc1-b732-28deccbcb011,0835f23c-e46a-42d5-bd22-2bd3e38a00fe,ad705c59-6893-4980-bdbf-0837f1823cc4
1,@angular/compiler,8.2.14,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,c80aed26-8373-4160-8356-ac0b10c7514c,4cd5fd45-6458-46cb-8a1c-6ec671a0ce75,ad705c59-6893-4980-bdbf-0837f1823cc4
2,@angular/forms,8.2.14,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,c9bb7a26-782a-46cc-9d4d-29e10e6bad20,eb49ebd6-4a1f-4e60-8367-a182d68c0986,ad705c59-6893-4980-bdbf-0837f1823cc4
3,@angular/platform-browser,8.2.14,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,a87863f2-0b2f-4af8-91b1-ac1edc1c0d6d,9e0e8189-7440-45fc-b120-5a3a52c5650f,ad705c59-6893-4980-bdbf-0837f1823cc4
4,@angular/platform-browser-dynamic,8.2.14,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,1714ee73-d063-44e5-956d-28fa90b65ad6,28c4ab66-f764-463e-aae3-64d241ed8946,ad705c59-6893-4980-bdbf-0837f1823cc4
5,@angular/router,8.2.14,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,1bb5c4c7-18de-41ff-821e-d18f8f26130f,56f731e7-5777-4503-9506-36a7a82e42cc,ad705c59-6893-4980-bdbf-0837f1823cc4
6,@angular/upgrade,8.2.14,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,135692fb-d668-4386-b1fd-d66619d629ef,299fe62d-dd43-4d3b-9554-d2da775cc6de,ad705c59-6893-4980-bdbf-0837f1823cc4
7,@babel/code-frame,7.12.11,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,e0589241-4783-48f7-843a-ba6d4fd3a225,2f60c9b3-c2d2-4281-9373-dad9359b0424,ad705c59-6893-4980-bdbf-0837f1823cc4
8,@babel/code-frame,7.8.3,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,e0589241-4783-48f7-843a-ba6d4fd3a225,3548308a-30a8-4714-a450-b7cb6376070a,ad705c59-6893-4980-bdbf-0837f1823cc4
9,@babel/compat-data,7.9.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,7a29265f-280b-498c-9b77-99c10eefef61,f8db555c-1eeb-44aa-883a-aaecc258aa46,ad705c59-6893-4980-bdbf-0837f1823cc4
