Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Operational Risk,Component policy status,Overridden By,Created At,Origin name,Origin id,Review Status,Reviewed by,Reviewed at,Project path,Source/Type,Snippet Review status,File Match Count,License Risk,Component Status,Component Notes,Fulfillment Required,Version Notes,Critical Vulnerability Count,High Vulnerability Count,Medium Vulnerability Count,Low Vulnerability Count,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families
,9d6c11b6-3ff2-4e59-a270-6e7debf64708,da3e3ae8-1b6f-433a-9186-1378c631e372,kubernetes-sigs/service-catalog,v0.3.1,v0.3.1,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,3/5/21,github,kubernetes-sigs/service-catalog:v0.3.1,NOT_REVIEWED,,,couchbase-service-broker 1.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,11/4/20,1,,,,,,
,388c0d45-4bce-4849-af71-7c01455d0e5b,53f04c37-067e-4597-a695-0b68ded07687,pkg/errors,v0.9.1,v0.9.1,cc875133-df38-4806-9921-473e0ef01a87,"BSD 2-clause ""Simplified"" License",PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,3/5/21,github,pkg/errors:v0.9.1,NOT_REVIEWED,,,couchbase-service-broker 1.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,1/14/20,2,DECREASING,1,1,,,
,8f01da5e-6c7f-4b09-9b01-2c559365fac7,477fd6ca-6fac-4e64-8746-35d14b468392,k8s.io/klog,20210117-snapshot,v0.3.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,10/28/20,github,kubernetes/klog:v0.3.0,NOT_REVIEWED,,,couchbase-service-broker 1.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,4/11/19,17,,,,,,
,b09390d1-61e9-4adf-a16a-182bf27f0e49,d810cf1c-96bd-4fba-ae14-a45304d3a2df,go-openapi/spec,v0.17.0,v0.17.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,11/25/20,github,go-openapi/spec:v0.17.0,NOT_REVIEWED,,,couchbase-service-broker 1.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,10/6/18,24,INCREASING,40,10,,,
,8f01da5e-6c7f-4b09-9b01-2c559365fac7,a551a12a-c4ec-412f-afdf-a6903cd3717e,k8s.io/klog,20200818-snapshot,v1.0.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,12/10/20,github,kubernetes/klog:v1.0.0,NOT_REVIEWED,,,couchbase-service-broker 1.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,9/19/19,12,,,,,,
,83df47d3-8149-4037-92d1-bb5fcd9e1845,3790c8c6-eee7-4cce-b73e-a2e5df04dd6a,mailru/easyjson,20210104-snapshot,v0.7.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,12/10/20,github,mailru/easyjson:v0.7.0,NOT_REVIEWED,,,couchbase-service-broker 1.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,9/10/19,10,INCREASING,65,15,,,
,ee2fd6f7-a201-4e6f-859b-89a5b942eea7,5584aa60-aa16-4245-acd3-e52542f4d661,Google Cloud Client Libraries for Go,v0.38.0,v0.38.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,3/8/21,github,googleapis/google-cloud-go:v0.38.0,NOT_REVIEWED,,,couchbase-service-broker 1.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,5/1/19,194,,,,,,
,458e027c-e2ba-49eb-b32e-654a62244631,e43ce382-42f3-400d-a34e-ce94efd613c9,google/go-cmp,20190919-snapshot,v0.2.0,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,3/8/21,github,google/go-cmp:v0.2.0,NOT_REVIEWED,,,couchbase-service-broker 1.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,2/20/18,13,,,,,,
,439c7bc1-c417-4985-9ca6-cba98c22de2f,ba0704e8-2f36-4dbd-8095-aa123f68ef1b,go-openapi/analysis,v0.19.2,v0.19.2,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,12/10/20,unknown,,NOT_REVIEWED,,,couchbase-service-broker 1.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,6/16/19,17,STABLE,29,5,,,
,6d1fc2ab-23c3-4b18-bfc4-24ea174f6f5b,9407adcf-aeeb-43bc-acda-0db709831c68,sigs.k8s.io/controller-runtime,20200925-snapshot,v0.6.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,3/5/21,github,kubernetes-sigs/controller-runtime:v0.6.0,NOT_REVIEWED,,,couchbase-service-broker 1.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,4/24/20,31,,,,,,
