,Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Overridden By,Created At,Origin name,Origin id,Review Status,Project path,Source/Type,File Match Count,Component Status,Component Notes,Version Notes,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families,Component origin id,Has License Conflicts
0,,5271cd46-d193-4af5-b2c2-50a07751f580,93c9dacb-54dd-4338-a726-d6d54cfc399c,Go Testify,1.7.0,v1.7.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,1/20/23,github,stretchr/testify:v1.7.0,NOT_REVIEWED,couchbase-service-broker 1.2.2,KB_COMPONENT,1,UNREVIEWED,,,1/13/21,9,INCREASING,31.0,22.0,,,,8da83f11-b5c0-4e0a-a9cc-364cc99ba1ab,False
1,,6d055c2b-f7d7-45ab-a6b3-021617efd61b,809a97cc-cf67-4f30-bc0d-ced3bf2fd447,Go programming language,1.17.1,,aea0a5dc-0989-46dc-b1e3-71c7796d85fa,Go BSD License with Patent Provision,PERMISSIVE,Manually Added,,DYNAMICALLY_LINKED,True,,1/20/23,,,NOT_REVIEWED,couchbase-service-broker 1.2.2,KB_COMPONENT,0,UNREVIEWED,,,9/9/21,70,STABLE,11829.0,437.0,,,,,False
2,,fcf8903b-ac17-4a21-a3ed-d12e6e709e40,f5727975-0297-4fdb-9d68-a5d2085e1a0f,GoDoc Text,v0.2.0,v0.2.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,1/20/23,unknown,,NOT_REVIEWED,couchbase-service-broker 1.2.2,KB_COMPONENT,1,UNREVIEWED,,,2/14/20,0,,,,,,,fbbcbcde-2f4b-4b53-a94d-07070f00f4f4,False
3,,ee2fd6f7-a201-4e6f-859b-89a5b942eea7,fde6a3f4-3c13-4a87-bddf-33699d897520,Google Cloud Client Libraries for Go,v0.81.0,v0.81.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,1/20/23,github,googleapis/google-cloud-go:v0.81.0,NOT_REVIEWED,couchbase-service-broker 1.2.2,KB_COMPONENT,1,UNREVIEWED,,,4/2/21,1345,,,,,,,51b9b28d-8201-42c0-8fca-d353c926ded0,False
4,,8ae647a1-bdf4-48a5-a491-32142c77f6e0,ea312469-ee65-45ae-8cb1-928aed285253,btree,v1.0.1,v1.0.1,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,1/20/23,github,google/btree:v1.0.1,NOT_REVIEWED,couchbase-service-broker 1.2.2,KB_COMPONENT,1,UNREVIEWED,,,10/16/19,3,,,,,,,3a1a4a42-26ae-45b9-a712-415d5b14fb41,False
5,,eee50589-7e4c-432b-9c72-e79112aebae7,c06c59d3-f20e-43cb-8ac6-1e321cd04e0b,client-go,v0.23.2,v0.23.2,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,1/20/23,github,kubernetes/client-go:v0.23.2,NOT_REVIEWED,couchbase-service-broker 1.2.2,KB_COMPONENT,1,UNREVIEWED,,,1/19/22,232,STABLE,451.0,104.0,,,,7b12099a-63fa-4ebf-9511-87d34995e145,False
6,,b221868a-1b2a-4542-8170-a214e89ddd56,e75c47a3-bc93-479d-b5ce-7ff91fd9d806,diskv,v2.0.1,v2.0.1,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,1/20/23,github,peterbourgon/diskv:v2.0.1,NOT_REVIEWED,couchbase-service-broker 1.2.2,KB_COMPONENT,1,UNREVIEWED,,,8/14/17,21,STABLE,0.0,0.0,,,,77abb5f2-a8a8-48b3-84b0-26709e828a50,False
7,,de28b42e-2b6b-468e-814e-e7c7faa7d495,8c804d56-8710-46df-8a4a-5cf6e45f87a9,dustinkirkland-golang-petname,20191129-snapshot-8e5a1ed0,8e5a1ed0cff0384869564ec1c086c6467a025667,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,1/20/23,github,dustinkirkland/golang-petname:8e5a1ed0cff0384869564ec1c086c6467a025667,NOT_REVIEWED,couchbase-service-broker 1.2.2,KB_COMPONENT,1,UNREVIEWED,,,11/29/19,2,,,,,,,b0e931d9-48f2-4bd0-85db-856b341af6a5,False
8,,688963a2-f61a-46d0-9145-962ae9de662e,f65207e5-2cf6-4107-8584-6436fdf67206,evanphx/json-patch,v4.12.0,v4.12.0,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,"Direct Dependency,Transitive Dependency",,DYNAMICALLY_LINKED,True,,1/20/23,github,evanphx/json-patch:v4.12.0,NOT_REVIEWED,couchbase-service-broker 1.2.2,KB_COMPONENT,1,UNREVIEWED,,,10/21/21,0,DECREASING,4.0,3.0,,,,c019ed60-62c5-4c4a-ae5d-2e60e39018c0,False
9,,9582c181-b457-414d-abb8-5ac69917645f,2866719a-e485-4331-bf00-2506a0488d9f,form3tech-oss/jwt-go,v3.2.3,v3.2.3,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,1/20/23,github,form3tech-oss/jwt-go:v3.2.3,NOT_REVIEWED,couchbase-service-broker 1.2.2,KB_COMPONENT,1,UNREVIEWED,,,5/11/21,2,,,,,,,7c9091c6-c77d-4fef-a692-141c76d58365,False
