,Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Overridden By,Created At,Origin name,Origin id,Review Status,Project path,Source/Type,File Match Count,Component Status,Component Notes,Version Notes,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families,Component origin id,Has License Conflicts
0,,999f5c44-828a-4f2c-8a17-9b5fd22f3beb,e513f674-8efd-4899-baf3-d756c355bec0,BurntSushi/toml,v0.3.1,v0.3.1,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,10/13/23,github,BurntSushi/toml:v0.3.1,NOT_REVIEWED,couchbase-stellar-gateway 0.1.0,KB_COMPONENT,1,UNREVIEWED,,,8/14/18,43,STABLE,51.0,4.0,,,,f481be92-4f0b-4f9a-9d7b-d573aefcce3f,False
1,,2e03fc5f-65b8-43b8-80cd-b3f2cee4bd41,c5446db0-7ddc-4993-b0bc-46c91b63e60e,Consul,api/v1.18.0,api/v1.18.0,ce3dd63e-c569-4cea-986a-46bc5efe9896,Mozilla Public License 2.0,WEAK_RECIPROCAL,Transitive Dependency,,DYNAMICALLY_LINKED,True,,10/13/23,github,hashicorp/consul:api/v1.18.0,NOT_REVIEWED,couchbase-stellar-gateway 0.1.0,KB_COMPONENT,1,UNREVIEWED,,,11/30/22,113,DECREASING,1672.0,138.0,,,,51658300-67d5-4144-8790-21d9ee4d864d,False
2,,c55af4d6-d66b-42ec-aa08-60b9864096a9,72bbcfd3-408d-4714-b3d8-66bbed840bf1,CoreOS,v0.3.0,v0.3.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,10/13/23,unknown,,NOT_REVIEWED,couchbase-stellar-gateway 0.1.0,KB_COMPONENT,1,UNREVIEWED,,,3/23/14,881,DECREASING,2693.0,119.0,,,,3fca829d-ccb5-4ee1-9367-342efd8610d3,False
3,,ef8cefe9-5995-4139-ab94-4d27ad02a7bc,1bcea150-8fcf-47cc-8f0e-1fcb4184c543,Ejecta,v1.1,,00000000-0010-0000-0000-000000000000,Unknown License,UNKNOWN,Manually Added,,DYNAMICALLY_LINKED,True,,9/22/23,,,NOT_REVIEWED,couchbase-stellar-gateway 0.1.0,KB_COMPONENT,0,UNREVIEWED,,,10/17/12,6,STABLE,0.0,0.0,,,,,False
4,,09a16956-5919-44dd-abfe-26c959332650,40c697db-7a9b-4955-9b9e-a8c3a70abc6d,Go Logrus,v1.6.0,v1.6.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,10/13/23,github,sirupsen/logrus:v1.6.0,NOT_REVIEWED,couchbase-stellar-gateway 0.1.0,KB_COMPONENT,1,UNREVIEWED,,,5/2/20,53,INCREASING,20.0,9.0,,,,e37e3ffd-6f61-403d-bf5d-d9b18eaf7456,False
5,,5271cd46-d193-4af5-b2c2-50a07751f580,1508a5d1-66ac-4dc7-84fa-cf796e1cef2f,Go Testify,v1.8.1,v1.8.1,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,10/13/23,github,stretchr/testify:v1.8.1,NOT_REVIEWED,couchbase-stellar-gateway 0.1.0,KB_COMPONENT,1,UNREVIEWED,,,10/20/22,6,INCREASING,49.0,26.0,,,,727212a2-6d9e-44ec-892e-24fb11f65e8d,False
6,,ad06bc5f-fb07-49e3-a48a-bb1adaa5ed73,169d7f69-07a1-45d0-8a40-313d425c05ca,Go support for Mobile devices,20190704-snapshot-d2bd2a29,d2bd2a29d028cb94031e5e81788b19b371d00eb8,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,10/13/23,long_tail,go.googlesource.com/mobile#d2bd2a29d028cb94031e5e81788b19b371d00eb8,NOT_REVIEWED,couchbase-stellar-gateway 0.1.0,KB_COMPONENT,1,UNREVIEWED,,,7/3/19,7,,,,,,,d6189315-74de-4ab2-b1cd-96bfb278cba2,False
7,,fcf8903b-ac17-4a21-a3ed-d12e6e709e40,f5727975-0297-4fdb-9d68-a5d2085e1a0f,GoDoc Text,v0.2.0,v0.2.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,10/13/23,github,kr/text:v0.2.0,NOT_REVIEWED,couchbase-stellar-gateway 0.1.0,KB_COMPONENT,1,UNREVIEWED,,,2/14/20,5,,,,,,,5979f592-28de-479d-9c75-0d43c34625a7,False
8,,faa9ce60-ee56-4f4a-b55c-b33fae6c61f4,f36f6a28-90c7-4a5e-8de2-a3e784396357,Golang Protobuf,v1.30.0,v1.30.0,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,10/13/23,long_tail,go.googlesource.com/protobuf#v1.30.0,NOT_REVIEWED,couchbase-stellar-gateway 0.1.0,KB_COMPONENT,1,UNREVIEWED,,,3/16/23,11,STABLE,0.0,0.0,,,,382ef6c5-6a9e-4b8a-8c10-571139e02be4,False
9,,faa9ce60-ee56-4f4a-b55c-b33fae6c61f4,65b413a9-ae70-4d13-8b5c-074fba6d06b6,Golang Protobuf,v1.5.2,v1.5.2,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,10/13/23,github,golang/protobuf:v1.5.2,NOT_REVIEWED,couchbase-stellar-gateway 0.1.0,KB_COMPONENT,1,UNREVIEWED,,,3/29/21,116,STABLE,0.0,0.0,,,,5fe2336f-285d-49e6-9811-bc337d88f167,False
