,Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Overridden By,Created At,Origin name,Origin id,Review Status,Project path,Source/Type,File Match Count,Component Status,Component Notes,Version Notes,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families,Component origin id,Has License Conflicts
0,,e2c69634-de94-4eb3-a2c8-67ab59272e53,961bad96-3a81-4061-9657-1cf93e56f687,Apache Commons Logging,1.2,1.2,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,4/7/22,maven,commons-logging:commons-logging:1.2,NOT_REVIEWED,couchbase-tableau-connector 1.0.0,KB_COMPONENT,1,UNREVIEWED,,,7/5/14,4,DECREASING,43.0,4.0,,,,46e4c7ca-4a00-4327-b1c4-ad1cc76eb711,False
1,,f624d758-10d3-449d-96d2-d4fc12499fda,7e51b795-43b9-4eaa-9d52-2fd322dddb31,Apache HttpClient,4.5.13,4.5.13,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,4/7/22,maven,org.apache.httpcomponents:httpclient:4.5.13,NOT_REVIEWED,couchbase-tableau-connector 1.0.0,KB_COMPONENT,1,UNREVIEWED,,,10/2/20,21,STABLE,0.0,0.0,,,,c809f8cd-cfb2-447e-be1c-38474957c221,False
2,,ca433569-ea2e-4c78-b53d-106843ec1f58,92d929cf-b12d-4684-9869-ea210b7ae7ba,Apache HttpComponents Core,4.4.14,4.4.14,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,4/7/22,maven,org.apache.httpcomponents:httpcore:4.4.14,NOT_REVIEWED,couchbase-tableau-connector 1.0.0,KB_COMPONENT,1,UNREVIEWED,,,11/30/20,22,STABLE,0.0,0.0,,,,e6b232dd-9ba6-4028-a217-bdb50b1bf639,False
3,,72ed568b-e849-4f92-a4d1-df220cb2a423,20c4a11e-0fc5-413d-bcb7-5b8769663549,Couchbase JVM Core IO,2.2.6,2.2.6,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,4/7/22,maven,com.couchbase.client:core-io:2.2.6,NOT_REVIEWED,couchbase-tableau-connector 1.0.0,KB_COMPONENT,1,UNREVIEWED,,,3/2/22,0,,,,,,,5a5b013c-8ec5-483c-a0fd-dcbc35bda844,False
4,,24d30cc9-59fe-47e8-9672-b5b99f76eaec,d93ab202-6e48-4975-9dae-5177c332ff0c,Couchbase Java SDK,3.2.6,3.2.6,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,4/7/22,maven,com.couchbase.client:java-client:3.2.6,NOT_REVIEWED,couchbase-tableau-connector 1.0.0,KB_COMPONENT,1,UNREVIEWED,,,3/2/22,0,,,,,,,bba623cf-c248-4f91-9abc-b2b0b56fbb35,False
5,,cb1dd6e6-4d90-4aff-9a45-2b8f6979e7cc,08b39dd6-40fc-48f4-baa2-26131ce743a1,HdrHistogram,2.1.8,2.1.8,"d26bcb7d-5bc8-4f05-8942-a3a42728a2e4,cc875133-df38-4806-9921-473e0ef01a87,a7c69599-62b6-4d06-9ec6-ea688c041c00","(BSD 2-clause ""Simplified"" License OR Creative Commons Zero v1.0 Universal OR Public Domain)",PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,4/7/22,maven,org.hdrhistogram:HdrHistogram:2.1.8,NOT_REVIEWED,couchbase-tableau-connector 1.0.0,KB_COMPONENT,1,UNREVIEWED,,,11/26/15,10,INCREASING,14.0,5.0,,,,7d1dca2c-1a89-4e7e-8830-158ed55533a3,False
6,,eea33624-c4cb-4c71-8ef7-767642d1d611,96a0d947-3aed-47a3-83d9-b86997a565cb,Jackson-module-Afterburner,2.13.1,2.13.1,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,4/7/22,maven,com.fasterxml.jackson.module:jackson-module-afterburner:2.13.1,NOT_REVIEWED,couchbase-tableau-connector 1.0.0,KB_COMPONENT,1,UNREVIEWED,,,12/18/21,1,,,,,,,6d336d9f-7461-47ac-892c-ab4e93ce9e6d,False
7,,ed9663f6-217e-4f90-9aa5-c74a02cc964c,1a4df96e-32b2-4e28-bca5-e7a1501bb2ac,Java Concurrency Tools Core Library,3.3.0,3.3.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,4/7/22,maven,org.jctools:jctools-core:3.3.0,NOT_REVIEWED,couchbase-tableau-connector 1.0.0,KB_COMPONENT,1,UNREVIEWED,,,3/4/21,0,,,,,,,86f9cf7f-03da-4744-84ca-014dba05fcd7,False
8,,874c05c9-ed80-4f4b-a936-f00eb05b72e6,e93456bb-8d51-4be1-a5c0-57af8aaa218c,LatencyUtils,2.0.3,2.0.3,"cc875133-df38-4806-9921-473e0ef01a87,bfbd4bfa-5f71-4a23-9a23-4ac267626b34","(BSD 2-clause ""Simplified"" License AND Creative Commons Public Domain Dedication and Certification)",PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,4/7/22,maven,org.latencyutils:LatencyUtils:2.0.3,NOT_REVIEWED,couchbase-tableau-connector 1.0.0,KB_COMPONENT,1,UNREVIEWED,,,12/14/15,0,STABLE,2.0,1.0,,,,b5f0f8d3-4dbc-4992-8c1f-5e4fd5806a6d,False
9,,efd56af9-62c0-430b-84e7-f45fedd08060,98a63032-ecb8-4d2f-8534-affabcc87bfc,Netty Project,4.1.73.Final,4.1.73.Final,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,"Direct Dependency,Transitive Dependency",,DYNAMICALLY_LINKED,True,,4/7/22,"maven, maven, maven, maven, maven, maven, maven, maven","io.netty:netty-transport:4.1.73.Final, io.netty:netty-codec:4.1.73.Final, io.netty:netty-transport-native-epoll:4.1.73.Final, io.netty:netty-handler:4.1.73.Final, io.netty:netty-buffer:4.1.73.Final, io.netty:netty-common:4.1.73.Final, io.netty:netty-resolver:4.1.73.Final, io.netty:netty-codec-http:4.1.73.Final",NOT_REVIEWED,couchbase-tableau-connector 1.0.0,KB_COMPONENT,1,UNREVIEWED,,,1/12/22,3,STABLE,844.0,104.0,,,,"989a11e4-55fe-4f18-b708-94a777158956, a3604656-d2dc-478a-b06d-228b1cd6eefc, af98634e-0b94-418d-8b10-e13feb157be4, b12efae8-d183-4dd8-b284-a16d75d5e3c4, d6fd6ea1-8532-4bf1-b039-a51dabf751cc, 2a56f8f0-d08c-4a39-8228-662bdeba7a11, 4920ba11-86ec-4c9f-88bc-1685bec780ea, 6a6031de-e34a-4688-843d-ad09b54d091f",False
