,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,Bouncy Castle,1.84,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,907300e1-d66e-45ef-b77d-a790ed30b4e1,0cb75704-5e60-4951-a34b-7d063299f4cf,ad705c59-6893-4980-bdbf-0837f1823cc4
1,Bouncy Castle ASN.1 Extension and Utility APIs,1.84,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,596ef865-7f23-4ba8-b202-e1f5261d035c,fafd1e98-8250-4351-9e64-ab99453ceb84,ad705c59-6893-4980-bdbf-0837f1823cc4
2,"Bouncy Castle PKIX, CMS, EAC, TSP, PKCS, OCSP, CMP, and CRMF APIs",1.84,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,cfa19008-29dd-4e1d-b4e3-a7a1ad9855a2,5a7242e1-fe73-42bc-8235-25578a899d12,ad705c59-6893-4980-bdbf-0837f1823cc4
3,Couchbase Analytics Java Client,1.1.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,3d25b1f7-f1a2-4cad-af5d-5feff3919813,1318d80f-99e2-41fd-839e-8a8c18c02f2b,7cae335f-1193-421e-92f1-8802b4243e93
4,JSpecify annotations,1.0.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,7e7f9b3b-83a6-4496-8182-b45538f9d5a8,49a188b8-b059-404b-9cab-b27b48e65f06,7cae335f-1193-421e-92f1-8802b4243e93
5,Jetbrains annotations,26.1.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,22950adc-2441-4363-8255-c660e82eff79,96e6631d-2b42-4c1e-b2e8-c5cd53f1fb19,7cae335f-1193-421e-92f1-8802b4243e93
6,Kotlin,2.1.21,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,ecbf67e0-977b-40dd-830d-42c44c595a57,25c3ad2b-519e-41b2-935e-3cf4aef83f90,7cae335f-1193-421e-92f1-8802b4243e93
7,OkHttp Transport Layer Security (TLS),5.4.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,be16bc02-f986-429c-a542-dd524ab551d4,7c7aec69-1f63-4631-9186-f4200170cedf,7cae335f-1193-421e-92f1-8802b4243e93
8,SLF4J API Module,2.0.18,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,ca782761-ef54-4eb6-b7f0-b9fbb15a0698,800669dd-1ad5-4bf2-ab8f-b90698da53b4,ad705c59-6893-4980-bdbf-0837f1823cc4
9,asterix-jdbc-core,0.9.8.5,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,217f4286-c66b-4d2f-993c-4486e29c393c,c1c25fc9-61de-4633-82fd-ca77f98bf2d1,7cae335f-1193-421e-92f1-8802b4243e93
10,jackson-annotations,2.21,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,d5b90213-52f8-4429-b3c7-ed582af929d2,3fe8426d-3814-4d68-b9f0-e24ff4e3a0be,7cae335f-1193-421e-92f1-8802b4243e93
11,jackson-core,2.21.4,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,4c08d575-40e5-4778-acd6-b76230f3a895,2d62bef3-9d0c-44cd-ab20-90ce2e1759a5,7cae335f-1193-421e-92f1-8802b4243e93
12,jackson-databind,2.21.4,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,ce7ad18a-6e02-4565-a51c-4fc2c5bc7c47,37926504-8a57-4ffc-a1c7-6fe59b296a6f,7cae335f-1193-421e-92f1-8802b4243e93
13,json-skiff,1.0.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,04fd74cf-1d60-47ae-b36d-e9e3ca1f9e96,5229cf44-6bb5-4db1-95d6-d3fca47a54bb,7cae335f-1193-421e-92f1-8802b4243e93
14,okhttp,5.4.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,3c15104f-de77-42ea-a116-9e7c52d7b699,f7b39e3f-bfef-4cb8-a599-2f0694d46e3c,7cae335f-1193-421e-92f1-8802b4243e93
15,squareokio,3.17.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,92a62dae-28ba-467b-a999-60e889d11a58,90b8b385-a5c0-4557-a08e-8c6a345a54c8,7cae335f-1193-421e-92f1-8802b4243e93
