,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,AOP Alliance (Java/J2EE AOP standard),1.0,Transitive Dependency,Public Domain,PERMISSIVE,NOT_REVIEWED,7c4149c8-ba40-4104-8dca-c0052ef3eafb,528a36b9-d858-44af-a316-a9af3b67c8bd,d26bcb7d-5bc8-4f05-8942-a3a42728a2e4
1,ASM,9.5,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,a5ce5718-168c-4a89-976c-245a004c4397,10351ec8-4247-4cfc-9a48-45c3c08dac42,3d238144-44e6-450e-b523-3defbdaed9dc
2,ASM Commons,9.5,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,755247aa-5fb2-4ff7-958c-d0bb99e548e8,aef819d3-d81e-4a28-abad-7016d0e7b6d2,3d238144-44e6-450e-b523-3defbdaed9dc
3,ASM Tree,9.5,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,3569f00e-c2ff-4c25-ad6e-013073a37e6a,fb76fe3f-1801-4961-8c58-f8d6b634e3da,3d238144-44e6-450e-b523-3defbdaed9dc
4,ASM Util,9.5,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,66ecdff5-5f93-4073-b86f-1437007b7b0c,b991c27e-e0af-4c07-b3d0-0776dfda1e1e,3d238144-44e6-450e-b523-3defbdaed9dc
5,ASM based accessors helper used by json-smart,2.5.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,2adb126c-35e3-42d9-9e6e-ec0ab2fb0285,c63ca05a-6bc3-4546-9614-5b0357d6caa6,7cae335f-1193-421e-92f1-8802b4243e93
6,AWS Event Stream,1.0.1,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,68556129-b13b-472f-93ff-5545e2bfd3ed,55281e94-e2f8-427d-9d98-30efae99a873,7cae335f-1193-421e-92f1-8802b4243e93
7,AWS Java SDK :: Arns,2.17.241,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,892b56ff-02df-4e73-9fe5-f7bb27cd4438,6c662052-c50e-40cc-b335-7f8d4646f1bd,7cae335f-1193-421e-92f1-8802b4243e93
8,AWS Java SDK :: Core :: Protocols :: AWS Xml Protocol,2.17.241,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,98015486-f5da-4918-937b-bd9d32555cf4,46bf7d4e-024b-43f9-8141-c0f576cdae68,7cae335f-1193-421e-92f1-8802b4243e93
9,AWS Java SDK :: Core :: Protocols :: Json Utils,2.17.241,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,23acef5f-42fd-43a9-98ff-06d18bb4bd44,6e696c12-a630-4e30-87fb-2f5204ad9962,7cae335f-1193-421e-92f1-8802b4243e93
10,AWS Java SDK :: Metrics Interface,2.17.241,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,1422d3d9-dd49-4454-855a-0ebf84abadcd,e3d2ee3e-5195-4768-81e3-4caa9548226b,7cae335f-1193-421e-92f1-8802b4243e93
11,AWS Java SDK :: Services :: Amazon S3,2.17.241,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,5376fe3b-cd89-4f05-adb3-6746070617ca,6fd850d2-fd31-40d5-838a-5644668f016d,7cae335f-1193-421e-92f1-8802b4243e93
12,AWS Java SDK :: Third Party :: Jackson-core,2.17.241,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,c51d855b-b910-4a58-9781-ad1ea34b8765,fa701731-5535-4a4d-b1f5-5f3f997e36c7,7cae335f-1193-421e-92f1-8802b4243e93
13,AWS SDK for Java,2.17.241,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,1945a1a8-833c-4250-8bf7-8f0e965c8d87,0aad7f90-13bf-4673-9469-a94ec3c77ef4,7cae335f-1193-421e-92f1-8802b4243e93
14,Aether :: API,1.1.0,Transitive Dependency,Eclipse Public License 1.0,WEAK_RECIPROCAL,NOT_REVIEWED,376efc6d-1527-4a95-bc0c-8ea6572d31a6,49795102-824a-4bb3-90fa-2501be89f4a0,d676a5c4-0bd9-4453-8c22-2ece2c2a00d7
15,Aether :: Utilities,1.1.0,Direct Dependency,Eclipse Public License 1.0,WEAK_RECIPROCAL,NOT_REVIEWED,e17366a2-8074-4262-a02e-85aea1124f41,0584becf-2d09-4790-99e6-3bc86b3e1395,d676a5c4-0bd9-4453-8c22-2ece2c2a00d7
16,Agroal API,2.1,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,e15c9ee1-1ed5-4097-a57f-a9e2d8e92300,4bf1c888-3aa7-499a-a934-09ba55243efd,7cae335f-1193-421e-92f1-8802b4243e93
17,Agroal Connection Pool,2.1,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,908786b6-91d9-47e5-a510-ffa9cc48384a,72805586-c8f8-4ec3-91a5-759c78ab5ed1,7cae335f-1193-421e-92f1-8802b4243e93
18,Agroal Narayana Integration,2.1,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,4ddf9ebf-413c-472e-b061-3bd980501d2c,e21f9194-1a21-49f7-bb36-4a9f1774371c,7cae335f-1193-421e-92f1-8802b4243e93
19,Angus Activation Registries,2.0.1,Transitive Dependency,Eclipse Distribution License - v 1.0,PERMISSIVE,NOT_REVIEWED,0c594dcf-d68b-4b59-9600-572360a6d7fe,f076c44c-d74a-4776-aac0-05b73d505736,f6eccc87-62ff-4ffd-9fa7-763d1a436125
20,Aopalliance Version 1.0 Repackaged As A Module,2.6.1,Transitive Dependency,(GNU General Public License v2.0 w/Classpath exception OR Eclipse Public License 2.0),"WEAK_RECIPROCAL,RECIPROCAL",NOT_REVIEWED,79868ead-8b7a-466e-b4aa-8ee26205213f,dce9de03-a97f-485e-811e-9b7149113085,"9b7eb3ce-d64b-4e3e-a6b7-55d4dc798e68,8f64c451-7777-4762-903b-605797caef38"
21,Apache Avro,1.11.3,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,e83a5bc1-2e1d-4b6c-a8ef-7b15cb1eddd9,200bd4c9-0a95-45fa-b368-e12a8125d06e,7cae335f-1193-421e-92f1-8802b4243e93
22,Apache Commons BeanUtils,1.9.4,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,b75f622a-30da-46e4-a9c9-56f4ab75e22e,a8b56e3e-700f-48ad-8f9a-751ecf1f99a9,7cae335f-1193-421e-92f1-8802b4243e93
23,Apache Commons CLI,1.2,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,db59e2b1-0f14-4912-92bb-6a41dfd5f6e0,2fd1ba2f-8258-4409-99a2-10e205ad4659,7cae335f-1193-421e-92f1-8802b4243e93
24,Apache Commons CLI,1.4,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,db59e2b1-0f14-4912-92bb-6a41dfd5f6e0,be0ab8e8-8301-4e49-94d1-ef5b3c26e8d6,7cae335f-1193-421e-92f1-8802b4243e93
25,Apache Commons CLI,1.5.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,db59e2b1-0f14-4912-92bb-6a41dfd5f6e0,fab6a5e7-794c-4d85-913c-db7fc9d14146,7cae335f-1193-421e-92f1-8802b4243e93
26,Apache Commons Codec,1.11,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,932a1ab1-4722-4bbd-9f5d-d6cd2aa1c7e7,5263e87d-e595-4ffc-b749-f81ae91295e1,7cae335f-1193-421e-92f1-8802b4243e93
27,Apache Commons Codec,1.14,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,932a1ab1-4722-4bbd-9f5d-d6cd2aa1c7e7,d96bdd32-7325-4cba-908d-ecb1ac6dc2df,7cae335f-1193-421e-92f1-8802b4243e93
28,Apache Commons Codec,1.15,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,932a1ab1-4722-4bbd-9f5d-d6cd2aa1c7e7,9ef16238-8c72-4815-8884-446866bec7c1,7cae335f-1193-421e-92f1-8802b4243e93
29,Apache Commons Codec,1.16.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,932a1ab1-4722-4bbd-9f5d-d6cd2aa1c7e7,7df872fd-1b08-491e-b76e-95aa45b4a9e4,7cae335f-1193-421e-92f1-8802b4243e93
30,Apache Commons Codec,1.9,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,932a1ab1-4722-4bbd-9f5d-d6cd2aa1c7e7,6f6586d6-48dc-4f8e-bb92-e4f0f01f57f6,7cae335f-1193-421e-92f1-8802b4243e93
31,Apache Commons Collections,3.2.2,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,87ac8642-f639-46fe-ab2b-66e89cca0130,fa88fda6-ca2a-435f-8e62-ce2aa54a90ce,7cae335f-1193-421e-92f1-8802b4243e93
32,Apache Commons Compress,1.23.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,a136f90b-95e7-4c88-9e42-70ccd7797b5c,3d236722-98dd-4eff-a212-4d15211c8b61,7cae335f-1193-421e-92f1-8802b4243e93
