,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,Authlib,1.7.2,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,200e35e2-cce8-4aeb-a52a-3c2b24932d96,1a29c101-efcb-4144-aa79-20607905a3b9,3d238144-44e6-450e-b523-3defbdaed9dc
1,Click - Python Command Line Utility,8.4.1,Direct Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,2f38bee1-f48f-4c9a-a158-da96fcedbcc2,703b8973-a81c-4ce0-9f5c-c7a625f530b4,3d238144-44e6-450e-b523-3defbdaed9dc
2,JoshData/python-email-validator,2.3.0,Transitive Dependency,The Unlicense,PERMISSIVE,NOT_REVIEWED,a0beeb32-a49e-43a2-91d6-dfb66ad82a24,4cf12448-6f71-40b1-8a21-b8cf3ec69fdb,57b1f355-a0a0-4f5e-b4dd-019296e4eda6
3,Packaging,26.2,Transitive Dependency,"(BSD 2-clause ""Simplified"" License OR Apache License 2.0)",PERMISSIVE,NOT_REVIEWED,935f693d-59c4-447b-ac88-fd2efc476368,e558d29f-164f-43d8-91d2-bbbdde1c53e8,"cc875133-df38-4806-9921-473e0ef01a87,7cae335f-1193-421e-92f1-8802b4243e93"
4,PyJWT,2.13.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,12339e1c-27e0-4e41-ad22-39ab5192dc63,a464b71d-49b8-4bb3-acde-76e5604be99b,ad705c59-6893-4980-bdbf-0837f1823cc4
5,PyYAML,6.0.3,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,df6e6bf5-8732-4810-83d8-f40a1939a59f,22fdd37c-0f4a-4b4a-b83d-cf9579ef7f9f,ad705c59-6893-4980-bdbf-0837f1823cc4
6,Pygments - Python syntax highlighter,2.20.0,Transitive Dependency,"BSD 2-clause ""Simplified"" License",PERMISSIVE,NOT_REVIEWED,60d59a36-7623-422e-80f0-d43da6d673d3,0f1eca16-e820-4797-906a-0b074238e77c,cc875133-df38-4806-9921-473e0ef01a87
7,SecretStorage,3.5.0,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,ac5061c3-0180-4db8-a504-98e92dd968d0,ab5874c3-2fef-41d2-b735-8c85c30bc14f,3d238144-44e6-450e-b523-3defbdaed9dc
8,Starlette,1.2.1,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,3dd40458-46c4-453b-9350-e5640a29af0f,69281beb-bae0-4af3-b7a9-5695a93e74ab,3d238144-44e6-450e-b523-3defbdaed9dc
9,aiofile,3.11.1,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,80146c80-731f-4b55-b148-ca771b717baf,560d16eb-2cbf-4a98-b912-c4ea25b11ef5,7cae335f-1193-421e-92f1-8802b4243e93
10,annotated-types,0.7.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,8043d6f4-e2de-44f6-9bf3-4c0ee7de334f,97d68e0b-16cb-46a0-ac87-a4753f39809d,ad705c59-6893-4980-bdbf-0837f1823cc4
11,anyio,4.13.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,38ea1732-3693-43c0-90ad-393a8c86f57b,c25e6961-9654-488d-b4e7-181c3c0949a5,ad705c59-6893-4980-bdbf-0837f1823cc4
12,backports.tarfile,1.2.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,e0d0723d-4274-418d-b524-3a0e64a6af2a,81548eaf-ca7a-404f-a615-53cfcdbb47d0,ad705c59-6893-4980-bdbf-0837f1823cc4
13,beartype,0.22.9,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,25f22f27-a9bf-451f-9471-b98733892a64,cd1285f3-2300-42dd-a141-1bf439c0226e,ad705c59-6893-4980-bdbf-0837f1823cc4
14,cachetools,7.1.4,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,55b75c2c-fc27-4d01-a43c-7f19bfe0e653,72908dff-d3d2-47c3-9755-84749a9f1ea0,ad705c59-6893-4980-bdbf-0837f1823cc4
15,caio,0.9.25,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,7919018e-56d5-46c7-9996-fbfec08f78fe,7fe5c488-8e22-496a-a8a5-c1cc7e4c08ea,7cae335f-1193-421e-92f1-8802b4243e93
16,colorama,0.4.6,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,7881fc93-08be-4c7c-a706-96dc08608748,bf874d5c-156c-4104-a801-bcd3e185ecf3,3d238144-44e6-450e-b523-3defbdaed9dc
17,couchbase-python-client,4.6.1,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,38a09da5-4b7a-4e96-be95-b2368cc14ffb,7af29ec6-db57-4de0-903f-c0aafb7850e9,7cae335f-1193-421e-92f1-8802b4243e93
18,crate-py/rpds,2026.5.1,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,38a48d59-54ac-4c51-8ab0-0c427ae34d2c,4af51bc2-aa06-479c-a705-3be44079996b,ad705c59-6893-4980-bdbf-0837f1823cc4
19,cyclopts,4.16.1,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,807981b0-7027-4280-93eb-fa79fb0d4c13,3985a60e-779e-4441-9ca3-065f8d7bc439,7cae335f-1193-421e-92f1-8802b4243e93
20,dnspython,2.8.0,Transitive Dependency,ISC License,PERMISSIVE,NOT_REVIEWED,d7a84207-c027-40aa-893c-aa3d30b9e0b4,ea6d62ea-6819-498e-a672-1d3743111dab,14b0b50b-acd2-4fc8-ac65-3b15f9e58260
21,docstring-parser,0.18.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,5bbf4a78-7492-4ade-be7f-c0ac33a4982c,374cad4e-ea9a-4a5e-b0a4-6cf619c60938,ad705c59-6893-4980-bdbf-0837f1823cc4
22,encode/uvicorn,0.49.0,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,ce10b944-d3ca-4fe5-b9cf-2ba0938711c8,f6f36042-93a6-40ec-acb6-bd4467352bd1,3d238144-44e6-450e-b523-3defbdaed9dc
23,exceptiongroup,1.3.1,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,18c0b6d1-8426-4bc1-9dc1-3993c12ee6dc,40c3ef10-7541-4c86-a3f7-ce4f51249bd0,ad705c59-6893-4980-bdbf-0837f1823cc4
24,fastmcp,3.4.2,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,0d0d1353-2edd-4461-bb1f-2b4d808b55a8,82d14583-e477-4842-ad89-d1b21c6719df,7cae335f-1193-421e-92f1-8802b4243e93
25,fastmcp-slim,3.4.2,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,2118d346-2e15-432d-83fd-e549225bb590,ab2b1631-6051-4b77-985c-be66e0bf4848,7cae335f-1193-421e-92f1-8802b4243e93
26,griffelib,2.0.2,Transitive Dependency,ISC License,PERMISSIVE,NOT_REVIEWED,15e33025-41f2-4267-b53e-026dda1824c8,d856ad69-6741-419c-9ac2-99d76e1113ab,14b0b50b-acd2-4fc8-ac65-3b15f9e58260
27,h11,0.16.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,766677f1-994a-408d-9bcc-d38833e832ee,e066bd77-1404-4145-bbc2-209faac2daa6,ad705c59-6893-4980-bdbf-0837f1823cc4
28,httpcore,1.0.9,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,c9abf028-6c50-4592-8161-ff34a2aa2968,35ac4e18-5486-4ef0-bcf8-ef34d9ca8700,3d238144-44e6-450e-b523-3defbdaed9dc
29,httpx,0.28.1,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,f3eb45a6-82ec-4dad-8c23-1910b4403aff,60cef313-5509-4b4a-801b-da681bbd737f,3d238144-44e6-450e-b523-3defbdaed9dc
30,httpx-sse,0.4.3,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,b47174fd-ffe4-4c02-a6d3-ab105029a344,e2679312-e788-4857-b631-a50d19c8d5a8,ad705c59-6893-4980-bdbf-0837f1823cc4
31,idna,3.18,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,a072b9e7-c0a3-447b-abe6-fa74c8869fb1,b317e5a9-a77b-4b8a-bb32-224f23f7c935,3d238144-44e6-450e-b523-3defbdaed9dc
32,importlib_metadata,9.0.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,53a34f96-b65b-44ff-9730-d21fbbf28fe9,f06c605e-d938-402a-ac85-c47d47df463c,7cae335f-1193-421e-92f1-8802b4243e93
33,jaraco.context,6.1.2,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,8dded2f5-71a1-44eb-a2ae-be1e037e0d04,47e98ad4-74ee-409f-b5a3-4da0a7439c3a,ad705c59-6893-4980-bdbf-0837f1823cc4
34,jaraco.functools,4.5.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,0e8abd36-6c68-415d-b6f1-43e92cd38d2c,dfcc2b96-d156-4234-b367-6761d75d0f47,ad705c59-6893-4980-bdbf-0837f1823cc4
35,jaracoclasses,3.4.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,6dc260d1-4bbc-43aa-a509-9950129da923,2dbaf212-947d-4bee-b491-acf0b4b4c5c0,ad705c59-6893-4980-bdbf-0837f1823cc4
36,jeepney,0.9.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,c6896f6b-1d91-4aac-8e5d-2e21ce3855c4,2f61a76f-4d08-4173-b557-2e36ba19fac7,ad705c59-6893-4980-bdbf-0837f1823cc4
37,joserfc,1.7.1,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,f47bebf9-0b52-4650-98f3-bc697f2c90c4,2b49f628-4f5d-48b0-adfe-d0cd2a8ac5d2,3d238144-44e6-450e-b523-3defbdaed9dc
38,jsonschema-path,0.5.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,ebf8cde2-e78d-4b27-ac68-c6c4a78e2980,7684ee1b-ea20-4063-ba95-c7facaf73c6f,7cae335f-1193-421e-92f1-8802b4243e93
39,jsonschema-specifications,2025.9.1,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,7fb7b6e6-5efe-42c4-aea2-cb30ae99c922,c711bef8-4db1-4a77-8fda-b691e751b6ef,ad705c59-6893-4980-bdbf-0837f1823cc4
40,keyringpython,25.7.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,b29d1705-0e21-4412-a98f-87864d08d520,de250f1b-211e-4a21-945c-d75258a5562d,ad705c59-6893-4980-bdbf-0837f1823cc4
41,lark,1.3.1,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,5196d258-1b7e-4d69-857a-beb73a080f09,50029721-16d4-4d00-99b6-5962975d733b,ad705c59-6893-4980-bdbf-0837f1823cc4
42,lark-sqlpp,0.1,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,724be468-9b64-4b1e-bb92-6168f96b1587,42d0f78d-48ac-43f9-9077-c6487677baac,ad705c59-6893-4980-bdbf-0837f1823cc4
43,markdown-it-py,4.2.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,429a900c-39dc-4608-bf6f-16de410b9a31,36509978-f025-4b77-b87d-6d4754ef8bd4,ad705c59-6893-4980-bdbf-0837f1823cc4
44,mcp,1.27.2,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,92291ff0-5874-4678-bcf5-6162e3b4d40b,bfd42a49-f6eb-4b83-ad22-620e72127d7f,ad705c59-6893-4980-bdbf-0837f1823cc4
45,mdurl,0.1.2,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,bff81a1a-b26f-4165-bfc3-563d15430a9b,fb065d1e-9dbd-4a0a-b81b-078c0e2f0264,ad705c59-6893-4980-bdbf-0837f1823cc4
