Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Operational risk,Component policy status,Overridden By,Created At,Origin name,Origin id,Review status,Reviewed by,Reviewed at,Project path,Source/Type,Snippet Review status
,a9f03f80-d81e-487f-81fc-05d49104dc73,757be1cb-4312-4fd8-8bf0-7ccc75c44a14,go-systemd,9,v9,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,12/11/19,github,coreos/go-systemd:v9,NOT_REVIEWED,,,sync_gateway 2.7.0,KB_COMPONENT,
,1d6c99a7-c22e-4112-9eef-6c540e9fa162,7d0372fa-8fe8-4ae1-8776-9b4c91fef69a,React from Facebook,0.13.3,0.13.3,c08ce128-5a2f-4d9f-b73d-89702e142efd,Facebook BSD License with Patent Provision,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,12/11/19,npmjs,react/0.13.3,NOT_REVIEWED,,,sync_gateway 2.7.0,KB_COMPONENT,
,a9f03f80-d81e-487f-81fc-05d49104dc73,a4d44a64-bc70-4668-85c6-1d301f8aeea7,go-systemd,10,v10,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,12/11/19,github,coreos/go-systemd:v10,NOT_REVIEWED,,,sync_gateway 2.7.0,KB_COMPONENT,
,cce83439-7dac-4acf-b008-da477482adc6,1533bbbb-2ac0-4c0a-ad3a-bc66b5b279e0,Gorilla Web Toolkit,20170523-snapshot,20170523-snapshot,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,12/11/19,github,gorilla/mux:20170523-snapshot,NOT_REVIEWED,,,sync_gateway 2.7.0,KB_COMPONENT,
,f70a2589-da78-4d33-bc69-7a92c6b4eb4c,ae8bd367-40c6-4e6a-9008-54e0b46d101b,golang.org/x/crypto,20180901-snapshot-182538f8,182538f80094b6a8efaade63a8fd8e0d9d5843dd,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,12/11/19,long_tail,golang.org/x/crypto#182538f80094b6a8efaade63a8fd8e0d9d5843dd,NOT_REVIEWED,,,sync_gateway 2.7.0,KB_COMPONENT,
,e605ac0b-bbe2-4ad6-b34c-e5e7b9552ba9,a95e015e-4eae-4e1a-bf3f-9053fe1702f2,coreos-pkg,v1,v1,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,12/11/19,github,coreos/pkg:v1,NOT_REVIEWED,,,sync_gateway 2.7.0,KB_COMPONENT,
,cf71f591-1056-48aa-8fae-d8c5204dce7f,e94a6eaa-8b01-4b69-900a-0a3633acb139,golang-github-elazarl-go-bindata-assetfs-dev,20170620-snapshot,20170620-snapshot,cc875133-df38-4806-9921-473e0ef01a87,"BSD 2-clause ""Simplified"" License",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,12/11/19,github,elazarl/go-bindata-assetfs:20170620-snapshot,NOT_REVIEWED,,,sync_gateway 2.7.0,KB_COMPONENT,
,469d0317-021c-43e8-ac55-9d409e094407,59b433c3-178d-47fe-8ee3-0bff00dde856,Angular,1.7.8,1.7.8,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Files Modified,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,12/11/19,maven,org.webjars.bowergithub.angular:bower-angular:1.7.8,NOT_REVIEWED,,,sync_gateway 2.7.0,KB_COMPONENT,
,7bb8fa01-5a9a-4927-9959-80c9009560c0,8daa44e0-f4a1-4b37-a6dc-26c80fd50d39,kardianos-service,20171101-snapshot-5ab7ce2c,5ab7ce2c8f38cc0ca92d711f7c4f3ea70d347702,7bf4506f-7531-4655-a4bf-e9deb4d2cc8e,zlib License,PERMISSIVE,Files Modified,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,12/11/19,github,kardianos/service:5ab7ce2c8f38cc0ca92d711f7c4f3ea70d347702,NOT_REVIEWED,,,sync_gateway 2.7.0,KB_COMPONENT,
,a7cc9a59-acd3-40bc-90b5-13f8d44b941b,a1c09682-3ecf-4a81-b9ac-b4789b665990,humanize-plus,1.5.0,v1.5.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,12/11/19,github,HubSpot/humanize:v1.5.0,NOT_REVIEWED,,,sync_gateway 2.7.0,KB_COMPONENT,
