Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Operational Risk,Component policy status,Overridden By,Created At,Origin name,Origin id,Review Status,Reviewed by,Reviewed at,Project path,Source/Type,Snippet Review status,File Match Count,License Risk,Component Status,Component Notes,Fulfillment Required,Version Notes,Critical Vulnerability Count,High Vulnerability Count,Medium Vulnerability Count,Low Vulnerability Count,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families
,678d1da8-4116-40f5-bc4a-2561ce6ef99b,2eef8657-9e79-45ea-ba8e-86ffcb33fac5,pquerna/cachecontrol,20180711-snapshot-1555304b,1555304b9b35fdd2b425bccf1a5613677705e7d0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,1/12/21,github,pquerna/cachecontrol:1555304b9b35fdd2b425bccf1a5613677705e7d0,NOT_REVIEWED,,,sync_gateway 2.8.1,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,7/11/18,1,,,,,,
,388c0d45-4bce-4849-af71-7c01455d0e5b,70e07e24-0650-43de-a17a-afa755f6757e,pkg/errors,v0.8.1,v0.8.1,cc875133-df38-4806-9921-473e0ef01a87,"BSD 2-clause ""Simplified"" License",PERMISSIVE,"Direct Dependency,Transitive Dependency",,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,1/12/21,unknown,,NOT_REVIEWED,,,sync_gateway 2.8.1,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,1/4/19,3,DECREASING,2,2,,,
,b8d100e3-605d-4454-8632-d627dcc2e315,416626f8-b970-43c5-a973-0197fbefb8ea,protocolbuffers/protobuf-go,v1.25.0,v1.25.0,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,1/12/21,github,protocolbuffers/protobuf-go:v1.25.0,NOT_REVIEWED,,,sync_gateway 2.8.1,KB_COMPONENT,,15,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,6/22/20,0,,,,,,
,458e027c-e2ba-49eb-b32e-654a62244631,fad9d106-6029-4774-b505-abc45c84d0b4,google/go-cmp,v0.3.0,v0.3.0,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,1/12/21,github,google/go-cmp:v0.3.0,NOT_REVIEWED,,,sync_gateway 2.8.1,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,3/12/19,11,,,,,,
,76525962-fcce-451f-9ab6-90bac98e58e7,8eb753f4-a7a6-4c34-b560-db0d2fe975de,gopsutil,v2.18.12,v2.18.12,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,1/12/21,github,shirou/gopsutil:v2.18.12,NOT_REVIEWED,,,sync_gateway 2.8.1,KB_COMPONENT,,6,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,1/11/19,24,STABLE,216,34,,,
,edff1e2f-00f8-4c3d-bca0-f379eb41d363,a5e95325-535c-4abc-a248-f0611a074647,couchbase-cbgt,20190114-snapshot-6af8aa29,6af8aa29d87913f18a96c1d038d8c196baa863dc,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,1/12/21,github,couchbase/cbgt:6af8aa29d87913f18a96c1d038d8c196baa863dc,NOT_REVIEWED,,,sync_gateway 2.8.1,KB_COMPONENT,,7,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,1/14/19,226,,,,,,
,57f974ce-4fd9-4050-a636-6595d3e98c1b,5900e354-e945-44ec-82a9-643f3f43c83c,couchbaselabs/gocbconnstr,v1.0.5,v1.0.5,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,1/12/21,github,couchbaselabs/gocbconnstr:v1.0.5,NOT_REVIEWED,,,sync_gateway 2.8.1,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,3/28/20,0,,,,,,
,163bec4e-b7f6-4c8a-828d-5ba673aaa72a,e7f33c2f-3f1f-41e4-9f64-4ab9242a70c1,client_golang,v1.0.0,v1.0.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,"Direct Dependency,Transitive Dependency",,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,1/12/21,github,prometheus/client_golang:v1.0.0,NOT_REVIEWED,,,sync_gateway 2.8.1,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,6/15/19,16,DECREASING,134,26,,,
,df6d6f65-e260-496d-91b8-7d5613b03555,20604c7f-b50f-4351-abf9-3715bef58f22,StackExchange-wmi,20180816-snapshot-b12b22c5,b12b22c5341f0c26d88c4d66176330500e84db68,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,1/12/21,github,StackExchange/wmi:b12b22c5341f0c26d88c4d66176330500e84db68,NOT_REVIEWED,,,sync_gateway 2.8.1,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,8/16/18,2,,,,,,
,cce83439-7dac-4acf-b008-da477482adc6,eb8461f2-8583-4032-aa8e-84788c524582,Gorilla Web Toolkit,20170307-snapshot,20170307-snapshot,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,1/12/21,github,gorilla/context:20170307-snapshot,NOT_REVIEWED,,,sync_gateway 2.8.1,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,3/7/17,39,DECREASING,19,11,,,
,458e027c-e2ba-49eb-b32e-654a62244631,e43ce382-42f3-400d-a34e-ce94efd613c9,google/go-cmp,0.2.0,v0.2.0,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,1/13/21,unknown,,NOT_REVIEWED,,,sync_gateway 2.8.1,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,2/20/18,12,,,,,,
,76525962-fcce-451f-9ab6-90bac98e58e7,a1ec41fb-69ae-4563-b2da-ffdf32b04f31,gopsutil,v2.18.11,v2.18.11,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,"Exact,Files Modified",,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,1/12/21,github,shirou/gopsutil:v2.18.11,NOT_REVIEWED,,,sync_gateway 2.8.1,KB_COMPONENT,,3,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,11/23/18,25,STABLE,216,34,,,
