,Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Overridden By,Created At,Origin name,Origin id,Review Status,Project path,Source/Type,File Match Count,Component Status,Component Notes,Version Notes,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families,Component origin id,Has License Conflicts
0,,5271cd46-d193-4af5-b2c2-50a07751f580,9dae6ab2-8894-4a8f-9ced-a2a2e0c9a29e,Go Testify,20180821-snapshot-78018b09,78018b09cde1da8ab313a2344fa4395b86026def,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,9/6/23,github,stretchr/testify:78018b09cde1da8ab313a2344fa4395b86026def,NOT_REVIEWED,sync_gateway 3.0.8.2,KB_COMPONENT,1,UNREVIEWED,,,8/21/18,35,INCREASING,45.0,25.0,,,,6400ba92-8ae5-432a-ba6a-bc540211e091,False
1,,5271cd46-d193-4af5-b2c2-50a07751f580,3771607b-ac13-4c61-8177-62f083306b26,Go Testify,20181108-snapshot,20181108-snapshot,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Manually Identified,,DYNAMICALLY_LINKED,True,,10/19/21,github,stretchr/testify:20181108-snapshot,NOT_REVIEWED,sync_gateway 3.0.8.2,KB_COMPONENT,1,UNREVIEWED,,,11/8/18,29,INCREASING,45.0,25.0,,,,0c414f2b-d317-41c6-8097-4cdd69ec7270,False
2,,5271cd46-d193-4af5-b2c2-50a07751f580,1b89840a-da37-4363-9a36-858f34d3938c,Go Testify,v1.2.2,v1.2.2,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,9/7/23,github,stretchr/testify:v1.2.2,NOT_REVIEWED,sync_gateway 3.0.8.2,KB_COMPONENT,1,UNREVIEWED,,,6/9/18,37,INCREASING,45.0,25.0,,,,dfc41d27-85aa-4de2-b394-c0a10e32de57,False
3,,6d055c2b-f7d7-45ab-a6b3-021617efd61b,c3b88627-7963-43e7-8f86-827e25be1aac,Go programming language,20160124-snapshot,20160124-snapshot,aea0a5dc-0989-46dc-b1e3-71c7796d85fa,Go BSD License with Patent Provision,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,9/6/23,github,golang/go:20160124-snapshot,NOT_REVIEWED,sync_gateway 3.0.8.2,KB_COMPONENT,2,UNREVIEWED,,,1/24/16,411,STABLE,9594.0,415.0,,,,af300a49-d5f0-4821-b5e2-674ab7ea9260,False
4,,6d055c2b-f7d7-45ab-a6b3-021617efd61b,60b9c37e-756c-401f-8326-014ef5374a53,Go programming language,20160905-snapshot,20160905-snapshot,aea0a5dc-0989-46dc-b1e3-71c7796d85fa,Go BSD License with Patent Provision,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,9/6/23,github,golang/go:20160905-snapshot,NOT_REVIEWED,sync_gateway 3.0.8.2,KB_COMPONENT,1,UNREVIEWED,,,9/5/16,381,STABLE,9594.0,415.0,,,,f843333b-2689-49e2-b6bb-075d76e292f1,False
5,,6d055c2b-f7d7-45ab-a6b3-021617efd61b,28e5dccd-f7f6-4836-a117-a7694b39e0c2,Go programming language,20181218-snapshot,20181218-snapshot,"3d238144-44e6-450e-b523-3defbdaed9dc,ad705c59-6893-4980-bdbf-0837f1823cc4,7cae335f-1193-421e-92f1-8802b4243e93","(MIT License AND Apache License 2.0 AND BSD 3-clause ""New"" or ""Revised"" License)",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,9/6/23,github,golang/go:20181218-snapshot,NOT_REVIEWED,sync_gateway 3.0.8.2,KB_COMPONENT,4,UNREVIEWED,,,12/18/18,272,STABLE,9594.0,415.0,,,,0c35e644-6299-4ec5-9e26-94334e098b7d,False
6,,faa9ce60-ee56-4f4a-b55c-b33fae6c61f4,876ccd09-e5ec-443e-b39a-3c847f415056,Golang Protobuf,v1.26.0,v1.26.0,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,9/6/23,long_tail,go.googlesource.com/protobuf#v1.26.0,NOT_REVIEWED,sync_gateway 3.0.8.2,KB_COMPONENT,8,UNREVIEWED,,,3/17/21,118,DECREASING,0.0,0.0,,,,94552fad-c31d-4e7f-b5e4-7ed4d119ec57,False
7,,1ac59252-efa9-4847-adda-55c704035f0c,02abfe5c-f358-45e1-887c-05d240a065d2,Protobuf,1.5.2,1.5.2-1~exp1,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,"Files Added/Deleted,Exact",,DYNAMICALLY_LINKED,True,,9/6/23,debian,golang-goprotobuf/1.5.2-1~exp1,NOT_REVIEWED,sync_gateway 3.0.8.2,KB_COMPONENT,7,UNREVIEWED,,,9/8/21,147,INCREASING,2518.0,157.0,,,,0dc9bc70-dda8-4d49-852a-cf8e43ca5c9b,False
8,,f89043bc-23c9-489d-9f45-2ee930c49125,022f15bf-d3db-4313-8ff5-f28e9e164708,SILVER Wrapper,20171101-snapshot-e767f60a,e767f60ad379e72f564f04de286745d31d5603db,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Files Modified,,DYNAMICALLY_LINKED,True,,9/6/23,github,PaperCutSoftware/silver:e767f60ad379e72f564f04de286745d31d5603db,NOT_REVIEWED,sync_gateway 3.0.8.2,KB_COMPONENT,1,UNREVIEWED,,,11/1/17,0,STABLE,0.0,0.0,,,,0c5e72dc-e825-4dcd-a81b-29ca663447c6,False
9,,bd38a7f3-05cf-4585-be36-b3b221bf4fe0,f8bcadd3-b34e-4d89-94f7-8e215ae56a98,SSLMate/go-pkcs12,v0.2.1,v0.2.1,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,True,,9/6/23,github,SSLMate/go-pkcs12:v0.2.1,NOT_REVIEWED,sync_gateway 3.0.8.2,KB_COMPONENT,1,UNREVIEWED,,,7/13/23,0,,,,,,,b12a5d7d-ab04-49b9-b2ef-f4aeeb81f5e1,False
