Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Operational Risk,Component policy status,Overridden By,Created At,Origin name,Origin id,Review Status,Reviewed by,Reviewed at,Project path,Source/Type,Snippet Review status,File Match Count,License Risk,Component Status,Component Notes,Fulfillment Required,Version Notes,Critical Vulnerability Count,High Vulnerability Count,Medium Vulnerability Count,Low Vulnerability Count,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families,Comments,Component origin id,Has License Conflicts
,09a16956-5919-44dd-abfe-26c959332650,d446b690-7416-4551-8f35-9354362eef41,Go Logrus,v1.4.2,v1.4.2,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,2/2/22,unknown,,NOT_REVIEWED,,,sync_gateway 3.1.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,5/18/19,15,DECREASING,46,8,,,,,0c8fe330-198d-4bbf-abcc-e89cbc979f7b,false
,5271cd46-d193-4af5-b2c2-50a07751f580,3771607b-ac13-4c61-8177-62f083306b26,Go Testify,20181108-snapshot,20181108-snapshot,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Manually Identified,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,10/19/21,github,stretchr/testify:20181108-snapshot,NOT_REVIEWED,,,sync_gateway 3.1.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,11/8/18,10,DECREASING,10,5,,,,,0c414f2b-d317-41c6-8097-4cdd69ec7270,false
,5271cd46-d193-4af5-b2c2-50a07751f580,3cf0c875-9309-4be5-83af-bdabdf38e655,Go Testify,20181122-snapshot-8019298d,8019298d9fa5a04fc2ad10ae03349df3483096a6,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,12/16/21,github,stretchr/testify:8019298d9fa5a04fc2ad10ae03349df3483096a6,NOT_REVIEWED,,,sync_gateway 3.1.0,KB_COMPONENT,,2,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,11/22/18,10,DECREASING,10,5,,,,,cce7de04-beb6-4d55-9732-0f64f059ca2e,false
,5271cd46-d193-4af5-b2c2-50a07751f580,1b89840a-da37-4363-9a36-858f34d3938c,Go Testify,v1.2.2,v1.2.2,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,2/2/22,github,stretchr/testify:v1.2.2,NOT_REVIEWED,,,sync_gateway 3.1.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,6/9/18,10,DECREASING,10,5,,,,,dfc41d27-85aa-4de2-b394-c0a10e32de57,false
,5271cd46-d193-4af5-b2c2-50a07751f580,46431326-a3c0-4c65-9bf0-0add187810e4,Go Testify,v1.3.0,v1.3.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,"Direct Dependency,Transitive Dependency",,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,2/2/22,github,stretchr/testify:v1.3.0,NOT_REVIEWED,,,sync_gateway 3.1.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,1/7/19,8,DECREASING,10,5,,,,,7200c9e1-c45d-49c6-9b48-d551838abb0f,false
,5271cd46-d193-4af5-b2c2-50a07751f580,ed474f38-d187-4201-a049-e14bc4acea57,Go Testify,v1.4.0,v1.4.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,2/2/22,github,stretchr/testify:v1.4.0,NOT_REVIEWED,,,sync_gateway 3.1.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,8/15/19,7,DECREASING,10,5,,,,,bfbbc86a-ac00-48b0-9b00-120f0c55f691,false
,fcf8903b-ac17-4a21-a3ed-d12e6e709e40,e96e7814-1058-4cf1-8a25-de0d952e1bbf,GoDoc Text,v0.1.0,v0.1.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,2/2/22,github,kr/text:v0.1.0,NOT_REVIEWED,,,sync_gateway 3.1.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,5/5/18,1,,,,,,,,bc8e4bde-3106-4409-b8c6-e574d7e6fdcd,false
,ee2fd6f7-a201-4e6f-859b-89a5b942eea7,37e34ea7-21a5-43e2-8546-a730a7c164c4,Google Cloud Client Libraries for Go,20200910-snapshot,v0.34.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,2/2/22,github,googleapis/google-cloud-go:v0.34.0,NOT_REVIEWED,,,sync_gateway 3.1.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,12/4/18,612,,,,,,,,532c4794-9520-4066-8839-ca5babc42d0d,false
,7b1ce0d8-1064-449e-a1ae-6a60b630651d,fb407db2-ced0-4dca-8493-1555987dadb2,Protocol Buffers,1.3.2,1.3.2-2~bpo10+1,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,12/16/21,debian,golang-goprotobuf/1.3.2-2~bpo10+1,NOT_REVIEWED,,,sync_gateway 3.1.0,KB_COMPONENT,,6,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,7/28/19,113,INCREASING,1101,165,,,,,d60109d5-0023-43fc-8ba7-0e7c8afc5db7,false
,f89043bc-23c9-489d-9f45-2ee930c49125,022f15bf-d3db-4313-8ff5-f28e9e164708,SILVER Wrapper,20171101-snapshot-e767f60a,e767f60ad379e72f564f04de286745d31d5603db,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Files Modified,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,12/16/21,github,PaperCutSoftware/silver:e767f60ad379e72f564f04de286745d31d5603db,NOT_REVIEWED,,,sync_gateway 3.1.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,11/1/17,0,INCREASING,28,4,,,,,0c5e72dc-e825-4dcd-a81b-29ca663447c6,false
